dimension,level,n,link_rate
publication_year,2015,266,0.37218045112781956
publication_year,2016,308,0.31493506493506496
publication_year,2017,322,0.35093167701863354
publication_year,2018,307,0.3289902280130293
publication_year,2019,314,0.2770700636942675
publication_year,2020,259,0.3590733590733591
publication_year,2021,306,0.2908496732026144
publication_year,2022,305,0.3377049180327869
publication_year,2023,283,0.23674911660777384
publication_year,2024,292,0.21232876712328766
publication_year,2025,281,0.26334519572953735
publication_year,2026,137,0.13138686131386862
buyer_key_type,NAME_FALLBACK,2506,0.2877094972067039
buyer_key_type,RAW_SIRET,874,0.32265446224256294
cpv_division,16.0,1,0.0
cpv_division,22.0,5,0.2
cpv_division,30.0,234,0.23076923076923078
cpv_division,31.0,6,0.16666666666666666
cpv_division,32.0,437,0.2242562929061785
cpv_division,33.0,13,0.5384615384615384
cpv_division,34.0,5,0.2
cpv_division,35.0,187,0.24598930481283424
cpv_division,38.0,15,0.13333333333333333
cpv_division,39.0,12,0.3333333333333333
cpv_division,42.0,21,0.19047619047619047
cpv_division,43.0,1,1.0
cpv_division,44.0,6,0.3333333333333333
cpv_division,45.0,89,0.12359550561797752
cpv_division,48.0,514,0.32684824902723736
cpv_division,50.0,63,0.15873015873015872
cpv_division,51.0,1,0.0
cpv_division,55.0,1,0.0
cpv_division,64.0,12,0.3333333333333333
cpv_division,65.0,1,0.0
cpv_division,66.0,6,0.0
cpv_division,71.0,64,0.21875
cpv_division,72.0,1076,0.3996282527881041
cpv_division,75.0,8,0.125
cpv_division,77.0,1,0.0
cpv_division,79.0,75,0.26666666666666666
cpv_division,80.0,20,0.05
cpv_division,85.0,7,0.0
cpv_division,9.0,1,0.0
cpv_division,90.0,8,0.25
cpv_division,92.0,16,0.3125
cpv_division,98.0,3,0.3333333333333333
cpv_division,nan,471,0.24416135881104034
category_label,DIGITAL_ICT,3380,0.2967455621301775
buyer_activity,1,398,0.0
buyer_activity,11+,1720,0.45465116279069767
buyer_activity,2-3,535,0.11401869158878504
buyer_activity,4-10,727,0.2200825309491059
cpv_missing,False,2909,0.305259539360605
cpv_missing,True,471,0.24416135881104034
duration_imputed,False,585,0.23076923076923078
duration_imputed,True,2795,0.3105545617173524
text_length_quartile,Q1,853,0.2532239155920281
text_length_quartile,Q2,840,0.29285714285714287
text_length_quartile,Q3,862,0.31322505800464034
text_length_quartile,Q4,825,0.3284848484848485
