world,central_sha256,moderate_sha256,identical
world_001,de54d34b4e21fa9e8e7cdfd79e60334a7ea09c8474cf7bd29d82c1daa6fa723d,de54d34b4e21fa9e8e7cdfd79e60334a7ea09c8474cf7bd29d82c1daa6fa723d,True
world_002,ec6304dfe1925dce21c960b52a2aaf915fc3e2efae01fb728beb440f02108386,ec6304dfe1925dce21c960b52a2aaf915fc3e2efae01fb728beb440f02108386,True
world_003,f67b0fa0c0dc263aa464157ee164878f9169d7780bd4fb9ab385658f72e41edb,f67b0fa0c0dc263aa464157ee164878f9169d7780bd4fb9ab385658f72e41edb,True
world_004,aee463d41aae8cc916f0d6f2986ac40c560bb17a1323886fa8d1b2d7c6333b75,aee463d41aae8cc916f0d6f2986ac40c560bb17a1323886fa8d1b2d7c6333b75,True
world_005,21e9e34fdc9ef1b3345d76b04b398448ca3d12a2209f43b475814e27f0fa437e,21e9e34fdc9ef1b3345d76b04b398448ca3d12a2209f43b475814e27f0fa437e,True
world_006,74c9e946ab673d8770c3c554c14d441b69e2d253af4e67780397ffdbb99e6319,74c9e946ab673d8770c3c554c14d441b69e2d253af4e67780397ffdbb99e6319,True
world_007,eed1001401fef26a99be151ca8df7b8fb20d3efffe30398e3f2a0285062c6a8b,eed1001401fef26a99be151ca8df7b8fb20d3efffe30398e3f2a0285062c6a8b,True
world_008,707ff5c205b6c4f745e597bcbee4918162640189e623e522216f2df250fdc890,707ff5c205b6c4f745e597bcbee4918162640189e623e522216f2df250fdc890,True
world_009,666b0b35bc30acbac828509e60a1d1cd90d2af88be78b2a19e23f8bb04d75f30,666b0b35bc30acbac828509e60a1d1cd90d2af88be78b2a19e23f8bb04d75f30,True
world_010,3f24f37048aa554cb0cb61fcc900d7e6434e58f829be3668c76897b5046a8224,3f24f37048aa554cb0cb61fcc900d7e6434e58f829be3668c76897b5046a8224,True
