source_notice_id,candidate_notice_id,buyer_key_type,buyer_key,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,source_annonce_lie,source_etat,source_schema_family,source_notice_type_normalized,source_text_length,source_token_count,candidate_annonce_lie,candidate_etat,candidate_schema_family,candidate_notice_type_normalized,candidate_text_length,candidate_token_count,repair_pass_text_min,repair_pass_initial_source,repair_pass_initial_candidate,repair_pass_no_explicit_linked_notice_ref,repair_pass_min_token_count,repair_rule_pass,repair_failure_reasons,repair_rule_version,rule_role
15-101283,16-102267,NAME_FALLBACK,NAME:caf de la sarthe,2015-07-01,2016-07-09,12.28646517739816,2016-04-23,2.5295663600525624,0.5784056066579062,0.337109542221377,1.0,0.6,0.6225897414419586,False,False,1,0.6225897414419586,1,HIGH,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,49,6,,INITIAL,LEGACY,APPEL_OFFRE,133,22,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-111481,16-7640,NAME_FALLBACK,NAME:chu de nantes,2015-07-20,2016-01-18,5.978975032851511,2016-01-20,0.0657030223390276,0.9890494962768288,0.5475438361239635,1.0,0.6,0.7989027167125944,False,False,1,0.387568526006604,5,HIGH,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,173,27,,INITIAL,LEGACY,APPEL_OFFRE,133,21,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-118979,15-189271,NAME_FALLBACK,NAME:departement de la sarthe,2015-07-30,2015-12-18,4.6320630749014455,2016-01-30,1.4126149802890933,0.7645641699518178,0.697613957026897,0.2,0.6,0.5553059274473684,False,False,1,0.2020221667113816,6,HIGH,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,128,19,,INITIAL,LEGACY,APPEL_OFFRE,162,25,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-126308,16-10649,NAME_FALLBACK,NAME:sdis 44,2015-08-13,2016-01-25,5.4204993429697765,2016-02-13,0.6241787122207622,0.8959702146298729,0.4498344366689664,0.0,0.6,0.4414346064916064,False,False,1,0.4414346064916064,1,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,146,23,,INITIAL,LEGACY,APPEL_OFFRE,86,12,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-139094,16-131495,NAME_FALLBACK,NAME:sdis 85,2015-09-10,2016-09-08,11.957950065703022,2016-05-07,4.073587385019711,0.3210687691633814,0.3438273171136217,0.4,0.6,0.3806067532806129,False,False,1,0.3806067532806129,1,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,131,20,,INITIAL,LEGACY,APPEL_OFFRE,64,11,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-139562,16-146809,NAME_FALLBACK,NAME:c h d la roche sur yon-lucon-montaigu,2015-09-11,2016-10-10,12.976346911957949,2017-01-22,3.416557161629435,0.4305738063950942,0.470999994416253,0.2,0.6,0.3924934496444621,False,True,1,0.3924934496444621,1,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,173,27,,INITIAL,LEGACY,APPEL_OFFRE,156,18,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-140966,16-101519,NAME_FALLBACK,NAME:commune de saint jean de monts,2015-09-15,2016-07-07,9.724047306176084,2016-05-24,1.445466491458607,0.7590889180902322,0.3756679594355756,0.1,0.6,0.4112560153250095,True,False,1,0.4112560153250095,1,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,58,8,,INITIAL,LEGACY,APPEL_OFFRE,77,10,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-147732,16-78789,NAME_FALLBACK,NAME:ecole des mines de nantes,2015-09-28,2016-05-30,8.04862023653088,2016-03-28,2.0696452036793693,0.6550591327201052,0.3952720496186646,0.1,0.6,0.3921100005465589,True,False,1,0.0885511709593308,3,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,162,24,,INITIAL,LEGACY,APPEL_OFFRE,80,11,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-164187,16-10778,NAME_FALLBACK,NAME:gie sesam vitale,2015-10-28,2016-01-22,2.8252299605781865,2016-04-28,3.1865965834428382,0.4689005694261936,0.7501904213796198,0.2,0.6,0.4997917898394153,False,False,1,0.0933140774489815,7,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,73,12,,INITIAL,LEGACY,APPEL_OFFRE,88,13,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-173700,16-17002,NAME_FALLBACK,NAME:ville de reze,2015-11-17,2016-02-04,2.59526938239159,2016-05-17,3.383705650459921,0.4360490582566798,0.9164580923815036,1.0,0.6,0.7897725968976963,False,False,1,0.5896010940734697,3,HIGH,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,119,17,,INITIAL,LEGACY,APPEL_OFFRE,146,23,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-175415,16-73319,NAME_FALLBACK,NAME:commune de saint-nazaire,2015-11-20,2016-05-24,6.110381077529566,2016-05-20,0.1314060446780552,0.9780989925536576,0.5304773329063815,0.1,0.6,0.5201918146556479,True,False,1,0.1198651628417696,5,HIGH,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,178,24,,INITIAL,LEGACY,APPEL_OFFRE,193,31,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-176598,16-35152,NAME_FALLBACK,NAME:departement de la sarthe,2015-11-23,2016-03-11,3.580814717477004,2016-05-23,2.3981603153745072,0.6003066141042488,0.7383569344469875,0.1,0.6,0.4985015805825078,True,False,1,0.1721235925163055,7,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,173,25,,INITIAL,LEGACY,APPEL_OFFRE,150,24,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-182813,16-136139,NAME_FALLBACK,NAME:conseil regional des pays de la loire,2015-12-04,2016-09-19,9.526938239159,2016-10-04,0.4927726675427069,0.9178712220762156,0.3881450172799,0.0,0.6,0.4253185615670189,False,False,1,0.0607209473948547,11,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,89,15,,INITIAL,LEGACY,APPEL_OFFRE,101,18,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-192825,16-146809,NAME_FALLBACK,NAME:c h d la roche sur yon-lucon-montaigu,2015-12-24,2016-10-10,9.559789750328514,2016-06-24,3.54796320630749,0.4086727989487516,0.8373912725929985,1.0,0.6,0.7552551451447373,False,True,1,0.7552551451447373,1,HIGH,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,190,27,,INITIAL,LEGACY,APPEL_OFFRE,156,18,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-31464,15-136371,NAME_FALLBACK,NAME:sdis de la mayenne,2015-03-02,2015-09-07,6.208935611038108,2015-12-10,3.088042049934297,0.4853263250109505,0.3340336772053255,0.2,0.6,0.3582433682746015,False,False,1,0.0342699784674087,2,POTENTIAL,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,91,15,,INITIAL,LEGACY,APPEL_OFFRE,89,15,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-32051,15-56571,NAME_FALLBACK,NAME:caisse des depots,2015-03-04,2015-04-14,1.3469119579500657,2015-09-04,4.697766097240473,0.2170389837932544,0.8781774061048093,0.1,0.6,0.4516218380849968,True,False,1,0.0060844962400117,2,POTENTIAL,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,113,18,,INITIAL,LEGACY,APPEL_OFFRE,128,20,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
