source_notice_id,candidate_notice_id,repair_rule_pass,repair_failure_reasons,s_text,s_cpv,composite_score,top1_top2_margin,source_etat,candidate_etat,source_annonce_lie,candidate_annonce_lie,source_token_count,candidate_token_count
15-100455,16-57014,False,TEXT_MIN,0.1317350602902704,0.1,0.3491493210358916,0.0136624673292337,INITIAL,INITIAL,,,19,23
15-101283,16-102267,True,,0.337109542221377,1.0,0.6225897414419586,0.6225897414419586,INITIAL,INITIAL,,,6,22
15-102348,16-48016,False,TEXT_MIN,0.2726721156563377,1.0,0.671214916344808,0.1964295053862257,INITIAL,INITIAL,,,10,10
15-102510,16-183156,False,TEXT_MIN,0.0301700482473242,0.8,0.4855792277932652,0.135446956289664,INITIAL,INITIAL,,,14,18
15-104125,16-19242,False,TEXT_MIN,0.1800516758603379,0.1,0.3592160716584332,0.0258653731966206,INITIAL,INITIAL,,,25,33
15-111004,16-46830,False,TEXT_MIN,0.1304085325487645,0.0,0.3436280937070041,0.0679558869834066,INITIAL,INITIAL,,,21,16
15-111481,16-7640,True,,0.5475438361239635,1.0,0.7989027167125944,0.387568526006604,INITIAL,INITIAL,,,27,21
15-113362,16-40500,False,TEXT_MIN,0.1402316856404232,0.0,0.345392960320184,0.0494872434496699,INITIAL,INITIAL,,,17,22
15-113716,16-67782,False,TEXT_MIN,0.0215290289879586,0.1,0.3461663471803891,0.1745303419241473,INITIAL,INITIAL,,,6,30
15-115709,16-73319,False,TEXT_MIN,0.1289943774543523,0.2,0.4110415932128341,0.0730506743924741,INITIAL,INITIAL,,,22,31
15-118979,15-189271,True,,0.697613957026897,0.2,0.5553059274473684,0.2020221667113816,INITIAL,INITIAL,,,19,25
15-122609,16-32105,False,TEXT_MIN,0.1530238793615442,0.2,0.3592241484029093,0.0385594605110617,INITIAL,INITIAL,,,13,11
15-126308,16-10649,True,,0.4498344366689664,0.0,0.4414346064916064,0.4414346064916064,INITIAL,INITIAL,,,23,12
15-136102,15-155719,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.9510071013121866,1.0,0.825134570435174,0.2210207291260015,INITIAL,RECTIFICATIF,,15-136102,17,18
15-137458,15-155719,False,INITIAL_CANDIDATE,0.4303209238308393,1.0,0.6401567823859098,0.6401567823859098,INITIAL,RECTIFICATIF,,15-136102,24,18
15-139094,16-131495,True,,0.3438273171136217,0.4,0.3806067532806129,0.3806067532806129,INITIAL,INITIAL,,,20,11
15-139179,16-68672,False,TEXT_MIN,0.2956703485403085,0.1,0.3572494051691343,0.0409710515529156,INITIAL,INITIAL,,,13,13
15-139562,16-146809,True,,0.470999994416253,0.2,0.3924934496444621,0.3924934496444621,INITIAL,INITIAL,,,27,18
15-140966,16-101519,True,,0.3756679594355756,0.1,0.4112560153250095,0.4112560153250095,INITIAL,INITIAL,,,8,10
15-143083,16-27767,False,TEXT_MIN,0.1687732991175632,0.0,0.3594889639333722,0.1190140377212471,INITIAL,INITIAL,,,7,10
15-146824,16-9312,False,TEXT_MIN,0.0943536266694895,0.1,0.355229200784168,0.355229200784168,INITIAL,INITIAL,,,9,18
15-147732,16-78789,True,,0.3952720496186646,0.1,0.3921100005465589,0.0885511709593308,INITIAL,INITIAL,,,24,11
15-153858,16-68672,False,TEXT_MIN,0.0595481242019541,0.1,0.3485225267821162,0.0836933546401977,INITIAL,INITIAL,,,18,13
15-159244,16-49246,False,TEXT_MIN,0.1913124094097836,0.1,0.3919024006740638,0.0023311791268285,INITIAL,INITIAL,,,21,20
15-159973,16-94711,False,TEXT_MIN,0.080153370039381,1.0,0.6339472406175941,0.0945166388035125,INITIAL,INITIAL,,,25,13
15-160513,16-61061,False,TEXT_MIN,0.0562671152326079,0.1,0.3473741736428451,0.0539510370989962,INITIAL,INITIAL,,,23,20
15-160539,16-57014,False,TEXT_MIN,0.155728940161996,0.1,0.3835546253335273,0.012094204252004,INITIAL,INITIAL,,,29,23
15-162447,16-49246,False,TEXT_MIN,0.2335388079574922,0.1,0.4066816401657618,0.0256173784610879,INITIAL,INITIAL,,,18,20
15-162906,16-68875,False,TEXT_MIN,0.1467765756152171,0.1,0.3653643551227942,0.0751881736493416,INITIAL,INITIAL,,,26,26
15-164187,16-10778,True,,0.7501904213796198,0.2,0.4997917898394153,0.0933140774489815,INITIAL,INITIAL,,,12,13
15-165050,15-174987,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.971958674112424,1.0,0.7270690225797338,0.3537555224540879,INITIAL,RECTIFICATIF,,15-165050,21,22
15-169809,15-182957,False,INITIAL_CANDIDATE,0.9479573418528516,1.0,0.7268814340812619,0.0015051518303461,INITIAL,RECTIFICATIF,,15-169809;15-179747,21,24
15-173090,16-70203,False,TEXT_MIN,0.065630527192823,1.0,0.5344161510089467,0.0280202360181862,INITIAL,INITIAL,,,22,8
15-173700,16-17002,True,,0.9164580923815036,1.0,0.7897725968976963,0.5896010940734697,INITIAL,INITIAL,,,17,23
15-174358,16-70203,False,TEXT_MIN;INITIAL_SOURCE,0.0657775511331507,1.0,0.5344676093880614,0.0295174265200425,RECTIFICATIF,INITIAL,15-173090,,22,8
15-174987,16-70219,False,TEXT_MIN;INITIAL_SOURCE,0.0209339107908689,0.2,0.3759580558114077,0.0055493459626405,RECTIFICATIF,INITIAL,15-165050,,22,17
15-175210,16-128161,False,TEXT_MIN,0.0125750111810708,0.2,0.3675571890863927,0.0052327153568751,INITIAL,INITIAL,,,21,15
15-175415,16-73319,True,,0.5304773329063815,0.1,0.5201918146556479,0.1198651628417696,INITIAL,INITIAL,,,24,31
15-176598,16-35152,True,,0.7383569344469875,0.1,0.4985015805825078,0.1721235925163055,INITIAL,INITIAL,,,25,24
15-178791,16-33632,False,TEXT_MIN,0.1621487796809217,0.4,0.3772470356566099,0.0070657451913476,INITIAL,INITIAL,,,19,14
15-179747,15-182957,False,INITIAL_SOURCE;INITIAL_CANDIDATE,0.975727238254414,1.0,0.7119622644446733,0.2414652535864784,RECTIFICATIF,RECTIFICATIF,15-169809,15-169809;15-179747,22,24
15-182813,16-136139,True,,0.3881450172799,0.0,0.4253185615670189,0.0607209473948547,INITIAL,INITIAL,,,15,18
15-182957,16-123498,False,INITIAL_SOURCE,0.6182041192313092,0.2,0.478235217464642,0.1810209128973723,RECTIFICATIF,INITIAL,15-169809;15-179747,,24,17
15-184743,16-80474,False,TEXT_MIN,0.1665403361023132,0.1,0.392813865774224,0.392813865774224,INITIAL,INITIAL,,,21,26
15-184750,16-68672,False,TEXT_MIN,0.1319002749944978,0.1,0.3478383332169748,0.0087297114000992,INITIAL,INITIAL,,,36,13
15-185112,16-172610,False,TEXT_MIN,0.0122577869191909,0.4,0.3754312679096712,0.3754312679096712,INITIAL,INITIAL,,,16,16
15-192276,16-94711,False,TEXT_MIN,0.0367841550534658,1.0,0.4189213224246482,0.0945803920689609,INITIAL,INITIAL,,,29,13
15-192356,16-128161,False,TEXT_MIN,0.0696996763521152,1.0,0.5289962883877168,0.1571488848289535,INITIAL,INITIAL,,,18,15
15-192825,16-146809,True,,0.8373912725929985,1.0,0.7552551451447373,0.7552551451447373,INITIAL,INITIAL,,,27,18
15-31464,15-136371,True,,0.3340336772053255,0.2,0.3582433682746015,0.0342699784674087,INITIAL,INITIAL,,,15,15
15-32051,15-56571,True,,0.8781774061048093,0.1,0.4516218380849968,0.0060844962400117,INITIAL,INITIAL,,,18,20
15-32168,16-20762,False,TEXT_MIN,0.1436965448443792,0.0,0.3715487184222081,0.1293308078405003,INITIAL,INITIAL,,,21,20
15-33752,16-61484,False,TEXT_MIN,0.128060050726376,0.2,0.3833383195501142,0.0080899794907591,INITIAL,INITIAL,,,6,25
15-34520,15-117072,False,TEXT_MIN,0.2055966342214746,0.0,0.3504761237733987,0.0558807609008352,INITIAL,INITIAL,,,17,13
15-39187,15-56571,False,INITIAL_SOURCE,0.8555283875556319,0.1,0.4272689260080278,0.4272689260080278,ANNULATION,INITIAL,15-32051,,19,20
15-42765,15-167650,True,,0.3503941520167254,0.1,0.4024101827284119,0.1269508318350036,INITIAL,INITIAL,,,15,13
15-44894,15-126736,True,,0.4195899788242906,0.1,0.4293663480418526,0.4293663480418526,INITIAL,INITIAL,,,13,11
15-45169,15-159973,True,,0.4154327359373862,0.0,0.3650598018619223,0.0359660191553711,INITIAL,INITIAL,,,18,25
15-46309,15-187883,False,TEXT_MIN,0.2374098558296597,0.2,0.4698236291286419,0.0513886220617559,INITIAL,INITIAL,,,15,16
15-47696,15-52664,True,,0.8461860645636888,1.0,0.7066228536529195,0.4389228745889888,INITIAL,INITIAL,,,29,27
15-48624,16-49315,False,TEXT_MIN,0.0800239965818713,0.1,0.3611643339766729,0.3611643339766729,INITIAL,INITIAL,,,15,26
15-49442,15-91934,False,TEXT_MIN,0.1441017440269069,0.1,0.3753786677900569,0.2170770397174911,INITIAL,INITIAL,,,8,6
15-50024,15-159973,True,,0.4564481728969914,0.0,0.4245860326558655,0.1238661704301729,INITIAL,INITIAL,,,28,25
15-53947,15-164088,False,TEXT_MIN,0.1494155528100949,0.2,0.3976568101063978,0.0084953954573356,INITIAL,INITIAL,,,24,11
15-55407,16-57014,False,TEXT_MIN,0.2455747753225991,0.1,0.3930996601933959,0.0563547784783249,INITIAL,INITIAL,,,25,23
15-58339,15-175690,False,TEXT_MIN,0.2714421172258746,1.0,0.5982373297281363,0.0788879626340282,INITIAL,INITIAL,,,10,8
15-58989,15-105085,False,TEXT_MIN,0.0360290411772068,1.0,0.4829912419415887,0.1811249667257728,INITIAL,INITIAL,,,18,29
15-59370,15-92216,False,TEXT_MIN;INITIAL_CANDIDATE,0.0670171420123232,1.0,0.4609855660643657,0.0172598090061074,INITIAL,RECTIFICATIF,,15-83632,18,26
15-59425,16-55322,False,TEXT_MIN,0.0333827009364599,0.1,0.3489463193969681,0.0252868782931748,INITIAL,INITIAL,,,14,20
15-59770,15-63856,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.9891261286248632,1.0,0.7111766242127451,0.4456500771263847,INITIAL,RECTIFICATIF,,15-59770,21,22
15-60447,15-126308,True,,0.7435029661301509,1.0,0.777146756498597,0.4430474703119413,INITIAL,INITIAL,,,25,23
15-63415,15-126308,True,,0.4284117886009568,0.1,0.3913895925017935,0.0476123778058659,INITIAL,INITIAL,,,23,23
15-64142,15-169809,True,,0.4244999681320422,0.2,0.4966739813998722,0.0289423802135646,INITIAL,INITIAL,,,19,21
15-69497,15-165050,False,TEXT_MIN,0.0226546775422807,0.2,0.366978633416627,0.00569759538013,INITIAL,INITIAL,,,24,21
15-71764,16-32344,False,INITIAL_CANDIDATE,0.3027218717285682,0.0,0.4091085902780168,0.0795210825439225,INITIAL,RECTIFICATIF,,16-20762,10,22
15-74284,16-55322,False,TEXT_MIN,0.0617886701867359,0.1,0.3479379049113935,0.023341866820681,INITIAL,INITIAL,,,20,20
15-75567,15-159244,False,TEXT_MIN,0.2673613902621611,1.0,0.6666185365260533,0.2364477886419017,INITIAL,INITIAL,,,26,21
15-76852,15-173700,False,TEXT_MIN,0.072685209431717,0.2,0.3913333844049117,0.0625910601994658,INITIAL,INITIAL,,,13,17
15-78916,16-72442,False,TEXT_MIN,0.1447018576641215,0.8,0.3515216904802962,0.0302498263118499,INITIAL,INITIAL,,,15,22
15-79099,15-185335,False,TEXT_MIN,0.0452043300113402,0.0,0.3466581339884194,0.0690062726995839,INITIAL,INITIAL,,,17,28
15-81386,16-42170,True,,0.9315141171740462,1.0,0.7758788240595365,0.5312282765777303,INITIAL,INITIAL,,,24,20
15-81652,16-7903,True,,0.3114676232682308,0.1,0.3792042069086639,0.0104259051686987,INITIAL,INITIAL,,,22,13
15-82604,16-40204,True,,0.5749275243277615,1.0,0.6168531924284264,0.2048843811343954,INITIAL,INITIAL,,,12,13
15-83632,15-92216,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.9777097698947343,1.0,0.7195002153457675,0.3920639755627236,INITIAL,RECTIFICATIF,,15-83632,25,26
15-84820,16-57014,False,TEXT_MIN;INITIAL_SOURCE,0.2391239792904391,0.1,0.3908418815821399,0.0543350996271932,RECTIFICATIF,INITIAL,15-55407,,26,23
15-84881,16-103833,False,TEXT_MIN,0.2450031519179422,0.2,0.4160555271747839,0.0719599047814325,INITIAL,INITIAL,,,14,24
15-85320,15-194034,False,TEXT_MIN;INITIAL_SOURCE;INITIAL_CANDIDATE,0.086179815357621,1.0,0.6045737982748607,0.1700605102586397,RECTIFICATIF,RECTIFICATIF,15-83729,15-185335,4,29
15-85858,16-70203,False,TEXT_MIN,0.1597520037124367,1.0,0.6508562586799924,0.0279612538308151,INITIAL,INITIAL,,,31,8
15-86218,15-95253,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.9824713989585664,1.0,0.7677064263415867,0.4551368822876582,INITIAL,RECTIFICATIF,,15-86218,24,25
15-86342,16-63741,False,TEXT_MIN,0.2282287432313073,1.0,0.667979052684615,0.3640634197521137,INITIAL,INITIAL,,,21,10
15-86544,16-15813,False,INITIAL_CANDIDATE,0.3574031309785025,0.0,0.4077148365345477,0.0024818532187623,INITIAL,RECTIFICATIF,,16-9809,18,14
15-89263,15-159973,True,,0.6188074004370833,0.0,0.4074958621634916,0.0172685576804775,INITIAL,INITIAL,,,23,25
