source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,gradient_boosting_score,transfer_score,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,model_name,benchmark_version,threshold_source,source_annonce_lie,source_etat,source_schema_family,source_notice_type_normalized,source_text_length,source_token_count,candidate_annonce_lie,candidate_etat,candidate_schema_family,candidate_notice_type_normalized,candidate_text_length,candidate_token_count,repair_pass_text_min,repair_pass_initial_source,repair_pass_initial_candidate,repair_pass_no_explicit_linked_notice_ref,repair_pass_min_token_count,repair_rule_pass,repair_failure_reasons,repair_rule_version,rule_role
15-101283,16-102267,2015-07-01,2016-07-09,NAME:caf de la sarthe,NAME_FALLBACK,12.28646517739816,2016-04-23,2.5295663600525624,0.5784056066579062,0.337109542221377,1.0,0.6,0.6225897414419586,0.960603625253115,0.960603625253115,1,0.6225897414419586,1,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,49,6,,INITIAL,LEGACY,APPEL_OFFRE,133,22,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
15-111481,16-7640,2015-07-20,2016-01-18,NAME:chu de nantes,NAME_FALLBACK,5.978975032851511,2016-01-20,0.0657030223390276,0.9890494962768288,0.5475438361239635,1.0,0.6,0.7989027167125944,0.9523978007550896,0.9523978007550896,1,0.387568526006604,5,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,173,27,,INITIAL,LEGACY,APPEL_OFFRE,133,21,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
15-139562,16-146809,2015-09-11,2016-10-10,NAME:c h d la roche sur yon-lucon-montaigu,NAME_FALLBACK,12.976346911957949,2017-01-22,3.416557161629435,0.4305738063950942,0.470999994416253,0.2,0.6,0.3924934496444621,0.7550695512879111,0.7550695512879111,1,0.3924934496444621,1,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,173,27,,INITIAL,LEGACY,APPEL_OFFRE,156,18,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
15-140966,16-101519,2015-09-15,2016-07-07,NAME:commune de saint jean de monts,NAME_FALLBACK,9.724047306176084,2016-05-24,1.445466491458607,0.7590889180902322,0.3756679594355756,0.1,0.6,0.4112560153250095,0.3517317447092359,0.3517317447092359,1,0.4112560153250095,1,MEDIUM,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,58,8,,INITIAL,LEGACY,APPEL_OFFRE,77,10,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
15-173700,16-17002,2015-11-17,2016-02-04,NAME:ville de reze,NAME_FALLBACK,2.59526938239159,2016-05-17,3.383705650459921,0.4360490582566798,0.9164580923815036,1.0,0.6,0.7897725968976963,0.9199966156188476,0.9199966156188476,1,0.5896010940734697,3,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,119,17,,INITIAL,LEGACY,APPEL_OFFRE,146,23,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
15-192825,16-146809,2015-12-24,2016-10-10,NAME:c h d la roche sur yon-lucon-montaigu,NAME_FALLBACK,9.559789750328514,2016-06-24,3.54796320630749,0.4086727989487516,0.8373912725929985,1.0,0.6,0.7552551451447373,0.8231096859088713,0.8231096859088713,1,0.7552551451447373,1,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,190,27,,INITIAL,LEGACY,APPEL_OFFRE,156,18,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
15-44894,15-126736,2015-03-24,2015-08-13,NAME:prefecture,NAME_FALLBACK,4.664914586070959,2015-09-24,1.3797634691195797,0.7700394218134035,0.4195899788242906,0.1,0.6,0.4293663480418526,0.3849512563753239,0.3849512563753239,1,0.4293663480418526,1,MEDIUM,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,94,13,,INITIAL,LEGACY,APPEL_OFFRE,80,11,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
15-47696,15-52664,2015-03-30,2015-04-08,SIRET:12000601000058,RAW_SIRET,0.2956636005256242,2015-09-30,5.7490144546649145,0.0418309242225142,0.8461860645636888,1.0,1.0,0.7066228536529195,0.5339830857794784,0.5339830857794784,1,0.4389228745889888,4,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,200,29,,INITIAL,LEGACY,APPEL_OFFRE,183,27,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
15-60447,15-126308,2015-04-20,2015-08-13,NAME:sdis 44,NAME_FALLBACK,3.777923784494088,2015-10-20,2.2339027595269383,0.6276828734121769,0.7435029661301509,1.0,0.6,0.777146756498597,0.9524992654834284,0.9524992654834284,1,0.4430474703119413,3,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,179,25,,INITIAL,LEGACY,APPEL_OFFRE,146,23,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
15-81386,16-42170,2015-05-28,2016-03-24,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,9.888304862023652,2015-11-28,3.843626806833114,0.3593955321944809,0.9315141171740462,1.0,0.6,0.7758788240595365,0.923682545209992,0.923682545209992,1,0.5312282765777303,4,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,153,24,,INITIAL,LEGACY,APPEL_OFFRE,136,20,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
