source_notice_id,candidate_notice_id,repair_rule_pass,repair_failure_reasons,s_text,s_cpv,composite_score,gradient_boosting_score,top1_top2_margin,source_etat,candidate_etat,source_annonce_lie,candidate_annonce_lie,source_token_count,candidate_token_count
15-101283,16-102267,True,,0.337109542221377,1.0,0.6225897414419586,0.960603625253115,0.6225897414419586,INITIAL,INITIAL,,,6,22
15-102348,16-48016,False,TEXT_MIN,0.2726721156563377,1.0,0.671214916344808,0.9321263702267216,0.1964295053862257,INITIAL,INITIAL,,,10,10
15-102510,16-183156,False,TEXT_MIN,0.0301700482473242,0.8,0.4855792277932652,0.6831673869644832,0.135446956289664,INITIAL,INITIAL,,,14,18
15-111481,16-7640,True,,0.5475438361239635,1.0,0.7989027167125944,0.9523978007550896,0.387568526006604,INITIAL,INITIAL,,,27,21
15-136102,15-155719,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.9510071013121866,1.0,0.825134570435174,0.8554794834738785,0.2210207291260015,INITIAL,RECTIFICATIF,,15-136102,17,18
15-137458,15-155719,False,INITIAL_CANDIDATE,0.4303209238308393,1.0,0.6401567823859098,0.9126373043206056,0.6401567823859098,INITIAL,RECTIFICATIF,,15-136102,24,18
15-139562,16-146809,True,,0.470999994416253,0.2,0.3924934496444621,0.7550695512879111,0.3924934496444621,INITIAL,INITIAL,,,27,18
15-140966,16-101519,True,,0.3756679594355756,0.1,0.4112560153250095,0.3517317447092359,0.4112560153250095,INITIAL,INITIAL,,,8,10
15-145608,16-73008,False,TEXT_MIN,0.0075416885373478,0.1,0.182488474036692,0.2725912925679225,0.182488474036692,INITIAL,INITIAL,,,11,16
15-146824,16-9312,False,TEXT_MIN,0.0943536266694895,0.1,0.355229200784168,0.247212157452608,0.355229200784168,INITIAL,INITIAL,,,9,18
15-153604,16-79410,False,TEXT_MIN,0.0653782661404476,0.1,0.2807536152253722,0.2787554838122397,0.2807536152253722,INITIAL,INITIAL,,,17,14
15-159973,16-94711,False,TEXT_MIN,0.080153370039381,1.0,0.6339472406175941,0.9366216007067408,0.0945166388035125,INITIAL,INITIAL,,,25,13
15-165050,15-174987,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.971958674112424,1.0,0.7270690225797338,0.7569774898889439,0.3537555224540879,INITIAL,RECTIFICATIF,,15-165050,21,22
15-165845,16-173853,False,TEXT_MIN,0.1983871468645742,0.1,0.2506531974166176,0.301842160482457,0.2506531974166176,INITIAL,INITIAL,,,22,9
15-169809,15-182957,False,INITIAL_CANDIDATE,0.9479573418528516,1.0,0.7268814340812619,0.7665534862131983,0.0015051518303461,INITIAL,RECTIFICATIF,,15-169809;15-179747,21,24
15-171733,16-85256,False,TEXT_MIN,0.0431773179995268,0.1,0.3140476723379422,0.2779061485009142,0.3140476723379422,INITIAL,INITIAL,,,30,30
15-173090,16-70203,False,TEXT_MIN,0.065630527192823,1.0,0.5344161510089467,0.9492056531169012,0.0280202360181862,INITIAL,INITIAL,,,22,8
15-173700,16-17002,True,,0.9164580923815036,1.0,0.7897725968976963,0.9199966156188476,0.5896010940734697,INITIAL,INITIAL,,,17,23
15-174358,16-70203,False,TEXT_MIN;INITIAL_SOURCE,0.0657775511331507,1.0,0.5344676093880614,0.9492056531169012,0.0295174265200425,RECTIFICATIF,INITIAL,15-173090,,22,8
15-179747,15-182957,False,INITIAL_SOURCE;INITIAL_CANDIDATE,0.975727238254414,1.0,0.7119622644446733,0.5539065265752264,0.2414652535864784,RECTIFICATIF,RECTIFICATIF,15-169809,15-169809;15-179747,22,24
15-184743,16-80474,False,TEXT_MIN,0.1665403361023132,0.1,0.392813865774224,0.239745365423414,0.392813865774224,INITIAL,INITIAL,,,21,26
15-192276,16-94711,False,TEXT_MIN,0.0367841550534658,1.0,0.4189213224246482,0.9349229833995556,0.0945803920689609,INITIAL,INITIAL,,,29,13
