variant,model,AIC,log_likelihood,concordance_index
balanced,weibull_aft,8059.765651732018,-3990.882825866009,0.713503355704698
balanced,lognormal_aft,7948.958001697711,-3935.4790008488553,0.7248329031147823
broad,weibull_aft,11349.899405052365,-5635.949702526183,0.6903425158864823
broad,lognormal_aft,11118.379017864834,-5520.189508932417,0.7071615401325716
strict,weibull_aft,4526.683860615817,-2224.3419303079086,0.7094530743010609
strict,lognormal_aft,4533.684850768054,-2227.842425384027,0.7180968820173114
no_temporal_score_reference_pool,weibull_aft,8106.83739105364,-4014.41869552682,0.6923434047121997
no_temporal_score_reference_pool,lognormal_aft,8032.120525193372,-3977.060262596686,0.70445031050293
forward_24m_no_duration,weibull_aft,11479.33486839656,-5700.66743419828,0.6029295856712353
forward_24m_no_duration,lognormal_aft,11329.043809354387,-5625.521904677194,0.6092555321835458
window_9m,weibull_aft,8866.477281179377,-4394.238640589689,0.7043717653680818
window_9m,lognormal_aft,8744.661818228678,-4333.330909114339,0.7201109425823259
window_12m,weibull_aft,9528.552470918963,-4725.2762354594815,0.6918961253282321
window_12m,lognormal_aft,9431.511024674062,-4676.755512337031,0.7093912271626284
window_18m,weibull_aft,10344.945951649901,-5133.4729758249505,0.6892318279724601
window_18m,lognormal_aft,10241.305832892176,-5081.652916446088,0.7075075324466487
