variant,model,term,coef,exp_coef,p,ci_lower,ci_upper
balanced,cox_clustered_quadratic,log_duration,-0.008467799099723448,0.9915679517296259,0.8992400625036894,0.8697579825322549,1.13043745805555
balanced,cox_clustered_quadratic,duration_sq,0.009574372490909824,1.0096203534242434,0.36504915128467363,0.9889189405763626,1.0307551167484013
broad,cox_clustered_quadratic,log_duration,-0.005621053398307127,0.994394715163203,0.9340353495167529,0.870465233716076,1.1359682285335662
broad,cox_clustered_quadratic,duration_sq,0.012233728482738659,1.0123088666329805,0.23621085564802366,0.9920230425067958,1.0330095144505973
strict,cox_clustered_quadratic,log_duration,-0.047985070346669906,0.9531480171407477,0.4302151669089599,0.8460202311013091,1.0738409191429243
strict,cox_clustered_quadratic,duration_sq,0.003091365480663063,1.0030961486785315,0.7569188366175948,0.983651710390628,1.0229249569383856
no_temporal_score_reference_pool,cox_clustered_quadratic,log_duration,-0.050194306469088276,0.9510446124256188,0.41259318969466385,0.8434407962417886,1.0723762223193518
no_temporal_score_reference_pool,cox_clustered_quadratic,duration_sq,0.005169648574716321,1.005183034264406,0.6221408257975376,0.9847275221288709,1.0260634639200914
forward_24m_no_duration,cox_clustered_quadratic,log_duration,0.05703849355411069,1.0586965626045657,0.24241460576353885,0.9621399316142478,1.1649432424971862
forward_24m_no_duration,cox_clustered_quadratic,duration_sq,0.020684935702565462,1.0209003517100468,0.0033604465631354515,1.0068844257063752,1.0351113807232843
window_9m,cox_clustered_quadratic,log_duration,-0.1291162203348005,0.8788718168330203,0.026574362431560104,0.7840941735839898,0.9851057391394263
window_9m,cox_clustered_quadratic,duration_sq,-0.0055747080831282944,0.9944408017676303,0.5610154332002237,0.9759247412333415,1.0133081644907294
window_12m,cox_clustered_quadratic,log_duration,-0.04457896883448499,0.9564000713125173,0.476990018791529,0.8458270094801974,1.0814281007279696
window_12m,cox_clustered_quadratic,duration_sq,0.007202744427467525,1.0072287465825809,0.4983411129203563,0.9864461179538723,1.028449227461765
window_18m,cox_clustered_quadratic,log_duration,-0.012795934234367595,0.9872855856539339,0.832592800627374,0.8768281599122596,1.1116577594149901
window_18m,cox_clustered_quadratic,duration_sq,0.003826522739518438,1.0038338532247637,0.7163264017956673,0.9833275357585364,1.0247678095404424
