variant,n,events,censoring_rate,median_survival_months,survival_at_12m,survival_at_24m,rmst_60m,cpv_division
balanced,3159,618,0.8043684710351378,inf,0.9242670765858955,0.9140593013493117,53.51300707789051,
balanced__cpv,203,24,0.8817733990147784,inf,1.0,0.9896367463701624,55.85829939135712,30.0
balanced__cpv,370,42,0.8864864864864865,inf,1.0,1.0,57.14324480072686,32.0
balanced__cpv,157,18,0.8853503184713376,inf,1.0,1.0,58.43473742589138,35.0
balanced__cpv,13,0,1.0,inf,1.0,1.0,60.0,38.0
balanced__cpv,19,2,0.8947368421052632,inf,0.8749999999999999,0.8749999999999999,53.61284494086728,42.0
balanced__cpv,87,13,0.8505747126436781,inf,0.9647058823529412,0.8464052287581705,52.92548074858505,45.0
balanced__cpv,466,72,0.8454935622317596,inf,0.9978354978354981,0.9978354978354981,57.98261602867174,48.0
balanced__cpv,50,3,0.94,inf,1.0,1.0,58.379951192040544,50.0
balanced__cpv,56,2,0.9642857142857143,inf,1.0,1.0,58.994170318895044,71.0
balanced__cpv,889,185,0.7919010123734533,inf,0.9988571428571431,0.9976694411414981,57.139696286014576,72.0
balanced__cpv,59,12,0.7966101694915254,inf,1.0,0.982142857142857,56.421194180061136,79.0
balanced__cpv,19,1,0.9473684210526316,inf,1.0,0.9333333333333331,57.33158125273762,80.0
balanced__cpv,13,4,0.6923076923076923,inf,1.0,0.6923076923076924,46.26907914687153,92.0
balanced__cpv,682,217,0.6818181818181819,inf,0.6700771163472969,0.663135132787382,41.57383318401175,
broad,3159,927,0.7065527065527066,inf,0.9005303312859477,0.8797926646083912,50.46700320043627,
broad__cpv,203,49,0.7586206896551724,inf,1.0,0.9583850596426838,51.515341769286074,30.0
broad__cpv,370,77,0.7918918918918919,inf,1.0,1.0,54.73518937517592,32.0
broad__cpv,157,37,0.7643312101910829,inf,1.0,1.0,56.75104937666892,35.0
broad__cpv,13,0,1.0,inf,1.0,1.0,60.0,38.0
broad__cpv,19,5,0.736842105263158,inf,0.8125000000000001,0.6875000000000001,44.75895203679369,42.0
broad__cpv,87,27,0.6896551724137931,inf,0.9177740863787383,0.681250821179872,45.26483422359286,45.0
broad__cpv,466,124,0.7339055793991416,inf,0.9978354978354981,0.9954986465525112,56.475542224479206,48.0
broad__cpv,50,12,0.76,inf,1.0,1.0,53.59888108967503,50.0
broad__cpv,56,13,0.7678571428571428,inf,1.0,1.0,54.012342257435044,71.0
broad__cpv,889,238,0.7322834645669292,inf,0.9988571428571431,0.9976694411414981,56.23761461108032,72.0
broad__cpv,59,18,0.6949152542372881,56.53745072273324,1.0,0.982142857142857,54.8240962993701,79.0
broad__cpv,19,3,0.8421052631578947,inf,1.0,0.8120300751879701,51.98793633228934,80.0
