variant,n,events,censoring_rate,median_survival_months,survival_at_12m,survival_at_24m,rmst_60m
boamp_only_balanced,3380,1003,0.7032544378698224,inf,0.7209046086491103,0.6907940136382628,43.51492343865108
enriched_balanced,3380,1188,0.6485207100591717,inf,0.6786200891882079,0.6332268895614742,40.57059410215392
boamp_only_broad,3380,1504,0.5550295857988166,inf,0.5886447268450918,0.5365516445538988,35.434495215745685
boamp_only_strict,3380,502,0.8514792899408284,inf,0.8572684968363626,0.8460482865929053,51.634940377327666
window_6m,3380,1003,0.7032544378698224,inf,0.7209046086491103,0.6907940136382628,43.51492343865108
window_9m,3380,1080,0.680473372781065,inf,0.7064624881241118,0.6679378645632927,42.23991040482261
window_12m,3380,1130,0.665680473372781,inf,0.6999181756834056,0.6534902146656136,41.418612767831
window_18m,3380,1170,0.6538461538461539,inf,0.7033670343387749,0.6429083188207373,40.86102258514464
no_temporal_rescoring,3380,1003,0.7032544378698224,inf,0.7266978164462621,0.6916654573194065,43.47391493998781
forward_24m_no_duration,3380,1197,0.6458579881656805,inf,0.7286088177347527,0.6287556340003146,40.60906693121494
