variant,term,test_statistic,p,-log2(p)
balanced,buyer_key_type_RAW_SIRET,0.5706525163491338,0.4499997402327899,1.1520039262561033
balanced,cpv_division_22.0,1.9888249525322554,0.15846379513466727,2.657774835255246
balanced,cpv_division_30.0,2.4201887357242904,0.11978049826997188,3.061535056038135
balanced,cpv_division_31.0,0.08979337201082364,0.7644400048060325,0.3875248152309676
balanced,cpv_division_32.0,4.2274100791230325,0.039776092059051124,4.651954649248589
balanced,cpv_division_33.0,0.22415502666283424,0.6358920714756375,0.6531461739690834
balanced,cpv_division_34.0,0.13967779425906468,0.7086015386815678,0.49695349671047934
balanced,cpv_division_35.0,0.5696959032558616,0.45037978162668457,1.1507860312383826
balanced,cpv_division_38.0,1.0682918137567388,0.3013316035795115,1.730576104542469
balanced,cpv_division_39.0,0.08490239596816454,0.770760588788064,0.3756452905262461
balanced,cpv_division_42.0,0.003168928913377576,0.955108203686634,0.0662639103470827
balanced,cpv_division_43.0,0.850231591184611,0.35648683000722103,1.488079315929947
balanced,cpv_division_44.0,0.01274018285760587,0.9101317034120298,0.13585276483877132
balanced,cpv_division_45.0,0.0020552533602891487,0.9638403680693134,0.0531338688314592
balanced,cpv_division_48.0,2.653029656468243,0.10335275044234128,3.274351312348227
balanced,cpv_division_50.0,0.701620766077336,0.4022396287087753,1.3138728717094619
balanced,cpv_division_51.0,0.06290329040858232,0.8019646562022198,0.3183894385629991
balanced,cpv_division_55.0,0.2744405605324675,0.6003684417626125,0.7360799508887308
balanced,cpv_division_64.0,0.01018685077066142,0.9196060837102158,0.12091208456253702
balanced,cpv_division_65.0,0.26161838606938753,0.6090104757697219,0.715461050317262
balanced,cpv_division_66.0,0.00023895985789052735,0.9876665311599028,0.017904072358123236
balanced,cpv_division_71.0,0.6773484928130937,0.41050125901836276,1.2845414480931423
balanced,cpv_division_72.0,15.741264271769298,7.262252573759544e-05,13.749223367959697
balanced,cpv_division_75.0,0.6538512610635,0.4187391092513728,1.25587642618089
balanced,cpv_division_77.0,1.8876645626275974,0.16946557115568422,2.5609358915443847
balanced,cpv_division_79.0,6.484575007984625,0.010881455197042426,6.521984686019958
balanced,cpv_division_80.0,0.007225459725882332,0.9322592408306007,0.10119690239565182
balanced,cpv_division_85.0,1.438342231975924,0.2304077918091908,2.1177385889821267
balanced,cpv_division_9.0,0.7384057746537738,0.3901720443820189,1.3578176815643455
balanced,cpv_division_90.0,0.07831358890095494,0.7795959252328456,0.35920154490434747
balanced,cpv_division_92.0,0.018529120187680333,0.8917250644309856,0.16532912613498427
balanced,cpv_division_MISSING,4.132066339698411,0.042077941689675116,4.570792055171278
balanced,dur_was_imputed,11.304658442970904,0.0007731286938906463,10.337003796467735
balanced,duration_sq,31.863474425859103,1.65398294140379e-08,25.849480403960367
balanced,log_duration,20.25567326832416,6.775225088970592e-06,17.17129969232669
