variant,term,test_statistic,p,-log2(p)
no_temporal_score_reference_pool,buyer_key_type_RAW_SIRET,1.2297225546575092,0.26746100136601575,1.9025995481867755
no_temporal_score_reference_pool,cpv_division_22.0,2.0024730543311273,0.1570427990341376,2.670770303033538
no_temporal_score_reference_pool,cpv_division_30.0,3.2150065113275277,0.07296590105801419,3.7766337787634963
no_temporal_score_reference_pool,cpv_division_31.0,1.1968235190921075,0.2739574800061928,1.8679761000388062
no_temporal_score_reference_pool,cpv_division_32.0,5.125687961099388,0.023574223972365256,5.406645909421429
no_temporal_score_reference_pool,cpv_division_33.0,0.3404668183830997,0.5595598893790374,0.8376355445861583
no_temporal_score_reference_pool,cpv_division_34.0,0.07949765410263045,0.7779793318509283,0.3621962664525579
no_temporal_score_reference_pool,cpv_division_35.0,1.1402803694497248,0.2855930918437256,1.8079670121706823
no_temporal_score_reference_pool,cpv_division_38.0,1.4068714944887986,0.2355764379793799,2.085732844811525
no_temporal_score_reference_pool,cpv_division_39.0,0.16051928592056824,0.6886788723162474,0.5380966770011337
no_temporal_score_reference_pool,cpv_division_42.0,0.000775035578818954,0.977790192965126,0.03240315940379097
no_temporal_score_reference_pool,cpv_division_43.0,0.881525857306315,0.34778409977917424,1.5237361188101433
no_temporal_score_reference_pool,cpv_division_44.0,0.008276251029009023,0.9275133274301288,0.10856008293374385
no_temporal_score_reference_pool,cpv_division_45.0,0.07539806049700455,0.783633499197113,0.35174902284013976
no_temporal_score_reference_pool,cpv_division_48.0,3.333187756644406,0.06789516326327223,3.8805473868015294
no_temporal_score_reference_pool,cpv_division_50.0,0.4958224652610973,0.48134146849324233,1.0548673752779065
no_temporal_score_reference_pool,cpv_division_51.0,0.035571839281202715,0.8504024277295835,0.23378237940541982
no_temporal_score_reference_pool,cpv_division_55.0,0.2847882381492231,0.5935798728281958,0.752485921161875
no_temporal_score_reference_pool,cpv_division_64.0,0.08797973847859786,0.7667613840378289,0.38315041367155933
no_temporal_score_reference_pool,cpv_division_65.0,0.26731201152059453,0.6051406237998571,0.7246576571541051
no_temporal_score_reference_pool,cpv_division_66.0,0.009435218485732987,0.9226191443459559,0.11619286625312164
no_temporal_score_reference_pool,cpv_division_71.0,1.3327700223334165,0.24831302519687634,2.009768155184599
no_temporal_score_reference_pool,cpv_division_72.0,19.914170453095736,8.099773446284065e-06,16.913687013486598
no_temporal_score_reference_pool,cpv_division_75.0,0.3579546010258746,0.5496443979165503,0.8634295513081071
no_temporal_score_reference_pool,cpv_division_77.0,1.9142503060137774,0.166491891153234,2.586476181121738
no_temporal_score_reference_pool,cpv_division_79.0,6.63420620617925,0.010003876388468244,6.643297053497226
no_temporal_score_reference_pool,cpv_division_80.0,0.0010067809504695358,0.974687520552927,0.03698832197891912
no_temporal_score_reference_pool,cpv_division_85.0,1.6108907020680652,0.20436664203729796,2.2907683648290877
no_temporal_score_reference_pool,cpv_division_9.0,0.7314442888210706,0.39241543851742566,1.349546293303742
no_temporal_score_reference_pool,cpv_division_90.0,0.12433058728338159,0.7243842683126831,0.46517287973363214
no_temporal_score_reference_pool,cpv_division_92.0,0.07572105828635256,0.7831821032883624,0.35258029699392834
no_temporal_score_reference_pool,cpv_division_MISSING,5.372938493161246,0.020451495868663357,5.611649820770194
no_temporal_score_reference_pool,dur_was_imputed,20.154800919490487,7.142076050297134e-06,17.095225073204396
no_temporal_score_reference_pool,duration_sq,30.91303407266764,2.6985332887045695e-08,25.143249274807513
no_temporal_score_reference_pool,log_duration,18.47028233472551,1.7257435582151986e-05,15.822422375376503
