identity_level,transformation_label,n_name_pairs
SIREN,potential_historical_name_change,4801
SIREN,location_added,4178
SIREN,department_or_service_added,3006
SIREN,establishment_vs_legal_unit_name,2993
SIREN,other_or_unclear,782
SIREN,abbreviation_or_expansion,258
SIREN,legal_suffix_removal,100
SIREN,punctuation_or_accent_change,58
SIREN,token_reordering,8
SIREN,acronym,7
SIRET,potential_historical_name_change,4587
SIRET,location_added,3946
SIRET,department_or_service_added,2946
SIRET,establishment_vs_legal_unit_name,2913
SIRET,other_or_unclear,724
SIRET,abbreviation_or_expansion,251
SIRET,legal_suffix_removal,103
SIRET,punctuation_or_accent_change,58
SIRET,token_reordering,11
SIRET,acronym,7
