identity_level,identity_value,name_a,name_b,raw_name_a,raw_name_b,sequence_similarity,token_jaccard,first_date,last_date,years_between_forms,transformation_labels,n_notices_identity,n_normalized_names_identity,activity_level
SIRET,17440005100010,alter public au nom et pour le compte d angers loire metropole,ars pays de la loire,Alter Public au nom et pour le compte d'Angers Loire Métropole.,ARS Pays de la Loire,0.36585365853658536,0.0625,2024-02-01,2024-07-25,0.4791238877481177,location_added,515,75,21+
SIRET,17440005100010,alter public au nom et pour le compte d angers loire metropole,ca pornic agglo pays de retz,Alter Public au nom et pour le compte d'Angers Loire Métropole.,CA PORNIC AGGLO PAYS DE RETZ,0.24444444444444444,0.0,2024-02-01,2024-07-25,0.4791238877481177,location_added,515,75,21+
SIRET,17440005100010,alter public au nom et pour le compte d angers loire metropole,ca saumur val de loire,Alter Public au nom et pour le compte d'Angers Loire Métropole.,CA SAUMUR VAL DE LOIRE,0.42857142857142855,0.0625,2024-02-01,2024-07-25,0.4791238877481177,location_added,515,75,21+
SIRET,17440005100010,alter public au nom et pour le compte d angers loire metropole,centre communal d action sociale de laval,Alter Public au nom et pour le compte d'Angers Loire Métropole.,Centre Communal d'Action Sociale de Laval,0.3106796116504854,0.05555555555555555,2024-02-01,2026-03-08,2.0971937029431897,location_added;department_or_service_added;establishment_vs_legal_unit_name;potential_historical_name_change,515,75,21+
SIRET,17440005100010,alter public au nom et pour le compte d angers loire metropole,centre de gestion de la fonction publique territoriale de loire-atlantique,Alter Public au nom et pour le compte d'Angers Loire Métropole.,Centre de Gestion de la fonction publique territoriale de Loire-Atlantique,0.3235294117647059,0.05,2024-02-01,2024-07-25,0.4791238877481177,location_added;department_or_service_added;establishment_vs_legal_unit_name,515,75,21+
SIRET,17440005100010,alter public au nom et pour le compte d angers loire metropole,centre de gestion fpt loire-atlantique,Alter Public au nom et pour le compte d'Angers Loire Métropole.,Centre de Gestion FPT Loire-Atlantique,0.34,0.058823529411764705,2024-02-01,2024-12-12,0.8624229979466119,location_added;department_or_service_added;establishment_vs_legal_unit_name,515,75,21+
SIRET,17440005100010,alter public au nom et pour le compte d angers loire metropole,centre hospitalier du mans etablissement support du ght 72,Alter Public au nom et pour le compte d'Angers Loire Métropole.,"CENTRE HOSPITALIER DU MANS, établissement support du GHT 72",0.23333333333333334,0.0,2024-02-01,2024-07-25,0.4791238877481177,location_added;department_or_service_added;establishment_vs_legal_unit_name,515,75,21+
SIRET,17440005100010,alter public au nom et pour le compte d angers loire metropole,centre hospitalier universitaire d angers,Alter Public au nom et pour le compte d'Angers Loire Métropole.,Centre hospitalier Universitaire d'ANGERS,0.36893203883495146,0.13333333333333333,2024-02-01,2024-07-25,0.4791238877481177,location_added;department_or_service_added;establishment_vs_legal_unit_name,515,75,21+
SIRET,17440005100010,alter public au nom et pour le compte d angers loire metropole,centre hospitalier universitaire de nantes,Alter Public au nom et pour le compte d'Angers Loire Métropole.,Centre Hospitalier Universitaire de Nantes,0.3269230769230769,0.0,2024-02-01,2024-10-01,0.6652977412731006,location_added;department_or_service_added;establishment_vs_legal_unit_name,515,75,21+
SIRET,17440005100010,alter public au nom et pour le compte d angers loire metropole,ch du mans - ets support du ght 72,Alter Public au nom et pour le compte d'Angers Loire Métropole.,CH DU MANS - Ets support du GHT 72,0.3617021276595745,0.0,2024-02-01,2024-09-18,0.6297056810403833,location_added;establishment_vs_legal_unit_name,515,75,21+
