identity_level,identity_value,n_raw_names,n_normalized_names,active_years,n_notices,activity_level,earliest_name_raw,latest_name_raw,earliest_name_normalized,latest_name_normalized,example_raw_names,example_normalized_names
SIREN,174400051,85,75,3,515,21+,Communauté de communes Estuaire et Sillon,DEPARTEMENT DU MAINE ET LOIRE,communaute de communes estuaire et sillon,departement du maine et loire,"ARS Pays de la Loire;Alter Public au nom et pour le compte d'Angers Loire Métropole.;CA PORNIC AGGLO PAYS DE RETZ;CA SAUMUR VAL DE LOIRE;CENTRE HOSPITALIER DU MANS, établissement support du GHT 72;CH DU MANS - Ets support du GHT 72;CHD VENDEE;CHD VENDEE - Etablissement support du GHT 85",alter public au nom et pour le compte d angers loire metropole;ars pays de la loire;ca pornic agglo pays de retz;ca saumur val de loire;centre communal d action sociale de laval;centre de gestion de la fonction publique territoriale de loire-atlantique;centre de gestion fpt loire-atlantique;centre hospitalier du mans etablissement support du ght 72
SIREN,110002011,75,71,9,179,21+,MINDEF/EMA/DC SCA/PFAF CO Rennes,PFC Sud-Ouest,mindef ema dc sca pfaf co rennes,pfc sud-ouest,Armement des phares et balises;COMSOPGN;COUR D'APPEL DE BORDEAUX;COUR D'APPEL DE BORDEAUX - Service Administratif Interrégional;Cci du mans et de la sarthe;Centre de soutien technique et administratif;Centre ministériel de Valorisation des Ressources Humaines (CMVRH) - Ministere de la Transition écologique et de la cohésion des territoires;Centre national de production d'infrastructure de la défense,armement des phares et balises;cci du mans et de la sarthe;centre de soutien technique et administratif;centre ministeriel de valorisation des ressources humaines cmvrh - ministere de la transition ecologique et de la cohesion des territoires;centre national de production d infrastructure de la defense;commandement des ecoles de la gn;comsopgn;conseil d etat
SIREN,173501115,30,28,3,57,21+,SDIS 44,SPL Bois Energie Renouvelable,sdis 44,spl bois energie renouvelable,"Brest métropole aménagement SPL;CHU D'ANGERS, Etablissement support du Groupement Territorial Hospitalier de Maine-et-Loire;CHU d'ANGERS, Coordonnateur d'un groupement de commandes régional constitué pour les établissements parties des GHT de la région Pays de la Loire, en application des articles L.2113-6 et L.2113-7 du code de la commande publique pour la passation et l'exécution du marché objet du présent avis.;CHU de Nantes agissant au nom et pour le compte du GIE IROISE (GROUPEMENT D'INTERET ECONOMIQUE IMAGERIE PAR RESONANCE SUBSTITUTIVE EVOLUTIVE) dans la passation du présent marché;Cholet Agglomération;Communauté de communes Baugeois Vallée;Cour administrative d'Appel de Rennes;Cour administrative d'Appel de rennes",brest metropole amenagement spl;cholet agglomeration;chu d angers coordonnateur d un groupement de commandes regional constitue pour les etablissements parties des ght de la region pays de la loire en application des articles l 2113-6 et l 2113-7 du code de la commande publique pour la passation et l execution du marche objet du present avis;chu d angers etablissement support du groupement territorial hospitalier de maine-et-loire;chu de nantes agissant au nom et pour le compte du gie iroise groupement d interet economique imagerie par resonance substitutive evolutive dans la passation du present marche;communaute de communes baugeois vallee;cour administrative d appel de rennes;cours administrative d appel de rennes
SIREN,173500059,28,27,3,38,21+,Ville de Saint-Malo,"TERRITOIRES PUBLICS
Mandataire agissant au nom et pour le compte de Rennes Métropole",ville de saint-malo,territoires publics mandataire agissant au nom et pour le compte de rennes metropole,CA LANNION-TREGOR COMMUNAUTE;CC BRETAGNE PORTE DE LOIRE COMMUNAUTE;CC PLEYBEN-CHATEAULIN-PORZAY;COMMUNE DE BAIN DE BRETAGNE;COMMUNE DE CESSON-SEVIGNE;Direction Interrégionale de la Protection Judiciaire de la Jeunesse - Grand-Ouest;Direction interdépartementale des routes ouest DIR Ouest;EAU DU PAYS DE FOUGERES,ca lannion-tregor communaute;cc bretagne porte de loire communaute;cc pleyben-chateaulin-porzay;commune de bain de bretagne;commune de cesson-sevigne;direction interdepartementale des routes ouest dir ouest;direction interregionale de la protection judiciaire de la jeunesse - grand-ouest;eau du pays de fougeres
SIREN,920842150,17,17,3,31,21+,CARIFOREF,La Cité des Congrès de Nantes agissant au nom et pour le compte de Nantes Métropole,cariforef,la cite des congres de nantes agissant au nom et pour le compte de nantes metropole,"CA SAUMUR VAL DE LOIRE;CARIFOREF;CARIFOREF des Pays de la Loire;CCAS des Sables d'Olonne;CHU D'ANGERS, ETABLISSEMENT SUPPORT DU GHT 49;LE MANS UNIVERSITE;La Cité des Congrès de Nantes;La Cité des Congrès de Nantes agissant au nom et pour le compte de Nantes Métropole",ca saumur val de loire;cariforef;cariforef des pays de la loire;ccas des sables d olonne;chu d angers etablissement support du ght 49;la cite des congres de nantes;la cite des congres de nantes agissant au nom et pour le compte de nantes metropole;le mans universite
SIREN,264900036,19,16,6,201,21+,CTRE HOSP UNIVERSITAIRE ANGERS,49 CHU,ctre hosp universitaire angers,49 chu,"49 CHU;CENTRE HOSPITALIER UNIVERSITAIRE D'ANGERS;CHI ANGERS GHT 49;CHU ANGERS;CHU ANGERS ETABLISSEMENT SUPPORT DU GHT49;CHU ANGERS Etablissement support du Groupement Hospitalier de Territoire de Maine et Loire;CHU ANGERS POUR UNIHA;CHU ANGERS, ETABLISSEMENT SUPPORT DU GROUPEMENT HOSPITALIER DE TERRITOIRE DU MAINE ET LOIRE",49 chu;centre hospitalier universitaire d angers;centre hospitalier universitaire d angers etablissement support du groupement hospitalier de territoire 49;chi angers ght 49;chu angers;chu angers etablissement support du ght 49;chu angers etablissement support du ght49;chu angers etablissement support du groupement hospitalier de territoire de maine et loire
SIREN,775604853,16,14,12,199,21+,GPM de Nantes - St Nazaire,Grand Port Maritime de Nantes Saint-Nazaire,gpm de nantes - st nazaire,grand port maritime de nantes saint-nazaire,"GPM de Nantes - St Nazaire;GRAND PORT MARITIME DE NANTES SAINT-NAZAIRE;GRAND PORT MARITIME DE NANTES SAINT-NAZAIRE -Service Achats (ACH);GRAND PORT MARITIME DE NANTES SAINT-NAZAIRE, Service Achat (ACH);GRAND PORT MARITIME DE NANTES SAINTNAZAIRE,
Service Achat (ACH);GRAND PORT MARITIME DE NANTES SAINTNAZAIRE, Service Achat;GRAND PORT MARITIME DE NANTES ST-NAZAIRE;GRAND PORT MARITIME NANTES SAINT-NAZAIRE",gpm de nantes - st nazaire;grand port maritime de nantes - service achats ach;grand port maritime de nantes saint-nazaire;grand port maritime de nantes saint-nazaire -service achats ach;grand port maritime de nantes saint-nazaire gpmnsn;grand port maritime de nantes saint-nazaire service achat ach;grand port maritime de nantes saint-nazaire service achats magasins ach;grand port maritime de nantes saint-naziare service achats ach
SIREN,528848153,15,14,6,47,21+,ALTER Public,Alter Public au nom et pour le compte de la Communauté de Communes Loire Layon Aubance.,alter public,alter public au nom et pour le compte de la communaute de communes loire layon aubance,"ALTER PUBLIC agissant au nom et pour le compte de la
 Commune Loire Authion;ALTER Public;Alter Public Agissant au nom et pour le compte de la Ville d’Angers;Alter Public Agissant au nom et pour le compte de la Ville d’Avrillé;Alter Public Agissant au nom et pour le compte du Département de Maine-et-Loire;Alter Public agissant au nom et pour le compte de la Ville d'Avrillé.;Alter Public agissant au nom et pour le compte de la Ville de CHOLET;Alter Public agissant au nom et pour le compte de la commune de Sévremoine",alter public;alter public agissant au nom et pour le compte de la commune de sevremoine;alter public agissant au nom et pour le compte de la commune loire authion;alter public agissant au nom et pour le compte de la ville d angers;alter public agissant au nom et pour le compte de la ville d avrille;alter public agissant au nom et pour le compte de la ville de cholet;alter public agissant au nom et pour le compte du departement de maine-et-loire;alter public agissant au nom et pour le compte du departement de maine-et-loire et de la commune de beaupreau-en-mauges
SIREN,267200160,20,12,5,162,21+,CH LE MANS,Centre hospitalier du Mans,ch le mans,centre hospitalier du mans,"CENTRE HOSPITALIER DU MANS;CENTRE HOSPITALIER DU MANS
Etablissement support du GHT 72;CENTRE HOSPITALIER DU MANS - 
Etablissement support du GHT 72;CENTRE HOSPITALIER DU MANS - ETS SUPPORT DU GHT 72;CENTRE HOSPITALIER DU MANS - ETS SUPPORT GHT 72;CENTRE HOSPITALIER DU MANS - ETS support GHT 72;CENTRE HOSPITALIER DU MANS - Ets support GHT 72;CENTRE HOSPITALIER DU MANS - Ets support du GHT 72",centre hospitalier du mans;centre hospitalier du mans - etablissement support du ght 72;centre hospitalier du mans - ets support du ght 72;centre hospitalier du mans - ets support du ght72;centre hospitalier du mans - ets support ght 72;centre hospitalier du mans etablissement support du ght 72;centre hospitalier du mans- ets support ght 72;centre hospitalier le mans
SIREN,130029283,12,12,3,21,21+,DIR REG CONCURRENCE CONSOMMATION TRAV,SGAMI Ouest,dir reg concurrence consommation trav,sgami ouest,Administration publique générale;CA PORNIC AGGLO PAYS DE RETZ;CCAS des Sables d'Olonne;CH DU MANS - Ets support du GHT 72;Conseil régional des Pays de la Loire;Cté Cne PontChâteau-St Gildas des Bois;DIR REG CONCURRENCE CONSOMMATION TRAV;DREETS DES PAYS DE LA LOIRE,administration publique generale;ca pornic agglo pays de retz;ccas des sables d olonne;ch du mans - ets support du ght 72;conseil regional des pays de la loire;cte cne pontchateau-st gildas des bois;dir reg concurrence consommation trav;dreets des pays de la loire
