buyer_key,n_notices
NAME:nantes metropole,3185
NAME:conseil regional des pays de la loire,1616
SIRET:24720013200014,1246
NAME:chu de nantes,1209
NAME:ville de nantes,1106
SIRET:22850001300658,1005
NAME:angers loire metropole,977
SIRET:23440003400026,961
NAME:conseil departemental loire-atlantique,923
NAME:ch le mans,920
SIRET:22720002900014,866
NAME:departement de la sarthe,759
NAME:universite de nantes,733
NAME:commune de nantes,732
NAME:ville du mans,657
NAME:ctre hosp universitaire angers,641
NAME:ville d angers,636
SIRET:24440040400129,617
NAME:departement de maine-et-loire,576
NAME:universite d angers,566
SIRET:17440005100010,515
NAME:semitan,501
NAME:departement de la vendee,497
NAME:le mans metropole - communaute urbaine,495
NAME:chd vendee,493
NAME:vendee eau,486
SIRET:22440002800011,470
NAME:commune de saint-herblain,464
NAME:conseil departemental de la mayenne,459
NAME:le mans metropole,427
SIRET:22490001900015,426
SIRET:22530001100015,425
NAME:gpm de nantes - st nazaire,422
SIRET:21720181300011,418
SIRET:21440184600016,387
NAME:commune de saint-nazaire,366
NAME:laval agglomeration,360
NAME:semitan mandataire de nantes metropole,348
NAME:crous de nantes,346
NAME:cte de cnes du pays d ancenis,343
SIRET:24440064400013,340
NAME:syndicat trivalis,329
NAME:centre hospitalier de laval 53,326
NAME:ecole centrale de nantes,311
NAME:la roche-sur-yon agglomeration,292
NAME:ville de cholet,289
NAME:conseil general de la vendee,286
NAME:ville de la roche sur yon,281
NAME:mauges communaute,278
NAME:carene,278
NAME:metropole nantes metropole,277
NAME:ville de saumur,263
NAME:ville de carquefou,263
SIRET:26440013600471,259
NAME:ville de bouguenais,258
NAME:sdis 44,256
SIRET:21440109300015,256
NAME:ville d orvault,250
NAME:sdis 85,250
SIRET:19490970100303,244
NAME:ville de laval,241
NAME:universite du maine,239
NAME:ville de saint nazaire,239
NAME:com d agglo reg nazairienne estuaire,233
NAME:commune de saint nazaire,228
NAME:ca saumur val de loire,227
NAME:departement de la mayenne,226
NAME:centre hospitalier de laval,226
NAME:conseil general de loire-atlantique,224
NAME:commune de pornic,213
NAME:dreal pays de la loire,207
NAME:cap atlantique,207
NAME:communaute urbaine d alencon,207
NAME:cdc du pays de saint gilles cx de vie,206
NAME:conseil departemental loire atlantique,206
SIRET:24490001500011,206
NAME:oniris,205
SIRET:26490003600015,201
NAME:cmar pays de la loire,200
SIRET:77560485300041,199
SIRET:25850022200033,197
NAME:ville de noirmoutier,197
NAME:ca agglomeration du choletais,192
NAME:chu d angers,189
NAME:ca pornic agglo pays de retz,188
NAME:saint-nazaire agglomeration - la carene,182
NAME:ville de saint sebastien sur loire,180
SIRET:11000201100044,179
NAME:mairie de coueron,176
NAME:cte d agglomeration du choletais,176
NAME:semitan mandataire de la cun,173
NAME:ademe,172
NAME:ville d alencon,171
NAME:commune les sables d olonne,167
SIRET:26720016000013,162
SIRET:27490003400019,158
