buyer_name_normalized,n_notices,n_sirets,n_sirens,n_departments,n_buyer_keys,n_active_years,first_year,last_year,activity_level,example_sirets,example_sirens,example_departments,example_buyer_keys,is_generic_name,same_siren_different_sirets,different_sirens,department_consistent_mapping,department_conflicting_mapping,ambiguity_class
laval agglomeration,452,12,6,1,13,12,2015,2026,21+,17440005100010;20008339200015;20008339200049;20008339200056;20008339200064;20008339200114;20008339200130;20008339200148,174400051;200083392;200094100;255301210;382473957;880082722,53,NAME:laval agglomeration;SIRET:17440005100010;SIRET:20008339200015;SIRET:20008339200049;SIRET:20008339200056;SIRET:20008339200064;SIRET:20008339200114;SIRET:20008339200130,False,False,True,True,False,different_sirens
nantes metropole,3837,11,5,1,12,12,2015,2026,21+,17440005100010;21440109300015;24440040400012;24440040400020;24440040400079;24440040400087;24440040400103;24440040400129,174400051;214401093;244400404;450452115;920842150,44,NAME:nantes metropole;SIRET:17440005100010;SIRET:21440109300015;SIRET:24440040400012;SIRET:24440040400020;SIRET:24440040400079;SIRET:24440040400087;SIRET:24440040400103,False,False,True,True,False,different_sirens
chu nantes,221,10,10,2,11,9,2018,2026,21+,17440005100010;26440013600471;30122243600034;31333597800075;48381961100037;50472006100101;53835153700013;84485596500027,174400051;264400136;301222436;313335978;483819611;504720061;538351537;844855965,35;44,NAME:chu nantes;SIRET:17440005100010;SIRET:26440013600471;SIRET:30122243600034;SIRET:31333597800075;SIRET:48381961100037;SIRET:50472006100101;SIRET:53835153700013,False,False,True,False,True,different_sirens
nantes universite,172,9,9,4,10,3,2024,2026,21+,13002928300012;13002974700016;17440005100010;26690027300019;31102091100013;42281009300068;50461584000023;53870002200279,130029283;130029747;174400051;266900273;311020911;422810093;504615840;538700022,35;44;49;85,NAME:nantes universite;SIRET:13002928300012;SIRET:13002974700016;SIRET:17440005100010;SIRET:26690027300019;SIRET:31102091100013;SIRET:42281009300068;SIRET:50461584000023,True,False,True,False,True,different_sirens
cholet agglomeration,126,9,8,2,10,4,2023,2026,21+,06820078100026;17350111500864;17440005100010;20007167800011;20007167800045;24490070000026;40845469200018;47789641900074,068200781;173501115;174400051;200071678;244900700;408454692;477896419;919738898,44;49,NAME:cholet agglomeration;SIRET:06820078100026;SIRET:17350111500864;SIRET:17440005100010;SIRET:20007167800011;SIRET:20007167800045;SIRET:24490070000026;SIRET:40845469200018,False,False,True,False,True,different_sirens
ca pornic agglo pays de retz,256,9,4,2,10,10,2017,2026,21+,13002928300012;17440005100010;20006734600011;20006734600029;20006734600045;20006734600102;20006734600136;20006734600169,130029283;174400051;200067346;481945517,35;44,NAME:ca pornic agglo pays de retz;SIRET:13002928300012;SIRET:17440005100010;SIRET:20006734600011;SIRET:20006734600029;SIRET:20006734600045;SIRET:20006734600102;SIRET:20006734600136,False,False,True,False,True,different_sirens
region des pays de la loire,390,8,8,5,9,3,2024,2026,21+,13002928300012;17440005100010;19720033000029;23440003400026;31587164001769;48794076900127;53217613800024;92084215000012,130029283;174400051;197200330;234400034;315871640;487940769;532176138;920842150,44;49;53;72;85,NAME:region des pays de la loire;SIRET:13002928300012;SIRET:17440005100010;SIRET:19720033000029;SIRET:23440003400026;SIRET:31587164001769;SIRET:48794076900127;SIRET:53217613800024,False,False,True,False,True,different_sirens
mauges communaute,383,8,2,1,9,11,2016,2026,21+,17440005100010;20006001000010;20006001000028;20006001000036;20006001000044;20006001000051;20006001000077;20006001000085,174400051;200060010,49,NAME:mauges communaute;SIRET:17440005100010;SIRET:20006001000010;SIRET:20006001000028;SIRET:20006001000036;SIRET:20006001000044;SIRET:20006001000051;SIRET:20006001000077,False,False,True,True,False,different_sirens
ville de cholet,384,7,7,2,8,12,2015,2026,21+,17350111500864;17440005100010;21490099500017;30213540500124;33397510000061;33758742200045;37975368400016,173501115;174400051;214900995;302135405;333975100;337587422;379753684,44;49,NAME:ville de cholet;SIRET:17350111500864;SIRET:17440005100010;SIRET:21490099500017;SIRET:30213540500124;SIRET:33397510000061;SIRET:33758742200045;SIRET:37975368400016,True,False,True,False,True,different_sirens
centre communal d action sociale,71,7,6,9,8,11,2016,2026,21+,20005443500017;20005456700025;20006580300013;20006580300021;26170019900118;26490115800016;26720146500015,200054435;200054567;200065803;261700199;264901158;267201465,16;17;28;49;51;61;72;79,NAME:centre communal d action sociale;SIRET:20005443500017;SIRET:20005456700025;SIRET:20006580300013;SIRET:20006580300021;SIRET:26170019900118;SIRET:26490115800016;SIRET:26720146500015,False,False,True,False,True,different_sirens
