buyer_key,n_distinct_names
SIRET:17440005100010,75
SIRET:11000201100044,71
SIRET:17350005900014,27
SIRET:92084215000012,17
SIRET:26490003600015,16
SIRET:77560485300041,14
SIRET:52884815300029,14
SIRET:26720016000013,12
SIRET:13002928300012,11
SIRET:13000170400589,10
SIRET:21440109300015,10
SIRET:17350111500864,10
SIRET:26440013600471,9
SIRET:21490099500017,9
SIRET:12006401900074,9
SIRET:24440040400129,9
SIRET:26850242400016,9
SIRET:17350111500161,9
SIRET:00558011300040,8
SIRET:51516374900010,8
SIRET:17750005500013,8
SIRET:17440000200039,7
SIRET:25490130900032,7
SIRET:23440003400026,7
SIRET:25440253000011,7
SIRET:34500228100045,7
SIRET:88324710800011,7
SIRET:12001201800111,6
SIRET:20000043800099,6
SIRET:00638015800045,5
