window_months,buyer_key_type,mean,median,p90,pct_zero_candidates,n
6,NAME_FALLBACK,27.4073242277019,11.0,74.0,0.10970299752497938,43636
6,RAW_SIRET,22.62643286026201,8.0,67.0,0.1306632096069869,14656
12,NAME_FALLBACK,52.15766798056651,20.0,138.0,0.08458612155101293,43636
12,RAW_SIRET,41.402292576419214,13.0,126.0,0.09798034934497817,14656
24,NAME_FALLBACK,94.87038225318544,33.0,258.0,0.07150059583829865,43636
24,RAW_SIRET,69.13503002183405,20.0,221.0,0.08324235807860263,14656
36,NAME_FALLBACK,129.36653222110183,41.0,355.0,0.06742139517829315,43636
36,RAW_SIRET,87.74515556768559,24.0,298.5,0.07819323144104803,14656
60,NAME_FALLBACK,178.08765698047483,49.0,498.0,0.0643505362544688,43636
60,RAW_SIRET,110.59340884279476,27.0,387.0,0.07409934497816593,14656
