cpv_division,n_notices,share
45,17200,0.20325443437363364
,14438,0.1706155536910769
71,9821,0.1160559186036893
90,4581,0.054134218829396265
79,4461,0.05271616463609184
50,3373,0.03985913995013176
66,2638,0.031173558016142182
34,2329,0.0275220684683833
39,1998,0.023610602318518605
72,1775,0.020975384942627892
33,1629,0.019250085674107513
44,1618,0.019120097373054607
30,1412,0.016685771007882017
60,1185,0.014003285158881155
15,1178,0.013920565330938398
55,1178,0.013920565330938398
77,1176,0.013896931094383324
92,1017,0.012018009288254966
09,974,0.011509873202320883
38,832,0.009831842406910651
80,817,0.009654585632747598
42,804,0.00950096309513962
48,794,0.009382791912364252
32,680,0.00803564042872505
31,657,0.0077638467083417035
64,652,0.0077047611169540195
85,643,0.007598407052456188
18,519,0.00613308438604162
75,515,0.006085815912931472
98,476,0.0056249483001075355
24,377,0.004455053590631389
22,354,0.004183259870248041
65,312,0.003686940902591494
35,301,0.003556952601538589
37,298,0.0035215012467059784
63,296,0.0034978670101509044
03,290,0.0034269643004856834
16,196,0.0023161551823972205
70,194,0.002292520945842147
43,186,0.002197983999621852
19,125,0.001477139784692105
14,114,0.0013471514836391996
51,114,0.0013471514836391996
73,67,0.0007917469245949683
41,28,0.00033087931177103153
76,1,1.181711827753684e-05
