value,missing_rate,n,dim,year_status
2015,0.30126953125,6144,publication_year,PARTIAL
2016,0.280865081638499,6982,publication_year,FULL
2017,0.2583612040133779,7176,publication_year,FULL
2018,0.23522853957636566,7176,publication_year,FULL
2019,0.18934457646607897,7827,publication_year,FULL
2020,0.1823721127958056,7057,publication_year,FULL
2021,0.1312008674437517,7378,publication_year,FULL
2022,0.11099585062240663,7712,publication_year,FULL
2023,0.09665059943146706,8091,publication_year,FULL
2024,0.09076454220219955,7547,publication_year,FULL
2025,0.09334186939820743,7810,publication_year,FULL
2026,0.07923717432178351,3723,publication_year,PARTIAL
EFORMS,0.0,10682,schema_family,n/a
LEGACY,0.19526379140125236,73941,schema_family,n/a
APPEL_OFFRE,0.21375145817607905,58292,notice_type_normalized,n/a
ATTRIBUTION,0.0714095744680851,22560,notice_type_normalized,n/a
OTHER,0.09732166534075842,3771,notice_type_normalized,n/a
1,0.0,23,dept_primary,n/a
10,0.0,1,dept_primary,n/a
11,0.6666666666666666,3,dept_primary,n/a
12,0.0,1,dept_primary,n/a
13,0.07894736842105263,38,dept_primary,n/a
14,0.1683673469387755,196,dept_primary,n/a
16,0.12195121951219512,82,dept_primary,n/a
17,0.2527075812274368,554,dept_primary,n/a
18,0.1836734693877551,49,dept_primary,n/a
19,0.07142857142857142,28,dept_primary,n/a
2,0.6666666666666666,3,dept_primary,n/a
20A,0.0,1,dept_primary,n/a
21,0.0,9,dept_primary,n/a
22,0.14730290456431536,482,dept_primary,n/a
23,0.0,2,dept_primary,n/a
24,0.2,5,dept_primary,n/a
26,0.0,3,dept_primary,n/a
27,0.35,20,dept_primary,n/a
28,0.3155080213903743,187,dept_primary,n/a
29,0.24584103512014788,541,dept_primary,n/a
3,0.0,4,dept_primary,n/a
31,0.17857142857142858,28,dept_primary,n/a
33,0.18666666666666668,75,dept_primary,n/a
34,0.13333333333333333,15,dept_primary,n/a
35,0.14209591474245115,2252,dept_primary,n/a
36,0.3,40,dept_primary,n/a
37,0.2538293216630197,457,dept_primary,n/a
38,0.09090909090909091,11,dept_primary,n/a
4,0.0,2,dept_primary,n/a
40,0.14285714285714285,7,dept_primary,n/a
41,0.3411764705882353,85,dept_primary,n/a
42,0.0,2,dept_primary,n/a
43,0.0,1,dept_primary,n/a
44,0.17842138196120497,33561,dept_primary,n/a
45,0.1875,160,dept_primary,n/a
46,1.0,1,dept_primary,n/a
47,0.5,2,dept_primary,n/a
49,0.20762883809008523,14786,dept_primary,n/a
5,0.3333333333333333,3,dept_primary,n/a
50,0.3258426966292135,89,dept_primary,n/a
51,0.2,5,dept_primary,n/a
52,0.0,1,dept_primary,n/a
53,0.18737623762376238,4040,dept_primary,n/a
54,0.16666666666666666,6,dept_primary,n/a
56,0.3985890652557319,567,dept_primary,n/a
57,0.019230769230769232,52,dept_primary,n/a
59,0.12903225806451613,31,dept_primary,n/a
6,0.3333333333333333,30,dept_primary,n/a
60,0.0,12,dept_primary,n/a
61,0.24522760646108663,681,dept_primary,n/a
62,0.16666666666666666,6,dept_primary,n/a
63,0.6666666666666666,3,dept_primary,n/a
64,0.3333333333333333,18,dept_primary,n/a
65,0.0,9,dept_primary,n/a
66,0.5,2,dept_primary,n/a
67,0.5,4,dept_primary,n/a
68,0.0,3,dept_primary,n/a
69,0.2597402597402597,77,dept_primary,n/a
7,0.0,1,dept_primary,n/a
70,0.0,5,dept_primary,n/a
71,1.0,1,dept_primary,n/a
72,0.1000784587219946,11471,dept_primary,n/a
75,0.10703363914373089,654,dept_primary,n/a
76,0.12403100775193798,129,dept_primary,n/a
77,0.3473684210526316,95,dept_primary,n/a
78,0.05,20,dept_primary,n/a
79,0.19960861056751467,511,dept_primary,n/a
8,0.0,5,dept_primary,n/a
80,0.0,5,dept_primary,n/a
83,0.1111111111111111,9,dept_primary,n/a
85,0.14427943250642994,12053,dept_primary,n/a
86,0.09722222222222222,144,dept_primary,n/a
87,0.0,7,dept_primary,n/a
9,1.0,1,dept_primary,n/a
91,0.2,15,dept_primary,n/a
92,0.14634146341463414,41,dept_primary,n/a
93,0.20588235294117646,34,dept_primary,n/a
94,0.0,42,dept_primary,n/a
95,0.0,7,dept_primary,n/a
971,1.0,1,dept_primary,n/a
972,0.0,1,dept_primary,n/a
973,0.0,3,dept_primary,n/a
974,0.25,4,dept_primary,n/a
976,0.0,1,dept_primary,n/a
986,0.0,1,dept_primary,n/a
987,0.0,1,dept_primary,n/a
988,0.5,4,dept_primary,n/a
99,1.0,1,dept_primary,n/a
1 (single),0.1995,2000,buyer_activity_tier,n/a
2-5,0.17984344422700588,5110,buyer_activity_tier,n/a
21+,0.17009417079825154,68174,buyer_activity_tier,n/a
6-20,0.1631866366848699,9339,buyer_activity_tier,n/a
NONE,0.2289680928797597,61585,buyer_identifier_source,n/a
RAW_SIRET_FIELD,0.014628005903290216,23038,buyer_identifier_source,n/a
