value,present_rate,n,dim,year_status
2015,0.0,6144,publication_year,PARTIAL
2016,0.0,6982,publication_year,FULL
2017,0.0,7176,publication_year,FULL
2018,0.0,7176,publication_year,FULL
2019,0.0,7827,publication_year,FULL
2020,0.0,7057,publication_year,FULL
2021,0.0,7378,publication_year,FULL
2022,0.0,7712,publication_year,FULL
2023,0.0,8091,publication_year,FULL
2024,0.5229892672585134,7547,publication_year,FULL
2025,0.6486555697823303,7810,publication_year,FULL
2026,0.6806338973945742,3723,publication_year,PARTIAL
EFORMS,0.7259876427635275,10682,schema_family,n/a
LEGACY,0.05128413194303566,73941,schema_family,n/a
APPEL_OFFRE,0.16931997529678172,58292,notice_type_normalized,n/a
ATTRIBUTION,0.0734485815602837,22560,notice_type_normalized,n/a
OTHER,0.005303632988597189,3771,notice_type_normalized,n/a
03,0.15517241379310345,290,cpv_division,n/a
09,0.1406570841889117,974,cpv_division,n/a
14,0.08771929824561403,114,cpv_division,n/a
15,0.17826825127334464,1178,cpv_division,n/a
16,0.17857142857142858,196,cpv_division,n/a
18,0.18689788053949905,519,cpv_division,n/a
19,0.144,125,cpv_division,n/a
22,0.13559322033898305,354,cpv_division,n/a
24,0.1883289124668435,377,cpv_division,n/a
30,0.15155807365439095,1412,cpv_division,n/a
31,0.1141552511415525,657,cpv_division,n/a
32,0.1323529411764706,680,cpv_division,n/a
33,0.12461632903621854,1629,cpv_division,n/a
34,0.14083297552597682,2329,cpv_division,n/a
35,0.1362126245847176,301,cpv_division,n/a
37,0.15771812080536912,298,cpv_division,n/a
38,0.15865384615384615,832,cpv_division,n/a
39,0.16216216216216217,1998,cpv_division,n/a
41,0.03571428571428571,28,cpv_division,n/a
42,0.12189054726368159,804,cpv_division,n/a
43,0.0967741935483871,186,cpv_division,n/a
44,0.13226205191594562,1618,cpv_division,n/a
45,0.1402906976744186,17200,cpv_division,n/a
48,0.11083123425692695,794,cpv_division,n/a
50,0.19833975689297362,3373,cpv_division,n/a
51,0.2631578947368421,114,cpv_division,n/a
55,0.1502546689303905,1178,cpv_division,n/a
60,0.1670886075949367,1185,cpv_division,n/a
63,0.19594594594594594,296,cpv_division,n/a
64,0.0705521472392638,652,cpv_division,n/a
65,0.11217948717948718,312,cpv_division,n/a
66,0.177407126611069,2638,cpv_division,n/a
70,0.22164948453608246,194,cpv_division,n/a
71,0.15863964973017006,9821,cpv_division,n/a
72,0.17464788732394365,1775,cpv_division,n/a
73,0.1044776119402985,67,cpv_division,n/a
75,0.1553398058252427,515,cpv_division,n/a
76,1.0,1,cpv_division,n/a
77,0.2261904761904762,1176,cpv_division,n/a
79,0.16296794440708362,4461,cpv_division,n/a
80,0.12484700122399021,817,cpv_division,n/a
85,0.16796267496111975,643,cpv_division,n/a
90,0.18096485483518882,4581,cpv_division,n/a
92,0.13667649950835792,1017,cpv_division,n/a
98,0.18277310924369747,476,cpv_division,n/a
1 (single),0.306,2000,buyer_activity_tier,n/a
2-5,0.20058708414872797,5110,buyer_activity_tier,n/a
21+,0.11733212074984599,68174,buyer_activity_tier,n/a
6-20,0.20462576292964985,9339,buyer_activity_tier,n/a
