notice_id,duration_raw,cpv_division,notice_type_normalized
24-11435,144.0,92,APPEL_OFFRE
24-21575,144.0,34,APPEL_OFFRE
24-15105,180.0,45,APPEL_OFFRE
24-30408,144.0,55,APPEL_OFFRE
24-41690,0.3333333333333333,34,APPEL_OFFRE
24-52175,144.0,34,APPEL_OFFRE
24-65926,180.0,55,APPEL_OFFRE
24-75737,300.0,45,APPEL_OFFRE
24-66944,144.0,79,APPEL_OFFRE
24-87525,240.0,45,APPEL_OFFRE
24-80084,144.0,34,APPEL_OFFRE
24-84972,144.0,34,ATTRIBUTION
24-82122,288.0,50,APPEL_OFFRE
24-90853,144.0,33,ATTRIBUTION
24-105889,126.0,45,APPEL_OFFRE
24-109160,240.0,92,ATTRIBUTION
24-116630,180.0,65,APPEL_OFFRE
24-118269,240.0,63,APPEL_OFFRE
24-113585,180.0,,APPEL_OFFRE
24-123454,240.0,79,APPEL_OFFRE
24-113390,240.0,45,APPEL_OFFRE
24-115501,180.0,51,APPEL_OFFRE
24-134639,180.0,44,APPEL_OFFRE
24-135431,240.0,55,APPEL_OFFRE
24-136226,480.0,63,ATTRIBUTION
24-137481,180.0,63,APPEL_OFFRE
24-139517,169.0,60,APPEL_OFFRE
24-138404,240.0,63,APPEL_OFFRE
24-141730,144.0,55,ATTRIBUTION
24-141966,192.0,79,ATTRIBUTION
