,dtype,non_null_rate,n_non_null
buyer_siren_raw,object,0.0,0
siren_candidates_raw,float64,0.0,0
soustype_procedure,object,0.005246800515226357,444
sousnature_libelle,object,0.06453328291362868,5461
code_departement_prestation,object,0.09587228058565639,8113
duration_unit,object,0.1350105763208584,11425
duration_months_raw,float64,0.1364522647507179,11547
duration_source_key,object,0.1364522647507179,11547
duration_raw,float64,0.1364522647507179,11547
declared_duration_months,float64,0.16803942190657387,14220
titulaire,object,0.2118336622431254,17926
linked_attribution_notice_id,object,0.24031291729198917,20336
linked_attribution_date,datetime64[ns],0.24031291729198917,20336
annonces_anterieures,object,0.246032402538317,20820
buyer_siret_clean,object,0.2722427708778937,23038
buyer_siret_raw,object,0.2722427708778937,23038
siret_candidates_raw,object,0.2722427708778937,23038
buyer_siren_clean,object,0.2722427708778937,23038
annonce_lie,object,0.30115925930302634,25485
datelimitereponse,object,0.45256017867482834,38297
response_deadline,datetime64[ns],0.45256017867482834,38297
sousnature,object,0.5060326388806825,42822
cpv_division,object,0.829384446308923,70185
cpv_candidates_raw,object,0.829384446308923,70185
cpv_main,object,0.829384446308923,70185
cpv_clean,object,0.829384446308923,70185
cpv_category,object,0.829384446308923,70185
cpv_class,object,0.829384446308923,70185
cpv_raw,object,0.829384446308923,70185
cpv_group,object,0.829384446308923,70185
type_marche,object,0.8499225978752821,71923
type_marche_facette,object,0.8499225978752821,71923
source_schema,object,0.8570837715514694,72529
type_procedure,object,0.9261548278836723,78374
type_avis,object,0.9586519031468986,81124
descripteur_libelle,object,0.999846377462392,84610
descripteur_code,object,0.999846377462392,84610
objet_raw,object,0.9999881828817224,84622
objet_clean,object,0.9999881828817224,84622
objet_normalized,object,0.9999881828817224,84622
objet,object,0.9999881828817224,84622
url_avis,object,1.0,84623
nature_categorise,object,1.0,84623
nature,object,1.0,84623
source_file,object,1.0,84623
schema_family,object,1.0,84623
etat,object,1.0,84623
notice_id_raw,object,1.0,84623
publication_month,int64,1.0,84623
publication_year,int64,1.0,84623
publication_date,datetime64[ns],1.0,84623
procedure_libelle,object,1.0,84623
nature_libelle,object,1.0,84623
nature_categorise_libelle,object,1.0,84623
id,object,1.0,84623
idweb,object,1.0,84623
code_departement,object,1.0,84623
famille_libelle,object,1.0,84623
famille,object,1.0,84623
filename,object,1.0,84623
perimetre,object,1.0,84623
dateparution,datetime64[ns],1.0,84623
datefindiffusion,object,1.0,84623
nomacheteur,object,1.0,84623
buyer_identifier_source,object,1.0,84623
buyer_siren_checksum_valid,bool,1.0,84623
buyer_siren_format_valid,bool,1.0,84623
publication_quarter,int64,1.0,84623
buyer_name_raw,object,1.0,84623
buyer_name_normalized,object,1.0,84623
buyer_siret_format_valid,bool,1.0,84623
buyer_siret_checksum_valid,bool,1.0,84623
end_diffusion_date,datetime64[ns],1.0,84623
raw_record_hash,object,1.0,84623
notice_id,object,1.0,84623
notice_type_raw,object,1.0,84623
notice_type_normalized,object,1.0,84623
token_count,int64,1.0,84623
object_missing_flag,bool,1.0,84623
text_length,int64,1.0,84623
is_digital_scope_cpv_only,bool,1.0,84623
category_label,object,1.0,84623
is_digital_scope,bool,1.0,84623
cpv_generic_flag,bool,1.0,84623
cpv_missing,bool,1.0,84623
is_in_pdl,bool,1.0,84623
duration_quality_flag,object,1.0,84623
duration_valid,bool,1.0,84623
dur_was_imputed,bool,1.0,84623
start_date,datetime64[ns],1.0,84623
start_date_source,object,1.0,84623
buyer_key,object,1.0,84623
buyer_key_type,object,1.0,84623
buyer_identity_layer,object,1.0,84623
dept_primary,object,1.0,84623
