publication_year,NONE,RAW_SIRET_FIELD,year_status
2015,0.9078776041666666,0.09212239583333333,PARTIAL
2016,0.9047550845030078,0.09524491549699227,FULL
2017,0.9041248606465998,0.09587513935340022,FULL
2018,0.8938127090301003,0.10618729096989966,FULL
2019,0.8667433243899323,0.1332566756100677,FULL
2020,0.8432761796797505,0.1567238203202494,FULL
2021,0.8309840065058282,0.16901599349417187,FULL
2022,0.472899377593361,0.527100622406639,FULL
2023,0.4399950562353232,0.5600049437646768,FULL
2024,0.5077514244070491,0.4922485755929508,FULL
2025,0.6060179257362356,0.3939820742637644,FULL
2026,0.5774912704807951,0.42250872951920493,PARTIAL
