flag,schema_family,notice_type_normalized,rate,n_applicable
identifier_missing,EFORMS,APPEL_OFFRE,0.21814983140302008,6821
identifier_missing,EFORMS,ATTRIBUTION,0.2524425666754687,3787
identifier_missing,EFORMS,OTHER,0.06756756756756757,74
identifier_missing,LEGACY,APPEL_OFFRE,0.8188688776204076,51471
identifier_missing,LEGACY,ATTRIBUTION,0.766153518350823,18773
identifier_missing,LEGACY,OTHER,0.704625371923181,3697
duration_missing,EFORMS,APPEL_OFFRE,0.10760885500659727,6821
duration_missing,EFORMS,ATTRIBUTION,0.5648270398732506,3787
duration_missing,EFORMS,OTHER,0.7297297297297297,74
duration_missing,LEGACY,APPEL_OFFRE,0.9265023022672961,51471
duration_missing,LEGACY,ATTRIBUTION,0.9995205880786235,18773
duration_missing,LEGACY,OTHER,1.0,3697
cpv_missing,EFORMS,APPEL_OFFRE,0.0,6821
cpv_missing,EFORMS,ATTRIBUTION,0.0,3787
cpv_missing,EFORMS,OTHER,0.0,74
cpv_missing,LEGACY,APPEL_OFFRE,0.242078063375493,51471
cpv_missing,LEGACY,ATTRIBUTION,0.08581473392638364,18773
cpv_missing,LEGACY,OTHER,0.09926967811739248,3697
cpv_generic,EFORMS,APPEL_OFFRE,0.07784782289986805,6821
cpv_generic,EFORMS,ATTRIBUTION,0.06971217322418802,3787
cpv_generic,EFORMS,OTHER,0.1891891891891892,74
cpv_generic,LEGACY,APPEL_OFFRE,0.05502127411552136,51471
cpv_generic,LEGACY,ATTRIBUTION,0.0612049219623928,18773
cpv_generic,LEGACY,OTHER,0.06004868812550717,3697
text_missing,EFORMS,APPEL_OFFRE,0.0,6821
text_missing,EFORMS,ATTRIBUTION,0.0,3787
text_missing,EFORMS,OTHER,0.0,74
text_missing,LEGACY,APPEL_OFFRE,1.942841600124342e-05,51471
text_missing,LEGACY,ATTRIBUTION,0.0,18773
text_missing,LEGACY,OTHER,0.0,3697
text_generic,EFORMS,APPEL_OFFRE,0.214924497874212,6821
text_generic,EFORMS,ATTRIBUTION,0.2363348296804859,3787
text_generic,EFORMS,OTHER,0.13513513513513514,74
text_generic,LEGACY,APPEL_OFFRE,0.09966971051097727,51470
text_generic,LEGACY,ATTRIBUTION,0.18638470143290897,18773
text_generic,LEGACY,OTHER,0.3751690559913443,3697
award_link_unresolved,EFORMS,APPEL_OFFRE,0.649025069637883,6821
award_link_unresolved,EFORMS,ATTRIBUTION,,0
award_link_unresolved,EFORMS,OTHER,,0
award_link_unresolved,LEGACY,APPEL_OFFRE,0.6826951098676924,51471
award_link_unresolved,LEGACY,ATTRIBUTION,,0
award_link_unresolved,LEGACY,OTHER,,0
