stratum_dim,stratum_value,flag_a,flag_b,joint_rate,n
publication_year,2015,siret_or_siren_missing,cpv_missing_or_generic,0.3502604166666667,6144
publication_year,2016,siret_or_siren_missing,cpv_missing_or_generic,0.33242623890002865,6982
publication_year,2017,siret_or_siren_missing,cpv_missing_or_generic,0.31549609810479373,7176
publication_year,2018,siret_or_siren_missing,cpv_missing_or_generic,0.29333890746934227,7176
publication_year,2019,siret_or_siren_missing,cpv_missing_or_generic,0.2464545802989651,7827
publication_year,2020,siret_or_siren_missing,cpv_missing_or_generic,0.23777809267394076,7057
publication_year,2021,siret_or_siren_missing,cpv_missing_or_generic,0.1888045540796964,7378
publication_year,2022,siret_or_siren_missing,cpv_missing_or_generic,0.11851659751037344,7712
publication_year,2023,siret_or_siren_missing,cpv_missing_or_generic,0.10542578173278952,8091
publication_year,2024,siret_or_siren_missing,cpv_missing_or_generic,0.11620511461507883,7547
publication_year,2025,siret_or_siren_missing,cpv_missing_or_generic,0.11856594110115237,7810
publication_year,2026,siret_or_siren_missing,cpv_missing_or_generic,0.10126242277733011,3723
publication_year,2015,siret_or_siren_missing,duration_missing,0.9078776041666666,6144
publication_year,2016,siret_or_siren_missing,duration_missing,0.9047550845030078,6982
publication_year,2017,siret_or_siren_missing,duration_missing,0.9041248606465998,7176
publication_year,2018,siret_or_siren_missing,duration_missing,0.8938127090301003,7176
publication_year,2019,siret_or_siren_missing,duration_missing,0.8667433243899323,7827
publication_year,2020,siret_or_siren_missing,duration_missing,0.8432761796797505,7057
publication_year,2021,siret_or_siren_missing,duration_missing,0.8309840065058282,7378
publication_year,2022,siret_or_siren_missing,duration_missing,0.472899377593361,7712
publication_year,2023,siret_or_siren_missing,duration_missing,0.4399950562353232,8091
publication_year,2024,siret_or_siren_missing,duration_missing,0.2681860341857692,7547
publication_year,2025,siret_or_siren_missing,duration_missing,0.2792573623559539,7810
publication_year,2026,siret_or_siren_missing,duration_missing,0.25141015310233683,3723
publication_year,2015,siret_or_siren_missing,text_weak_or_missing,0.05078125,6144
publication_year,2016,siret_or_siren_missing,text_weak_or_missing,0.0893726725866514,6982
publication_year,2017,siret_or_siren_missing,text_weak_or_missing,0.12109810479375696,7176
publication_year,2018,siret_or_siren_missing,text_weak_or_missing,0.11022853957636566,7176
publication_year,2019,siret_or_siren_missing,text_weak_or_missing,0.09071163919764916,7827
publication_year,2020,siret_or_siren_missing,text_weak_or_missing,0.08913135893439138,7057
publication_year,2021,siret_or_siren_missing,text_weak_or_missing,0.07441040932502033,7378
publication_year,2022,siret_or_siren_missing,text_weak_or_missing,0.05484958506224066,7712
publication_year,2023,siret_or_siren_missing,text_weak_or_missing,0.05314547027561488,8091
publication_year,2024,siret_or_siren_missing,text_weak_or_missing,0.044521001722538756,7547
publication_year,2025,siret_or_siren_missing,text_weak_or_missing,0.06402048655569782,7810
publication_year,2026,siret_or_siren_missing,text_weak_or_missing,0.054257319366102605,3723
publication_year,2015,siret_or_siren_missing,award_link_unresolved,0.6210453920220083,6144
publication_year,2016,siret_or_siren_missing,award_link_unresolved,0.6292112164615695,6982
publication_year,2017,siret_or_siren_missing,award_link_unresolved,0.6457630482238539,7176
publication_year,2018,siret_or_siren_missing,award_link_unresolved,0.6487014255028315,7176
publication_year,2019,siret_or_siren_missing,award_link_unresolved,0.6209589538685071,7827
publication_year,2020,siret_or_siren_missing,award_link_unresolved,0.6165847403291301,7057
publication_year,2021,siret_or_siren_missing,award_link_unresolved,0.6064824020680055,7378
publication_year,2022,siret_or_siren_missing,award_link_unresolved,0.2408930669800235,7712
publication_year,2023,siret_or_siren_missing,award_link_unresolved,0.28354770589364564,8091
publication_year,2024,siret_or_siren_missing,award_link_unresolved,0.4469368520263902,7547
publication_year,2025,siret_or_siren_missing,award_link_unresolved,0.4605143169797556,7810
publication_year,2026,siret_or_siren_missing,award_link_unresolved,0.5492788461538461,3723
publication_year,2015,cpv_missing_or_generic,duration_missing,0.3531901041666667,6144
publication_year,2016,cpv_missing_or_generic,duration_missing,0.3351475221999427,6982
publication_year,2017,cpv_missing_or_generic,duration_missing,0.3178651059085842,7176
publication_year,2018,cpv_missing_or_generic,duration_missing,0.2979375696767001,7176
publication_year,2019,cpv_missing_or_generic,duration_missing,0.2502874664622461,7827
publication_year,2020,cpv_missing_or_generic,duration_missing,0.24018704832081622,7057
publication_year,2021,cpv_missing_or_generic,duration_missing,0.19381946326917865,7378
publication_year,2022,cpv_missing_or_generic,duration_missing,0.1662344398340249,7712
publication_year,2023,cpv_missing_or_generic,duration_missing,0.14670621678408108,8091
publication_year,2024,cpv_missing_or_generic,duration_missing,0.09155956009010202,7547
publication_year,2025,cpv_missing_or_generic,duration_missing,0.08642765685019206,7810
publication_year,2026,cpv_missing_or_generic,duration_missing,0.06607574536663981,3723
publication_year,2015,cpv_missing_or_generic,text_weak_or_missing,0.029134114583333332,6144
publication_year,2016,cpv_missing_or_generic,text_weak_or_missing,0.03136637066743054,6982
publication_year,2017,cpv_missing_or_generic,text_weak_or_missing,0.03915830546265329,7176
publication_year,2018,cpv_missing_or_generic,text_weak_or_missing,0.03567447045707915,7176
publication_year,2019,cpv_missing_or_generic,text_weak_or_missing,0.022230739747029514,7827
publication_year,2020,cpv_missing_or_generic,text_weak_or_missing,0.023664446648717585,7057
publication_year,2021,cpv_missing_or_generic,text_weak_or_missing,0.017484413120086743,7378
publication_year,2022,cpv_missing_or_generic,text_weak_or_missing,0.01737551867219917,7712
publication_year,2023,cpv_missing_or_generic,text_weak_or_missing,0.016932394018044743,8091
publication_year,2024,cpv_missing_or_generic,text_weak_or_missing,0.011792765337220087,7547
publication_year,2025,cpv_missing_or_generic,text_weak_or_missing,0.01882202304737516,7810
publication_year,2026,cpv_missing_or_generic,text_weak_or_missing,0.0182648401826484,3723
publication_year,2015,cpv_missing_or_generic,award_link_unresolved,0.3420449335167354,6144
publication_year,2016,cpv_missing_or_generic,award_link_unresolved,0.34718579786160986,6982
publication_year,2017,cpv_missing_or_generic,award_link_unresolved,0.336773169279619,7176
publication_year,2018,cpv_missing_or_generic,award_link_unresolved,0.3163444639718805,7176
publication_year,2019,cpv_missing_or_generic,award_link_unresolved,0.2620777333817653,7827
publication_year,2020,cpv_missing_or_generic,award_link_unresolved,0.2485573840564223,7057
publication_year,2021,cpv_missing_or_generic,award_link_unresolved,0.19009743487770928,7378
publication_year,2022,cpv_missing_or_generic,award_link_unresolved,0.154524089306698,7712
publication_year,2023,cpv_missing_or_generic,award_link_unresolved,0.14263774236897678,8091
publication_year,2024,cpv_missing_or_generic,award_link_unresolved,0.12497643732327993,7547
publication_year,2025,cpv_missing_or_generic,award_link_unresolved,0.1393397774940726,7810
publication_year,2026,cpv_missing_or_generic,award_link_unresolved,0.14703525641025642,3723
publication_year,2015,duration_missing,text_weak_or_missing,0.052083333333333336,6144
publication_year,2016,duration_missing,text_weak_or_missing,0.09810942423374391,6982
publication_year,2017,duration_missing,text_weak_or_missing,0.13740245261984393,7176
publication_year,2018,duration_missing,text_weak_or_missing,0.12416387959866221,7176
publication_year,2019,duration_missing,text_weak_or_missing,0.10284911204803884,7827
publication_year,2020,duration_missing,text_weak_or_missing,0.10245146662887912,7057
publication_year,2021,duration_missing,text_weak_or_missing,0.08918406072106262,7378
publication_year,2022,duration_missing,text_weak_or_missing,0.11021784232365145,7712
publication_year,2023,duration_missing,text_weak_or_missing,0.11852675812631319,8091
publication_year,2024,duration_missing,text_weak_or_missing,0.03988339737644097,7547
publication_year,2025,duration_missing,text_weak_or_missing,0.03610755441741357,7810
publication_year,2026,duration_missing,text_weak_or_missing,0.038678485092667206,3723
publication_year,2015,duration_missing,award_link_unresolved,0.6412196240256763,6144
publication_year,2016,duration_missing,award_link_unresolved,0.6441396005648578,6982
publication_year,2017,duration_missing,award_link_unresolved,0.6652113514586228,7176
publication_year,2018,duration_missing,award_link_unresolved,0.6697910564342902,7176
