,,s_time,s_time,s_time,s_text,s_text,s_text,s_cpv,s_cpv,s_cpv,s_buyer,s_buyer,s_buyer,composite_score,composite_score,composite_score
,,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
variant,confidence_tier,,,,,,,,,,,,,,,
balanced,HIGH,0.6124890494962768,0.6276828734121769,0.24461928972212083,0.6557823960039912,0.7387065696950603,0.32421574611981746,0.685,1.0,0.4206137971899574,0.7033333333333333,0.6,0.1758214016156919,0.6584794343087995,0.6445101350315741,0.11889852778645277
balanced,MEDIUM,0.6650877955595084,0.775514673674989,0.31566842922288857,0.29027422602222647,0.1738154760216989,0.3241219848623027,0.20988593155893537,0.1,0.24877023165986348,0.6669201520912548,0.6,0.14958218302270956,0.3975257226744624,0.3878228229210927,0.051179907860604265
balanced,POTENTIAL,0.8330863645259597,0.8959702146298729,0.19375161088327003,0.1417459658371401,0.0879829804573955,0.17693299125175055,0.19276595744680852,0.1,0.24579977717663556,0.7072340425531914,0.6,0.17756306364555324,0.38643587066385066,0.3643223763359384,0.06703128602867273
broad,HIGH,0.6124890494962768,0.6276828734121769,0.24461928972212083,0.6557823960039912,0.7387065696950603,0.32421574611981746,0.685,1.0,0.4206137971899574,0.7033333333333333,0.6,0.1758214016156919,0.6584794343087995,0.6445101350315741,0.11889852778645277
broad,MEDIUM,0.7039205379918065,0.7974156811213315,0.27452690533220925,0.20471445685333517,0.0707821049901887,0.2820995782729783,0.15105882352941177,0.1,0.21545270203608588,0.6564705882352941,0.6,0.1394455486678769,0.35859490027897184,0.3455513860528084,0.06471577684509452
broad,POTENTIAL,0.8147157570295354,0.8740692071835304,0.18168480221001754,0.10726338517780558,0.0460237585367837,0.1513024669694853,0.14109947643979057,0.1,0.210515790892152,0.6848167539267015,0.6,0.163716171178799,0.35203264239422316,0.33885642101591296,0.06889243868572825
strict,HIGH,0.6124890494962768,0.6276828734121769,0.24461928972212083,0.6557823960039912,0.7387065696950603,0.32421574611981746,0.685,1.0,0.4206137971899574,0.7033333333333333,0.6,0.1758214016156919,0.6584794343087995,0.6445101350315741,0.11889852778645277
strict,MEDIUM,0.5353500511023507,0.5975689881734559,0.34979922898785565,0.44995685312829287,0.35305506489406685,0.3835037492623089,0.29916666666666664,0.1,0.2999988328642096,0.6566666666666666,0.6,0.14006801069140526,0.44673907803715684,0.4442070845359855,0.02828599371116322
strict,POTENTIAL,0.7770223517238314,0.8740692071835304,0.23179347219354882,0.2601614294760247,0.2128447663690735,0.2516468338912816,0.35942028985507246,0.2,0.3545165890832316,0.7217391304347825,0.6,0.18540065138646852,0.46531208824756654,0.4281170283268399,0.07526225655020857
