buyer_key,n_templated_notices
SIRET:22850001300658,376
SIRET:24720013200014,345
SIRET:22720002900014,273
NAME:conseil regional des pays de la loire,220
NAME:chu de nantes,212
NAME:ch le mans,209
SIRET:23440003400026,203
NAME:departement de la sarthe,187
NAME:departement de la vendee,182
NAME:conseil departemental loire-atlantique,173
NAME:nantes metropole,165
SIRET:22530001100015,160
NAME:le mans metropole,155
NAME:universite d angers,148
NAME:ville du mans,143
SIRET:21440184600016,124
SIRET:21720181300011,122
SIRET:22440002800011,118
NAME:chd vendee,116
NAME:conseil departemental de la mayenne,115
SIRET:24440040400129,112
NAME:universite de nantes,108
SIRET:17440005100010,106
SIRET:22490001900015,106
NAME:laval agglomeration,105
NAME:universite du maine,99
SIRET:19490970100303,89
NAME:angers loire metropole,86
NAME:le mans metropole - communaute urbaine,86
SIRET:24440064400013,83
SIRET:26440013600471,83
NAME:commune de saint-herblain,82
NAME:ctre hosp universitaire angers,77
NAME:crous de nantes,71
NAME:ville de saint nazaire,70
NAME:ville de la roche sur yon,66
NAME:ville de nantes,65
NAME:semitan,65
NAME:saint-nazaire agglomeration - la carene,64
NAME:syndicat trivalis,62
NAME:cte de cnes du pays d ancenis,61
NAME:conseil departemental loire atlantique,60
NAME:i f c e,58
NAME:conseil general de la vendee,57
NAME:ville de carquefou,57
NAME:ville d angers,55
NAME:sdis 44,52
NAME:centre hospitalier de laval 53,52
NAME:ville de bouguenais,50
NAME:departement de maine-et-loire,50
SIRET:77560485300041,47
NAME:com d agglo reg nazairienne estuaire,46
SIRET:26720016000013,46
NAME:sdis 85,45
NAME:mauges communaute,45
NAME:ville de laval,44
SIRET:24490001500011,43
SIRET:24440061000055,42
NAME:gpm de nantes - st nazaire,40
NAME:vendee eau,40
NAME:metropole nantes metropole,39
NAME:oniris,38
NAME:ca les sables d olonne agglomeration,38
NAME:commune de saint jean de monts,37
NAME:semitan mandataire de nantes metropole,36
SIRET:21440162200011,36
NAME:la roche-sur-yon agglomeration,36
NAME:gie sesam vitale,35
NAME:pole emploi pays de la loire,35
NAME:ville de saint sebastien sur loire,35
SIRET:27490003400019,31
SIRET:21440055800018,31
NAME:territoire d energie loire-atlantique,31
NAME:centre hospitalier de laval,30
SIRET:20007116500167,30
SIRET:57615027000089,29
SIRET:24720009000014,29
