publication_year,first_date_observed,last_date_observed,n_notices,year_status
2015,2015-03-02,2015-12-31,6144,PARTIAL
2016,2016-01-04,2016-12-31,6982,FULL
2017,2017-01-01,2017-12-31,7176,FULL
2018,2018-01-02,2018-12-31,7176,FULL
2019,2019-01-02,2019-12-31,7827,FULL
2020,2020-01-01,2020-12-31,7057,FULL
2021,2021-01-01,2021-12-31,7378,FULL
2022,2022-01-01,2022-12-31,7712,FULL
2023,2023-01-01,2023-12-31,8091,FULL
2024,2024-01-02,2024-12-31,7547,FULL
2025,2025-01-01,2025-12-31,7810,FULL
2026,2026-01-01,2026-07-13,3723,PARTIAL
