notice_family_id,notice_id,publication_date,schema_family,buyer_key,cpv_clean,first_call_date,call_to_award_days,call_to_award_months,delay_flag
NF000639,15-31667,2015-03-03,LEGACY,NAME:cte de cnes du pays fontenay le comte,,2015-03-04,-1,-0.0328515111695138,NEGATIVE_DATE_ORDER
NF001436,15-31510,2015-03-02,LEGACY,NAME:le mans metropole - communaute urbaine,45210000,2015-05-07,-66,-2.1681997371879107,NEGATIVE_DATE_ORDER
NF000639,15-61402,2015-04-23,LEGACY,NAME:cte de cnes du pays fontenay le comte,,2015-03-04,50,1.6425755584756898,OK
NF000127,15-60178,2015-04-21,LEGACY,NAME:ville des sables d olonne,33710000,2015-03-06,46,1.5111695137976346,OK
NF001196,15-79196,2015-05-27,LEGACY,SIRET:21720181300011,55242000,2015-04-17,40,1.314060446780552,OK
NF000245,15-61558,2015-05-06,LEGACY,NAME:cte de cnes ocean-marais de monts,,2015-03-23,44,1.445466491458607,OK
NF000244,15-71502,2015-05-07,LEGACY,NAME:universite d angers,,2015-03-20,48,1.5768725361366622,OK
NF000570,15-80261,2015-05-28,LEGACY,NAME:vendee eau,45452000,2015-03-10,79,2.59526938239159,OK
NF000588,15-76621,2015-05-20,LEGACY,NAME:caf de la loire atlantique,,2015-03-19,62,2.0367936925098555,OK
NF000253,15-79340,2015-05-26,LEGACY,NAME:mairie des sables d olonne,,2015-03-31,56,1.8396846254927726,OK
NF000134,15-77775,2015-05-22,LEGACY,NAME:c h s de la sarthe,71315200,2015-03-13,70,2.299605781865966,OK
NF000273,15-75980,2015-05-19,LEGACY,NAME:syndicat departemental d energie,71631400,2015-03-12,68,2.2339027595269383,OK
NF001031,15-73040,2015-05-12,LEGACY,NAME:saem vendee,,2015-04-10,32,1.0512483574244416,OK
NF000700,15-80265,2015-05-28,LEGACY,NAME:vendee eau,71620000,2015-04-07,51,1.6754270696452036,OK
NF000515,15-75302,2015-05-18,LEGACY,NAME:sdis 85,,2015-03-12,67,2.2010512483574245,OK
NF000592,15-77982,2015-05-21,LEGACY,NAME:sdis 85,,2015-03-31,51,1.6754270696452036,OK
NF001553,15-80734,2015-05-28,LEGACY,NAME:cte de cnes du pays fontenay le comte,,2015-05-04,24,0.7884362680683311,OK
NF000568,15-76475,2015-05-20,LEGACY,NAME:conseil general de la vendee,45233128,2015-03-09,72,2.3653088042049935,OK
NF000292,15-77896,2015-05-22,LEGACY,NAME:ugecam bretagne - pays de la loire,45310000,2015-03-26,57,1.8725361366622864,OK
NF000332,15-78963,2015-05-22,LEGACY,NAME:cesame - ch de sainte gemmes sur loire,,2015-03-26,57,1.8725361366622864,OK
NF000003,15-74806,2015-05-18,LEGACY,NAME:ville d angers,50000000,2015-03-03,76,2.4967148488830486,OK
NF000509,15-68634,2015-05-04,LEGACY,NAME:centre hospitalier de cholet,,2015-03-04,61,2.0039421813403417,OK
NF000156,15-77374,2015-05-21,LEGACY,NAME:caf de la loire atlantique,,2015-03-19,63,2.0696452036793693,OK
NF000392,15-75714,2015-05-19,LEGACY,NAME:communaute de communes de grand lieu,45233140,2015-03-02,78,2.562417871222076,OK
NF000591,15-61589,2015-05-06,LEGACY,NAME:cte de cnes ocean-marais de monts,,2015-03-26,41,1.3469119579500657,OK
NF000511,15-74628,2015-05-15,LEGACY,NAME:cesame - ch de sainte gemmes sur loire,,2015-03-05,71,2.3324572930354797,OK
NF000586,15-77517,2015-05-21,LEGACY,NAME:cesame - ch de sainte gemmes sur loire,,2015-03-17,65,2.135348226018397,OK
NF000428,15-87111,2015-06-09,LEGACY,NAME:cg49,30197630,2015-03-04,97,3.1865965834428382,OK
NF001184,15-96267,2015-06-24,LEGACY,NAME:commune de saint-nazaire,75231240,2015-04-01,84,2.759526938239159,OK
NF002816,15-47564,2015-06-25,LEGACY,NAME:cdc du pays de saint gilles cx de vie,45212212,2015-07-30,-35,-1.149802890932983,NEGATIVE_DATE_ORDER
NF000089,15-98136,2015-06-26,LEGACY,NAME:centre hospitalier g mazurelle,09132100,2015-03-13,105,3.4494086727989486,OK
NF001341,15-82960,2015-06-01,LEGACY,NAME:commune la suze sur sarthe,,2015-04-29,33,1.0840998685939554,OK
NF000320,15-82367,2015-06-01,LEGACY,NAME:ville d angers,75231240,2015-03-05,88,2.890932982917214,OK
NF000948,15-96308,2015-06-24,LEGACY,NAME:commune de saint-nazaire,71241000,2015-04-08,77,2.5295663600525624,OK
NF000623,15-99282,2015-06-30,LEGACY,NAME:ville de carquefou,71221000,2015-03-31,91,2.9894875164257555,OK
NF001284,15-99551,2015-06-30,LEGACY,NAME:nantes metropole,,2015-04-01,90,2.9566360052562417,OK
NF000439,15-82086,2015-06-03,LEGACY,NAME:c h s de la sarthe,03221200,2015-03-24,71,2.3324572930354797,OK
NF000012,15-97745,2015-06-25,LEGACY,SIRET:22720002900014,92300000,2015-03-26,91,2.9894875164257555,OK
NF001093,15-98996,2015-06-29,LEGACY,NAME:commune de saint-nazaire,19200000,2015-04-10,80,2.628120893561104,OK
NF001366,15-93507,2015-06-18,LEGACY,NAME:le mans metropole - communaute urbaine,45233141,2015-05-07,42,1.3797634691195795,OK
NF000188,15-96676,2015-06-24,LEGACY,NAME:cnfpt,71241000,2015-03-20,96,3.1537450722733245,OK
NF000019,15-98928,2015-06-30,LEGACY,NAME:cg49,45252124,2015-03-23,99,3.252299605781866,OK
NF001701,15-99387,2015-06-30,LEGACY,NAME:ville de carquefou,44800000,2015-05-04,57,1.8725361366622864,OK
NF001308,15-99507,2015-06-30,LEGACY,NAME:vendee eau,35261000,2015-04-27,64,2.102496714848883,OK
NF001755,15-99562,2015-06-30,LEGACY,NAME:ville de carquefou,09134000,2015-05-04,57,1.8725361366622864,OK
