environment_family,environment,horizon_months,horizon_label,source_universe,stratum_dim,stratum_value,n_sources,zero_candidate_rate,mean_candidate_count,median_candidate_count,p75_candidate_count,p90_candidate_count,p95_candidate_count,p99_candidate_count,max_candidate_count,median_time_to_first_candidate_days,p90_time_to_first_candidate_days,median_candidate_notice_family_count,p90_candidate_notice_family_count,cap_reached_rate,median_top1_top2_similarity_margin,buyer_identifier_source,buyer_key_type,buyer_activity_tier,schema_family,publication_year,cpv_division,duration_availability,digital_segment
ambient_future_environment,all_future_notices,6,future_6m,all_appel_offre_sources,overall,overall,58292,0.0,3643.5363514719,3715.0,3888.0,4048.0,4113.0,4307.0,4342,1.0,1.0,,,0.0,,,,,,,,,
ambient_future_environment,all_future_notices,12,future_12m,all_appel_offre_sources,overall,overall,58292,0.0,7124.974764976326,7399.0,7725.0,7838.0,7963.0,8057.0,8107,1.0,1.0,,,0.0,,,,,,,,,
ambient_future_environment,all_future_notices,24,future_24m,all_appel_offre_sources,overall,overall,58292,0.0,13623.806542921842,14772.0,15217.0,15681.0,15728.0,15800.0,15868,1.0,1.0,,,0.0,,,,,,,,,
ambient_future_environment,all_future_notices,36,future_36m,all_appel_offre_sources,overall,overall,58292,0.0,19444.5978350374,22120.0,22737.0,23347.0,23442.0,23482.0,23520,1.0,1.0,,,0.0,,,,,,,,,
ambient_future_environment,all_future_notices,60,future_60m,all_appel_offre_sources,overall,overall,58292,0.0,29150.903949083924,36444.0,37717.0,38038.0,38306.0,38528.09,38558,1.0,1.0,,,0.0,,,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,6,future_6m,all_appel_offre_sources,overall,overall,58292,0.11497289507994236,26.205294036917586,10.0,34.0,72.0,106.0,196.0,237,8.0,71.0,,,0.0,,,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,12,future_12m,all_appel_offre_sources,overall,overall,58292,0.08795375008577506,49.45350991559734,18.0,64.0,135.0,205.0,386.0,426,8.0,88.0,,,0.0,,,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,24,future_24m,all_appel_offre_sources,overall,overall,58292,0.07445275509503876,88.39990050092636,29.0,109.0,244.0,387.0,768.0,827,9.0,98.0,,,0.0,,,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,36,future_36m,all_appel_offre_sources,overall,overall,58292,0.070129691895972,118.90192479242435,36.0,141.0,337.0,496.0,1120.0,1212,9.0,101.0,,,0.0,,,,,,,,,
buyer_compatible_environment,alias_compatible_boamp_key,60,future_60m,all_appel_offre_sources,overall,overall,58292,0.06680161943319839,161.11799217731422,42.0,180.0,465.0,662.0,1685.539999999979,1897,9.0,104.0,,,0.0,,,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,6,future_6m,production_digital_appel_offre_sources,overall,overall,3159,0.46058879392212726,1.7606837606837606,1.0,2.0,5.0,7.0,12.0,18,41.0,134.0,,,0.0,,,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,12,future_12m,production_digital_appel_offre_sources,overall,overall,3159,0.36657169990503324,3.271604938271605,1.0,5.0,9.0,14.0,23.0,30,52.0,228.0,,,0.0,,,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,24,future_24m,production_digital_appel_offre_sources,overall,overall,3159,0.301994301994302,5.856283634061412,2.0,7.5,16.0,24.0,43.0,49,63.0,342.60000000000014,,,0.0,,,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,36,future_36m,production_digital_appel_offre_sources,overall,overall,3159,0.27508705286483065,7.8968027856916745,3.0,10.0,22.0,31.0,65.0,71,68.0,416.2999999999997,,,0.0,,,,,,,,,
buyer_compatible_environment,alias_compatible_l2_key,60,future_60m,production_digital_appel_offre_sources,overall,overall,3159,0.2551440329218107,10.819246597024375,3.0,13.0,31.0,42.0,103.0,110,71.0,502.8000000000002,,,0.0,,,,,,,,,
buyer_compatible_environment,same_normalized_name,6,future_6m,all_appel_offre_sources,overall,overall,58292,0.0991559733754203,31.8660879709051,13.0,45.0,86.90000000000146,133.0,196.0,237,7.0,64.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_normalized_name,12,future_12m,all_appel_offre_sources,overall,overall,58292,0.07587662114869966,60.36860975777122,23.0,86.0,160.0,265.0,386.0,426,7.0,78.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_normalized_name,24,future_24m,all_appel_offre_sources,overall,overall,58292,0.06395388732587662,109.58565497838468,38.0,153.0,288.0,531.0,768.0,827,7.0,87.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_normalized_name,36,future_36m,all_appel_offre_sources,overall,overall,58292,0.060660124888492414,149.73891786179922,48.0,195.0,407.0,768.0,1120.0,1212,7.0,89.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_normalized_name,60,future_60m,all_appel_offre_sources,overall,overall,58292,0.057932477870033625,209.65671104096617,58.0,237.0,583.9000000000015,943.4499999999971,1712.4499999999825,1897,7.0,91.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_siren,6,future_6m,all_appel_offre_sources,overall,overall,58292,0.77921498661909,5.90911274274343,0.0,0.0,15.0,45.0,105.08999999999651,207,9.0,81.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_siren,12,future_12m,all_appel_offre_sources,overall,overall,58292,0.7713751458176079,10.82591093117409,0.0,0.0,26.0,83.0,194.0,304,10.0,99.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_siren,24,future_24m,all_appel_offre_sources,overall,overall,58292,0.7678069031771083,18.109569066081107,0.0,0.0,42.0,138.0,320.0,467,10.0,110.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_siren,36,future_36m,all_appel_offre_sources,overall,overall,58292,0.7665717422630893,23.030844712825086,0.0,0.0,51.0,179.0,391.0,607,10.0,113.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_siren,60,future_60m,all_appel_offre_sources,overall,overall,58292,0.7654566664379332,29.04753654017704,0.0,0.0,56.0,222.0,537.0,831,10.0,117.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_siret,6,future_6m,all_appel_offre_sources,overall,overall,58292,0.7814279832567076,5.6888252247306665,0.0,0.0,14.0,43.0,104.0,207,9.0,85.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_siret,12,future_12m,all_appel_offre_sources,overall,overall,58292,0.7732107321759418,10.409524463048102,0.0,0.0,23.0,81.0,190.0,304,10.0,104.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_siret,24,future_24m,all_appel_offre_sources,overall,overall,58292,0.7695052494338845,17.382196527825432,0.0,0.0,38.0,136.0,313.0,467,11.0,114.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_siret,36,future_36m,all_appel_offre_sources,overall,overall,58292,0.7682357784944761,22.061226240307416,0.0,0.0,46.0,174.0,383.0,607,11.0,119.0,,,0.0,,,,,,,,,
buyer_compatible_environment,same_siret,60,future_60m,all_appel_offre_sources,overall,overall,58292,0.7672064777327935,27.805822411308583,0.0,0.0,51.0,211.0,516.0,831,11.0,123.0,,,0.0,,,,,,,,,
production_candidate_environment,production_boamp_only,6,expected_end_plus_minus_6m_cap30,production_digital_appel_offre_sources,overall,overall,3159,0.6087369420702754,1.9427033871478316,0.0,2.0,6.0,10.0,22.0,30,1041.0,1519.5,0.0,6.0,0.0,0.08271847224585341,,,,,,,,
production_candidate_environment,production_enriched,6,expected_end_plus_minus_6m_cap30,production_digital_appel_offre_sources,overall,overall,3159,0.5238999683444128,2.6046217157328266,0.0,3.0,8.0,14.0,22.0,30,1103.5,1517.4,0.0,7.200000000000273,0.0,0.0781802021205862,,,,,,,,
ambient_future_environment,all_future_notices,6,future_6m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.0,3632.7491979099827,3672.0,3854.0,4012.0,4088.0,4307.0,4342,1.0,1.0,,,0.0,,NONE,,,,,,,
ambient_future_environment,all_future_notices,6,future_6m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.0,3675.653452510917,3801.0,3986.0,4084.0,4176.0,4311.0,4339,1.0,1.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
ambient_future_environment,all_future_notices,12,future_12m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.0,7129.807704647539,7248.0,7661.0,7797.0,7854.0,8040.0,8107,1.0,1.0,,,0.0,,NONE,,,,,,,
ambient_future_environment,all_future_notices,12,future_12m,all_appel_offre_sources,buyer_identifier_source,RAW_SIRET_FIELD,14656,0.0,7110.585425764192,7695.0,7816.0,7980.0,8031.0,8075.0,8107,1.0,1.0,,,0.0,,RAW_SIRET_FIELD,,,,,,,
ambient_future_environment,all_future_notices,24,future_24m,all_appel_offre_sources,buyer_identifier_source,NONE,43636,0.0,13767.064625538545,14707.0,15107.0,15601.0,15698.0,15785.0,15868,1.0,1.0,,,0.0,,NONE,,,,,,,
