notice_id,stage_order,filter_stage,candidate_count_after_stage,candidate_count_removed_by_stage,buyer_key_type,publication_year,cpv_division,duration_availability,digital_segment,buyer_activity_tier
15-46309,1,ambient_future_60m,36622,0,RAW_SIRET,2015,32,duration_imputed,DIGITAL_ICT,21+
15-39486,1,ambient_future_60m,36557,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-30947,1,ambient_future_60m,36562,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,6-20
15-31909,1,ambient_future_60m,36529,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,6-20
15-31464,1,ambient_future_60m,36562,0,NAME_FALLBACK,2015,35,duration_imputed,DIGITAL_ICT,21+
15-31641,1,ambient_future_60m,36525,0,NAME_FALLBACK,2015,72,duration_imputed,DIGITAL_ICT,6-20
15-31797,1,ambient_future_60m,36525,0,NAME_FALLBACK,2015,72,duration_imputed,DIGITAL_ICT,6-20
15-47450,1,ambient_future_60m,36620,0,NAME_FALLBACK,2015,45,duration_imputed,DIGITAL_ICT,6-20
15-39187,1,ambient_future_60m,36557,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-42765,1,ambient_future_60m,36625,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-42843,1,ambient_future_60m,36646,0,NAME_FALLBACK,2015,72,duration_imputed,DIGITAL_ICT,21+
15-45661,1,ambient_future_60m,36622,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,6-20
15-47591,1,ambient_future_60m,36620,0,NAME_FALLBACK,2015,32,duration_imputed,DIGITAL_ICT,21+
15-48624,1,ambient_future_60m,36624,0,NAME_FALLBACK,2015,45,duration_imputed,DIGITAL_ICT,21+
15-43293,1,ambient_future_60m,36625,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-33752,1,ambient_future_60m,36504,0,NAME_FALLBACK,2015,72,duration_imputed,DIGITAL_ICT,21+
15-45169,1,ambient_future_60m,36620,0,NAME_FALLBACK,2015,72,duration_imputed,DIGITAL_ICT,21+
15-32051,1,ambient_future_60m,36525,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-35224,1,ambient_future_60m,36530,0,NAME_FALLBACK,2015,30,duration_imputed,DIGITAL_ICT,21+
15-37182,1,ambient_future_60m,36500,0,NAME_FALLBACK,2015,35,duration_imputed,DIGITAL_ICT,2-5
15-45496,1,ambient_future_60m,36622,0,NAME_FALLBACK,2015,35,duration_imputed,DIGITAL_ICT,6-20
15-42247,1,ambient_future_60m,36596,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,6-20
15-44894,1,ambient_future_60m,36646,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,6-20
15-33241,1,ambient_future_60m,36527,0,NAME_FALLBACK,2015,32,duration_imputed,DIGITAL_ICT,21+
15-43149,1,ambient_future_60m,36625,0,NAME_FALLBACK,2015,32,duration_imputed,DIGITAL_ICT,21+
15-47696,1,ambient_future_60m,36637,0,RAW_SIRET,2015,72,duration_imputed,DIGITAL_ICT,6-20
15-40940,1,ambient_future_60m,36557,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-32168,1,ambient_future_60m,36529,0,RAW_SIRET,2015,72,duration_imputed,DIGITAL_ICT,21+
15-34520,1,ambient_future_60m,36504,0,NAME_FALLBACK,2015,32,duration_imputed,DIGITAL_ICT,21+
15-39992,1,ambient_future_60m,36557,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,6-20
15-56918,1,ambient_future_60m,36537,0,NAME_FALLBACK,2015,32,duration_imputed,DIGITAL_ICT,6-20
15-59370,1,ambient_future_60m,36535,0,NAME_FALLBACK,2015,72,duration_imputed,DIGITAL_ICT,21+
15-59770,1,ambient_future_60m,36535,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,21+
15-60447,1,ambient_future_60m,36535,0,NAME_FALLBACK,2015,33,duration_imputed,DIGITAL_ICT,21+
15-63856,1,ambient_future_60m,36497,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,21+
15-50314,1,ambient_future_60m,36601,0,NAME_FALLBACK,2015,72,duration_imputed,DIGITAL_ICT,21+
15-56649,1,ambient_future_60m,36563,0,RAW_SIRET,2015,72,duration_imputed,DIGITAL_ICT,21+
15-58339,1,ambient_future_60m,36517,0,NAME_FALLBACK,2015,72,duration_imputed,DIGITAL_ICT,21+
15-53947,1,ambient_future_60m,36608,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,21+
15-56571,1,ambient_future_60m,36563,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-54892,1,ambient_future_60m,36608,0,NAME_FALLBACK,2015,32,duration_imputed,DIGITAL_ICT,21+
15-65278,1,ambient_future_60m,36512,0,NAME_FALLBACK,2015,34,duration_imputed,DIGITAL_ICT,21+
15-58971,1,ambient_future_60m,36517,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-62309,1,ambient_future_60m,36500,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-52664,1,ambient_future_60m,36623,0,RAW_SIRET,2015,72,duration_imputed,DIGITAL_ICT,6-20
15-55213,1,ambient_future_60m,36601,0,NAME_FALLBACK,2015,32,duration_imputed,DIGITAL_ICT,2-5
15-55830,1,ambient_future_60m,36601,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,21+
15-58989,1,ambient_future_60m,36517,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,21+
15-64904,1,ambient_future_60m,36512,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,21+
15-54712,1,ambient_future_60m,36608,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-59425,1,ambient_future_60m,36535,0,NAME_FALLBACK,2015,35,duration_imputed,DIGITAL_ICT,21+
15-59556,1,ambient_future_60m,36535,0,NAME_FALLBACK,2015,35,duration_imputed,DIGITAL_ICT,21+
15-55407,1,ambient_future_60m,36535,0,NAME_FALLBACK,2015,79,duration_imputed,DIGITAL_ICT,21+
15-48967,1,ambient_future_60m,36600,0,NAME_FALLBACK,2015,50,duration_imputed,DIGITAL_ICT,21+
15-49442,1,ambient_future_60m,36635,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-58224,1,ambient_future_60m,36521,0,NAME_FALLBACK,2015,35,duration_imputed,DIGITAL_ICT,21+
15-31076,1,ambient_future_60m,36600,0,NAME_FALLBACK,2015,35,duration_imputed,DIGITAL_ICT,21+
15-64142,1,ambient_future_60m,36497,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,21+
15-50278,1,ambient_future_60m,36601,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,6-20
15-50732,1,ambient_future_60m,36601,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-51571,1,ambient_future_60m,36642,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,1 (single)
15-55527,1,ambient_future_60m,36563,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,21+
15-56776,1,ambient_future_60m,36537,0,NAME_FALLBACK,2015,32,duration_imputed,DIGITAL_ICT,21+
15-55114,1,ambient_future_60m,36608,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-51820,1,ambient_future_60m,36642,0,NAME_FALLBACK,2015,30,duration_imputed,DIGITAL_ICT,21+
15-55973,1,ambient_future_60m,36601,0,NAME_FALLBACK,2015,45,duration_imputed,DIGITAL_ICT,21+
15-58213,1,ambient_future_60m,36517,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-63415,1,ambient_future_60m,36497,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-50024,1,ambient_future_60m,36526,0,NAME_FALLBACK,2015,35,duration_imputed,DIGITAL_ICT,21+
15-65940,1,ambient_future_60m,36491,0,NAME_FALLBACK,2015,72,duration_imputed,DIGITAL_ICT,21+
15-65742,1,ambient_future_60m,36491,0,NAME_FALLBACK,2015,32,duration_imputed,DIGITAL_ICT,21+
15-76604,1,ambient_future_60m,36472,0,NAME_FALLBACK,2015,30,duration_imputed,DIGITAL_ICT,21+
15-76852,1,ambient_future_60m,36472,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,21+
15-81652,1,ambient_future_60m,36446,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-74702,1,ambient_future_60m,36462,0,NAME_FALLBACK,2015,,duration_imputed,DIGITAL_ICT,21+
15-75102,1,ambient_future_60m,36496,0,NAME_FALLBACK,2015,32,duration_imputed,DIGITAL_ICT,21+
15-78724,1,ambient_future_60m,36476,0,NAME_FALLBACK,2015,72,duration_imputed,DIGITAL_ICT,6-20
15-78916,1,ambient_future_60m,36476,0,NAME_FALLBACK,2015,72,duration_imputed,DIGITAL_ICT,21+
15-68078,1,ambient_future_60m,36474,0,NAME_FALLBACK,2015,32,duration_imputed,DIGITAL_ICT,21+
15-74861,1,ambient_future_60m,36496,0,NAME_FALLBACK,2015,48,duration_imputed,DIGITAL_ICT,21+
