eforms_notice_type,path,path_role,n_values,n_valid_8_digit_values,example_notice_id,example_value,n_records,parser_after_fix_status
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,21993,21993,24-5256,71400000,6821,recovered_as_cpv
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,6821,6821,24-5256,71400000,6821,recovered_as_cpv
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,3803,3803,24-8193,50324200,3803,recovered_as_cpv
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,10236,10236,24-8193,50324200,3802,recovered_as_cpv
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,12633,12633,24-5256,71240000,2913,recovered_as_cpv
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,4657,4657,24-5256,71240000,2903,recovered_as_cpv
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,7266,7266,24-8193,50324200,1843,recovered_as_cpv
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,2789,2789,24-8193,50324200,1822,recovered_as_cpv
PriorInformationNotice,EFORMS/PriorInformationNotice/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,58,58,24-6635,45252300,58,recovered_as_cpv
PriorInformationNotice,EFORMS/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,176,176,24-6635,45252300,45,recovered_as_cpv
PriorInformationNotice,EFORMS/PriorInformationNotice/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,61,61,24-59080,45421100,17,recovered_as_cpv
PriorInformationNotice,EFORMS/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/#text,eforms_cpv_code_path,133,133,24-75244,60120000,11,recovered_as_cpv
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,21993,0,24-5256,cpv,6821,classification_metadata_not_code
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,6821,0,24-5256,cpv,6821,classification_metadata_not_code
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,3803,0,24-8193,cpv,3803,classification_metadata_not_code
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,10236,0,24-8193,cpv,3802,classification_metadata_not_code
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,12633,0,24-5256,cpv,2913,classification_metadata_not_code
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,4657,0,24-5256,cpv,2903,classification_metadata_not_code
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,7266,0,24-8193,cpv,1843,classification_metadata_not_code
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,2789,0,24-8193,cpv,1822,classification_metadata_not_code
PriorInformationNotice,EFORMS/PriorInformationNotice/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,58,0,24-6635,cpv,58,classification_metadata_not_code
PriorInformationNotice,EFORMS/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,176,0,24-6635,cpv,45,classification_metadata_not_code
PriorInformationNotice,EFORMS/PriorInformationNotice/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,61,0,24-59080,cpv,17,classification_metadata_not_code
PriorInformationNotice,EFORMS/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName,eforms_cpv_metadata_path,133,0,24-75244,cpv,11,classification_metadata_not_code
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeResult/cbc:TotalAmount/#text,other_8_digit_path,123,123,24-15783,10560000,123,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount/#text,other_8_digit_path,117,117,24-8184,25500000,117,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeResult/efac:SettledContract/efac:ContractReference/cbc:ID,other_8_digit_path,326,326,24-6034,20240001,111,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeResult/efbc:OverallMaximumFrameworkContractsAmount/#text,other_8_digit_path,93,93,24-21347,36000000,93,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeResult/efac:LotTender/cac:LegalMonetaryTotal/cbc:PayableAmount/#text,other_8_digit_path,149,149,24-9437,18000000,89,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount/#text,other_8_digit_path,85,85,24-6664,67450000,78,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:NoticeResult/efac:LotResult/efac:FrameworkAgreementValues/cbc:MaximumValueAmount/#text,other_8_digit_path,332,332,24-13717,20000000,70,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount/#text,other_8_digit_path,62,62,24-9437,38480000,62,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProject/cac:RequestedTenderTotal/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efbc:FrameworkMaximumAmount/#text,other_8_digit_path,58,58,24-6623,13200000,58,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RequestedTenderTotal/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efbc:FrameworkMaximumAmount/#text,other_8_digit_path,83,83,24-27619,35800000,43,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProject/cac:RequestedTenderTotal/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efbc:FrameworkMaximumAmount/#text,other_8_digit_path,29,29,24-15783,10560000,29,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RequestedTenderTotal/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efbc:FrameworkMaximumAmount/#text,other_8_digit_path,44,44,24-46141,11200000,28,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount/#text,other_8_digit_path,26,26,24-25531,10000000,23,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProject/cbc:ID,other_8_digit_path,6,6,24-54316,20245064,6,excluded_non_cpv_numeric
ContractAwardNotice,EFORMS/ContractAwardNotice/cac:ProcurementProject/cbc:ID,other_8_digit_path,6,6,24-101909,20245064,6,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:TenderingTerms/cac:CallForTendersDocumentReference/cbc:ID,other_8_digit_path,9,9,24-14314,20245027,5,excluded_non_cpv_numeric
ContractNotice,EFORMS/ContractNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:ID/#text,other_8_digit_path,7,7,24-11668,09012024,5,excluded_non_cpv_numeric
PriorInformationNotice,EFORMS/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount/#text,other_8_digit_path,5,5,24-37897,34000000,3,excluded_non_cpv_numeric
