breakdown,schema_family,publication_year,eforms_notice_type,notice_type_normalized,stage,n_records,n_cpv_available,p_cpv_available,n_multiple_cpv_after_fix,p_multiple_cpv_after_fix,n_raw_invalid_classification_values,p_raw_invalid_classification_values,n_cpv_present_parser_missed_before_fix,n_genuinely_absent_after_fix
overall,ALL,ALL,ALL,ALL,raw_source,84623,70185,0.829384446308923,24723,0.2921546151755433,519,0.00613308438604162,10682,14438
overall,ALL,ALL,ALL,ALL,flattened_before_fix,84623,59503,0.7031539888682746,24723,0.2921546151755433,519,0.00613308438604162,10682,14438
overall,ALL,ALL,ALL,ALL,cleaned_prepared_before_fix,84623,59503,0.7031539888682746,24723,0.2921546151755433,519,0.00613308438604162,10682,14438
overall,ALL,ALL,ALL,ALL,flattened_after_fix,84623,70185,0.829384446308923,24723,0.2921546151755433,519,0.00613308438604162,10682,14438
overall,ALL,ALL,ALL,ALL,cleaned_prepared_after_fix,84623,70185,0.829384446308923,24723,0.2921546151755433,519,0.00613308438604162,10682,14438
schema_family,EFORMS,ALL,ALL,ALL,raw_source,10682,10682,1.0,4599,0.4305373525557012,0,0.0,10682,0
schema_family,EFORMS,ALL,ALL,ALL,flattened_before_fix,10682,0,0.0,4599,0.4305373525557012,0,0.0,10682,0
schema_family,EFORMS,ALL,ALL,ALL,cleaned_prepared_before_fix,10682,0,0.0,4599,0.4305373525557012,0,0.0,10682,0
schema_family,EFORMS,ALL,ALL,ALL,flattened_after_fix,10682,10682,1.0,4599,0.4305373525557012,0,0.0,10682,0
schema_family,EFORMS,ALL,ALL,ALL,cleaned_prepared_after_fix,10682,10682,1.0,4599,0.4305373525557012,0,0.0,10682,0
schema_family,LEGACY,ALL,ALL,ALL,raw_source,73941,59503,0.8047362085987476,20124,0.2721629407230089,519,0.007019109830811052,0,14438
schema_family,LEGACY,ALL,ALL,ALL,flattened_before_fix,73941,59503,0.8047362085987476,20124,0.2721629407230089,519,0.007019109830811052,0,14438
schema_family,LEGACY,ALL,ALL,ALL,cleaned_prepared_before_fix,73941,59503,0.8047362085987476,20124,0.2721629407230089,519,0.007019109830811052,0,14438
