notice_id,publication_year,eforms_notice_type,notice_type_normalized,source_schema,raw_valid_cpv_codes,flattened_before_fix_cpv_candidates,cleaned_before_fix_cpv,classification_before_fix,flattened_after_fix_cpv_candidates,cleaned_after_fix_cpv,classification_after_fix,multiple_cpv_after_fix,raw_invalid_classification_values,source_file
24-100147,2024,ContractAwardNotice,ATTRIBUTION,3.2.5,34121200,,,CPV present but parser misses it,34121200,34121200,CPV successfully extracted,False,,boamp_202409.json
24-100522,2024,ContractAwardNotice,ATTRIBUTION,3.2.5,14320000;24312220,,,CPV present but parser misses it,14320000;24312220,14320000,CPV successfully extracted,True,,boamp_202409.json
24-100555,2024,ContractAwardNotice,ATTRIBUTION,3.2.5,79341100;79341200;79341400;79416100;79416200,,,CPV present but parser misses it,79341100;79341200;79341400;79416100;79416200,79341100,CPV successfully extracted,True,,boamp_202409.json
24-100559,2024,ContractAwardNotice,ATTRIBUTION,3.2.5,09200000,,,CPV present but parser misses it,09200000,09200000,CPV successfully extracted,False,,boamp_202409.json
24-100560,2024,ContractAwardNotice,ATTRIBUTION,3.2.5,64110000;64120000;64121100;64122000;64121200,,,CPV present but parser misses it,64110000;64120000;64121100;64122000;64121200,64110000,CPV successfully extracted,True,,boamp_202409.json
24-10022,2024,ContractNotice,APPEL_OFFRE,3.2.5,98310000,,,CPV present but parser misses it,98310000,98310000,CPV successfully extracted,False,,boamp_202401.json
24-100237,2024,ContractNotice,APPEL_OFFRE,3.2.5,71000000,,,CPV present but parser misses it,71000000,71000000,CPV successfully extracted,False,,boamp_202409.json
24-100278,2024,ContractNotice,APPEL_OFFRE,3.2.5,71335000,,,CPV present but parser misses it,71335000,71335000,CPV successfully extracted,False,,boamp_202409.json
24-100323,2024,ContractNotice,APPEL_OFFRE,3.2.5,65200000,,,CPV present but parser misses it,65200000,65200000,CPV successfully extracted,False,,boamp_202409.json
24-100355,2024,ContractNotice,APPEL_OFFRE,3.2.5,71000000,,,CPV present but parser misses it,71000000,71000000,CPV successfully extracted,False,,boamp_202409.json
24-106361,2024,PriorInformationNotice,OTHER,3.2.5,66515200;66516000;66514110;66513100,,,CPV present but parser misses it,66515200;66516000;66514110;66513100,66515200,CPV successfully extracted,True,,boamp_202409.json
24-106936,2024,PriorInformationNotice,OTHER,3.2.5,65320000,,,CPV present but parser misses it,65320000,65320000,CPV successfully extracted,False,,boamp_202409.json
24-106947,2024,PriorInformationNotice,OTHER,3.2.5,65320000,,,CPV present but parser misses it,65320000,65320000,CPV successfully extracted,False,,boamp_202409.json
24-11467,2024,PriorInformationNotice,OTHER,3.2.5,75200000,,,CPV present but parser misses it,75200000,75200000,CPV successfully extracted,False,,boamp_202402.json
24-114823,2024,PriorInformationNotice,OTHER,3.2.5,71200000,,,CPV present but parser misses it,71200000,71200000,CPV successfully extracted,False,,boamp_202410.json
24-145757,2025,ContractAwardNotice,ATTRIBUTION,3.2.5,50421000,,,CPV present but parser misses it,50421000,50421000,CPV successfully extracted,False,,boamp_202501.json
24-145773,2025,ContractAwardNotice,ATTRIBUTION,3.2.5,45311000;45310000;45311200;45315600,,,CPV present but parser misses it,45311000;45310000;45311200;45315600,45311000,CPV successfully extracted,True,,boamp_202501.json
24-145774,2025,ContractAwardNotice,ATTRIBUTION,3.2.5,45111200;45316000;77211400,,,CPV present but parser misses it,45111200;45316000;77211400,45111200,CPV successfully extracted,True,,boamp_202501.json
24-145775,2025,ContractAwardNotice,ATTRIBUTION,3.2.5,45234160;45316110;45223220;45234100;45234126,,,CPV present but parser misses it,45234160;45316110;45223220;45234100;45234126,45234160,CPV successfully extracted,True,,boamp_202501.json
24-145791,2025,ContractAwardNotice,ATTRIBUTION,3.2.5,45233140,,,CPV present but parser misses it,45233140,45233140,CPV successfully extracted,False,,boamp_202501.json
24-146077,2025,ContractNotice,APPEL_OFFRE,3.2.5,66515000,,,CPV present but parser misses it,66515000,66515000,CPV successfully extracted,False,,boamp_202501.json
25-100013,2025,ContractNotice,APPEL_OFFRE,3.2.5,79420000,,,CPV present but parser misses it,79420000,79420000,CPV successfully extracted,False,,boamp_202509.json
25-100015,2025,ContractNotice,APPEL_OFFRE,3.2.5,33140000,,,CPV present but parser misses it,33140000,33140000,CPV successfully extracted,False,,boamp_202509.json
25-100034,2025,ContractNotice,APPEL_OFFRE,3.2.5,55221000;70332100;85310000,,,CPV present but parser misses it,55221000;70332100;85310000,55221000,CPV successfully extracted,True,,boamp_202509.json
25-100094,2025,ContractNotice,APPEL_OFFRE,3.2.5,92521210,,,CPV present but parser misses it,92521210,92521210,CPV successfully extracted,False,,boamp_202509.json
25-112337,2025,PriorInformationNotice,OTHER,3.2.5,34350000;34352100;50116500,,,CPV present but parser misses it,34350000;34352100;50116500,34350000,CPV successfully extracted,True,,boamp_202510.json
25-126816,2025,PriorInformationNotice,OTHER,3.2.5,79400000;71241000;66171000;70110000;79300000,,,CPV present but parser misses it,79400000;71241000;66171000;70110000;79300000,79400000,CPV successfully extracted,True,,boamp_202511.json
25-137297,2025,PriorInformationNotice,OTHER,3.2.5,79400000;71241000;66171000;70110000;79300000,,,CPV present but parser misses it,79400000;71241000;66171000;70110000;79300000,79400000,CPV successfully extracted,True,,boamp_202512.json
25-15052,2025,PriorInformationNotice,OTHER,3.2.5,71200000,,,CPV present but parser misses it,71200000,71200000,CPV successfully extracted,False,,boamp_202502.json
25-1611,2025,PriorInformationNotice,OTHER,3.2.5,55200000,,,CPV present but parser misses it,55200000,55200000,CPV successfully extracted,False,,boamp_202501.json
25-143161,2026,ContractAwardNotice,ATTRIBUTION,3.2.5,50111000,,,CPV present but parser misses it,50111000,50111000,CPV successfully extracted,False,,boamp_202601.json
25-143172,2026,ContractAwardNotice,ATTRIBUTION,3.2.5,71250000,,,CPV present but parser misses it,71250000,71250000,CPV successfully extracted,False,,boamp_202601.json
25-143212,2026,ContractAwardNotice,ATTRIBUTION,3.2.5,55523100,,,CPV present but parser misses it,55523100,55523100,CPV successfully extracted,False,,boamp_202601.json
25-143280,2026,ContractAwardNotice,ATTRIBUTION,3.2.5,85000000,,,CPV present but parser misses it,85000000,85000000,CPV successfully extracted,False,,boamp_202601.json
25-143294,2026,ContractAwardNotice,ATTRIBUTION,3.2.5,85148000,,,CPV present but parser misses it,85148000,85148000,CPV successfully extracted,False,,boamp_202601.json
25-143230,2026,ContractNotice,APPEL_OFFRE,3.2.5,42900000;42924740;31121000;42122000;39100000;34928200;34100000;42410000;60100000;60181000;60182000;45510000;60180000;34500000;60651100;60653000;34930000;42995200;34928480;34221000,,,CPV present but parser misses it,42900000;42924740;31121000;42122000;39100000;34928200;34100000;42410000;60100000;60181000;60182000;45510000;60180000;34500000;60651100;60653000;34930000;42995200;34928480;34221000,42900000,CPV successfully extracted,True,,boamp_202601.json
25-143234,2026,ContractNotice,APPEL_OFFRE,3.2.5,90741200;71521000,,,CPV present but parser misses it,90741200;71521000,90741200,CPV successfully extracted,True,,boamp_202601.json
25-143242,2026,ContractNotice,APPEL_OFFRE,3.2.5,39300000;18143000;35113400;44510000;44511000;34930000;39830000;39540000;34928480;15700000;03311000,,,CPV present but parser misses it,39300000;18143000;35113400;44510000;44511000;34930000;39830000;39540000;34928480;15700000;03311000,39300000,CPV successfully extracted,True,,boamp_202601.json
25-143350,2026,ContractNotice,APPEL_OFFRE,3.2.5,90470000,,,CPV present but parser misses it,90470000,90470000,CPV successfully extracted,False,,boamp_202601.json
26-10014,2026,ContractNotice,APPEL_OFFRE,3.2.5,34110000;34100000,,,CPV present but parser misses it,34110000;34100000,34110000,CPV successfully extracted,True,,boamp_202601.json
26-19513,2026,PriorInformationNotice,OTHER,3.2.5,45000000;45262522;45421000;45313100;45443000;45421141;45311000;45112700;45432113;45112500;44423400;32322000;45111100;45330000;32321300;39100000;90910000;45331000;45432111;45431000;45442100;45432110;45332400;45421146;45343000,,,CPV present but parser misses it,45000000;45262522;45421000;45313100;45443000;45421141;45311000;45112700;45432113;45112500;44423400;32322000;45111100;45330000;32321300;39100000;90910000;45331000;45432111;45431000;45442100;45432110;45332400;45421146;45343000,45000000,CPV successfully extracted,True,,boamp_202602.json
26-20548,2026,PriorInformationNotice,OTHER,3.2.5,45000000,,,CPV present but parser misses it,45000000,45000000,CPV successfully extracted,False,,boamp_202603.json
26-22057,2026,PriorInformationNotice,OTHER,3.2.5,55330000,,,CPV present but parser misses it,55330000,55330000,CPV successfully extracted,False,,boamp_202603.json
26-27445,2026,PriorInformationNotice,OTHER,3.2.5,45000000,,,CPV present but parser misses it,45000000,45000000,CPV successfully extracted,False,,boamp_202603.json
26-28760,2026,PriorInformationNotice,OTHER,3.2.5,45000000,,,CPV present but parser misses it,45000000,45000000,CPV successfully extracted,False,,boamp_202603.json
