cohort,stratum_dim,stratum_value,n_total,n_evaluable,evaluable_share,admin_censoring_rate
12_month_evaluable,overall,ALL,58292,53503,0.9178446442050368,0.08215535579496325
12_month_evaluable,publication_year,2015,4362,4362,1.0,0.0
12_month_evaluable,publication_year,2016,4957,4957,1.0,0.0
12_month_evaluable,publication_year,2017,5039,5039,1.0,0.0
12_month_evaluable,publication_year,2018,5121,5121,1.0,0.0
12_month_evaluable,publication_year,2019,5506,5506,1.0,0.0
12_month_evaluable,publication_year,2020,4679,4679,1.0,0.0
12_month_evaluable,publication_year,2021,5029,5029,1.0,0.0
12_month_evaluable,publication_year,2022,5106,5106,1.0,0.0
12_month_evaluable,publication_year,2023,5209,5209,1.0,0.0
12_month_evaluable,publication_year,2024,5305,5305,1.0,0.0
12_month_evaluable,publication_year,2025,5483,3190,0.5817982856100675,0.4182017143899325
12_month_evaluable,publication_year,2026,2496,0,0.0,1.0
12_month_evaluable,digital_segment,DIGITAL_ICT,3380,3141,0.9292899408284023,0.07071005917159767
12_month_evaluable,digital_segment,NON_DIGITAL,54912,50362,0.9171401515151515,0.08285984848484851
12_month_evaluable,buyer_activity_tier,1 (single),1709,1424,0.8332358104154476,0.1667641895845524
12_month_evaluable,buyer_activity_tier,2-5,3894,3392,0.8710837185413457,0.1289162814586543
12_month_evaluable,buyer_activity_tier,21+,45763,42489,0.9284574874898935,0.07154251251010646
12_month_evaluable,buyer_activity_tier,6-20,6926,6198,0.8948888247184522,0.10511117528154779
12_month_evaluable,schema_family,EFORMS,6821,4215,0.6179445829057323,0.3820554170942677
12_month_evaluable,schema_family,LEGACY,51471,49288,0.9575877678692856,0.04241223213071443
12_month_evaluable,buyer_identifier_source,NONE,43636,40714,0.9330369419745165,0.06696305802548352
12_month_evaluable,buyer_identifier_source,RAW_SIRET_FIELD,14656,12789,0.8726118995633187,0.12738810043668125
24_month_evaluable,overall,ALL,58292,48066,0.8245728401839018,0.17542715981609824
24_month_evaluable,publication_year,2015,4362,4362,1.0,0.0
24_month_evaluable,publication_year,2016,4957,4957,1.0,0.0
24_month_evaluable,publication_year,2017,5039,5039,1.0,0.0
24_month_evaluable,publication_year,2018,5121,5121,1.0,0.0
24_month_evaluable,publication_year,2019,5506,5506,1.0,0.0
24_month_evaluable,publication_year,2020,4679,4679,1.0,0.0
24_month_evaluable,publication_year,2021,5029,5029,1.0,0.0
24_month_evaluable,publication_year,2022,5106,5106,1.0,0.0
24_month_evaluable,publication_year,2023,5209,5209,1.0,0.0
24_month_evaluable,publication_year,2024,5305,3058,0.5764373232799246,0.4235626767200754
24_month_evaluable,publication_year,2025,5483,0,0.0,1.0
24_month_evaluable,publication_year,2026,2496,0,0.0,1.0
24_month_evaluable,digital_segment,DIGITAL_ICT,3380,2843,0.8411242603550296,0.15887573964497037
24_month_evaluable,digital_segment,NON_DIGITAL,54912,45223,0.8235540501165501,0.17644594988344986
24_month_evaluable,buyer_activity_tier,1 (single),1709,1070,0.6260971328262142,0.37390286717378585
24_month_evaluable,buyer_activity_tier,2-5,3894,2860,0.7344632768361582,0.2655367231638418
24_month_evaluable,buyer_activity_tier,21+,45763,38944,0.8509931604134344,0.14900683958656558
24_month_evaluable,buyer_activity_tier,6-20,6926,5192,0.749639041293676,0.250360958706324
24_month_evaluable,schema_family,EFORMS,6821,1454,0.21316522504031668,0.7868347749596833
24_month_evaluable,schema_family,LEGACY,51471,46612,0.9055973266499582,0.09440267335004182
24_month_evaluable,buyer_identifier_source,NONE,43636,37347,0.8558758822990191,0.14412411770098088
24_month_evaluable,buyer_identifier_source,RAW_SIRET_FIELD,14656,10719,0.7313728165938864,0.2686271834061136
full_survival_cohort,overall,ALL,58292,58292,1.0,0.0
full_survival_cohort,publication_year,2015,4362,4362,1.0,0.0
full_survival_cohort,publication_year,2016,4957,4957,1.0,0.0
full_survival_cohort,publication_year,2017,5039,5039,1.0,0.0
full_survival_cohort,publication_year,2018,5121,5121,1.0,0.0
full_survival_cohort,publication_year,2019,5506,5506,1.0,0.0
full_survival_cohort,publication_year,2020,4679,4679,1.0,0.0
full_survival_cohort,publication_year,2021,5029,5029,1.0,0.0
full_survival_cohort,publication_year,2022,5106,5106,1.0,0.0
full_survival_cohort,publication_year,2023,5209,5209,1.0,0.0
full_survival_cohort,publication_year,2024,5305,5305,1.0,0.0
full_survival_cohort,publication_year,2025,5483,5483,1.0,0.0
full_survival_cohort,publication_year,2026,2496,2496,1.0,0.0
full_survival_cohort,digital_segment,DIGITAL_ICT,3380,3380,1.0,0.0
full_survival_cohort,digital_segment,NON_DIGITAL,54912,54912,1.0,0.0
full_survival_cohort,buyer_activity_tier,1 (single),1709,1709,1.0,0.0
full_survival_cohort,buyer_activity_tier,2-5,3894,3894,1.0,0.0
full_survival_cohort,buyer_activity_tier,21+,45763,45763,1.0,0.0
full_survival_cohort,buyer_activity_tier,6-20,6926,6926,1.0,0.0
full_survival_cohort,schema_family,EFORMS,6821,6821,1.0,0.0
full_survival_cohort,schema_family,LEGACY,51471,51471,1.0,0.0
full_survival_cohort,buyer_identifier_source,NONE,43636,43636,1.0,0.0
full_survival_cohort,buyer_identifier_source,RAW_SIRET_FIELD,14656,14656,1.0,0.0
