notice_id,publication_date,publication_year,schema_family,buyer_activity_tier,buyer_key_type,buyer_identifier_source,is_digital_scope,digital_segment,study_end_date,followup_days,followup_months,evaluable_12m,evaluable_24m,evaluable_36m,evaluable_60m
15-28783,2015-03-03,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4150,136.33377135348226,True,True,True,True
15-31324,2015-03-03,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4150,136.33377135348226,True,True,True,True
15-32027,2015-03-03,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4150,136.33377135348226,True,True,True,True
15-15433,2015-03-04,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4149,136.30091984231274,True,True,True,True
15-30886,2015-03-03,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4150,136.33377135348226,True,True,True,True
15-33522,2015-03-05,2015,LEGACY,21+,RAW_SIRET,RAW_SIRET_FIELD,False,NON_DIGITAL,2026-07-13,4148,136.26806833114324,True,True,True,True
15-34768,2015-03-06,2015,LEGACY,21+,RAW_SIRET,RAW_SIRET_FIELD,False,NON_DIGITAL,2026-07-13,4147,136.23521681997372,True,True,True,True
15-34784,2015-03-09,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4144,136.13666228646517,True,True,True,True
15-28733,2015-03-09,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4144,136.13666228646517,True,True,True,True
15-34504,2015-03-09,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4144,136.13666228646517,True,True,True,True
15-38333,2015-03-13,2015,LEGACY,21+,RAW_SIRET,RAW_SIRET_FIELD,False,NON_DIGITAL,2026-07-13,4140,136.00525624178712,True,True,True,True
15-45837,2015-03-26,2015,LEGACY,21+,RAW_SIRET,RAW_SIRET_FIELD,False,NON_DIGITAL,2026-07-13,4127,135.57818659658344,True,True,True,True
15-46309,2015-03-26,2015,LEGACY,21+,RAW_SIRET,RAW_SIRET_FIELD,True,DIGITAL_ICT,2026-07-13,4127,135.57818659658344,True,True,True,True
15-41225,2015-03-19,2015,LEGACY,21+,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4134,135.80814717477003,True,True,True,True
15-42598,2015-03-20,2015,LEGACY,2-5,NAME_FALLBACK,NONE,False,NON_DIGITAL,2026-07-13,4133,135.77529566360053,True,True,True,True
