validation_case_id,review_stratum,source_notice_id,candidate_notice_id,source_publication_date,source_buyer_name,source_cpv,source_objet,candidate_publication_date,candidate_buyer_name,candidate_cpv,candidate_objet,time_gap_months,reviewer,decision,confidence,evidence,disagreement,final_adjudication
WP11-0001,high_score_layer1_links,20-29244,20-93913,2020-02-27,commune de nantes,35300000,"fourniture et livraison de pistolets à impulsion électrique, munitions, et accessoires pour la police municipale (ville de nantes) et la police métropolitaine des transports en commun (nantes métropol",2020-07-25,commune de nantes,35300000,fourniture d'accessoires pour pistolets à impulsion électrique pour la police municipale (ville de nantes) et la police métropolitaine des transports en commun (nantes métropole) (lot 2),4.894875164257556,,,,,,
WP11-0002,high_score_layer1_links,19-191665,20-66643,2019-12-26,nantes metropole,72250000,"""tierce maintenance applicative de l'usine à sites (maintien en conditions opérationnelles et évolutions)",2020-05-22,nantes metropole,72250000,"maintenance, l'hébergement et les évolutions du logiciel e-venement de gestion de la billetterie des établissements culturels de nantes métropole et de la ville de nantes et prestations associées.",4.862023653088042,,,,,,
WP11-0003,high_score_layer1_links,20-27109,20-61130,2020-02-23,ville de bouguenais,32400000,Fourniture et mise en oeuvre d'infrastructures Lan et Wifi pour la ville de Bouguenais,2020-05-08,ville de bouguenais,32400000,Fourniture et mise en oeuvre d'infrastructures Lan et Wifi pour la ville de Bouguenais,2.463863337713535,,,,,,
WP11-0004,high_score_layer1_links,21-113953,21-117615,2021-08-20,chu de nantes,72267100,Le présent marché a pour objet la maintenance logicielle des sites internet hébergés par le CHU de Nantes.,2021-09-01,chu de nantes,72267100,Le présent marché a pour objet la maintenance logicielle des sites internet hébergés par le CHU de Nantes.,0.39421813403416556,,,,,,
WP11-0005,high_score_layer1_links,16-73358,16-166758,2016-05-23,ville du mans,32342410,Matériel de sonorisation et accessoires de scène pour la ville du Mans,2016-11-17,ville du mans,32342410,Acquisition de matériel de sonorisation et d'instruments de musique,5.847568988173456,,,,,,
WP11-0006,high_score_layer1_links,16-183461,17-155110,2016-12-22,commune de nantes,45311000,groupe scolaire du 1er degré - travaux de remise à niveau du câblage informatique de 18 écoles.,2017-11-03,commune de nantes,,groupes scolaires du 1er degré - travaux de remise à niveau du câblage informatique de 15 écoles.,10.38107752956636,,,,,,
WP11-0007,high_score_layer1_links,18-167367,18-173792,2018-11-30,si energies de maine et loire,48810000,Le présent marché a pour objet de mettre à disposition un outil informatique pour faciliter la gestion des DT-DICT et ATU des réseaux d'éclairage public concernant la prévention et l'endomma,2018-12-13,si energies de maine et loire,48810000,Le présent marché a pour objet de mettre à disposition un outil informatique pour faciliter la gestion des DT-DICT et ATU des réseaux d'éclairage public concernant la prévention et l'endomma,0.42706964520367935,,,,,,
WP11-0008,high_score_layer1_links,22-83349,23-90833,2022-06-16,departement de la mayenne,72268000,"Acquisition d'abonnement de logiciels, maintenance et prestations associées des outils d'infrastructure",2023-07-01,departement de la mayenne,72267100,"Acquisition d'abonnement de logiciels, maintenance et prestations associées des outils d'infrastructure - Lots 03 et 11",12.483574244415243,,,,,,
WP11-0009,low_margin_layer1_links,18-117157,19-5191,2018-08-20,ch le mans,72222000,Prestations d'accompagnement à l'innovation numérique pour la Direction des Systèmes d'Information du Centre Hospitalier du Mans,2019-01-11,ch le mans,72311100,"Prestations de numérisation intelligente de factures, dite prestation LAD/RAD pour le Centre Hospitalier du Mans dans le cadre du GHT72",4.730617608409987,,,,,,
WP11-0010,low_margin_layer1_links,21-35651,21-130956,2021-03-19,conseil regional des pays de la loire,72246000,Accompagnement pour l'exécution du schéma directeur numérique de la Région des Pays de la Loire,2021-10-02,conseil regional des pays de la loire,79800000,LOCATION MAINTENANCE ET ENTRETIEN DES MATÉRIELS ET LOGICIELS D'IMPRESSION DANS LES SERVICES DE LA RÉGION DES PAYS DE LA LOIRE,6.471747700394218,,,,,,
