flag,term,term_type,coefficient,odds_ratio
identifier_missing,schema_family_LEGACY,main_effect,1.3964917500876093,4.0409982380891165
identifier_missing,notice_type_normalized_ATTRIBUTION,main_effect,0.1936154678489086,1.21362951365057
identifier_missing,notice_type_normalized_OTHER,main_effect,-0.2965327711270419,0.7433912650953284
identifier_missing,buyer_activity_tier_2-5,main_effect,-0.37650634069635097,0.686254766339881
identifier_missing,buyer_activity_tier_21+,main_effect,-0.09889182668066317,0.9058406905181908
identifier_missing,buyer_activity_tier_6-20,main_effect,-0.31898045249478185,0.7268897580488035
identifier_missing,cpv_division_bucketed_30,main_effect,-0.12397076517615528,0.883405666714292
identifier_missing,cpv_division_bucketed_33,main_effect,0.5165310558272473,1.6762028983946484
identifier_missing,cpv_division_bucketed_34,main_effect,-0.30121451806628474,0.7399190297212299
identifier_missing,cpv_division_bucketed_39,main_effect,-0.25641153633625635,0.773823446788854
identifier_missing,cpv_division_bucketed_44,main_effect,-0.14447119505464465,0.8654798421436143
identifier_missing,cpv_division_bucketed_45,main_effect,0.12446051812968197,1.132537304886522
identifier_missing,cpv_division_bucketed_50,main_effect,-0.103899972823613,0.9013154489517207
identifier_missing,cpv_division_bucketed_55,main_effect,-0.3361049222412387,0.7145481298915439
identifier_missing,cpv_division_bucketed_60,main_effect,-0.09128687142450143,0.912755829772847
identifier_missing,cpv_division_bucketed_66,main_effect,-0.35938537564470624,0.6981052667383336
identifier_missing,cpv_division_bucketed_71,main_effect,-0.24546761722456725,0.782338617680086
identifier_missing,cpv_division_bucketed_72,main_effect,0.10344297072929094,1.1089825470957506
identifier_missing,cpv_division_bucketed_79,main_effect,-0.23547525116179618,0.7901952191804409
identifier_missing,cpv_division_bucketed_90,main_effect,-0.18251805318954514,0.8331696024238016
identifier_missing,cpv_division_bucketed_OTHER_OR_MISSING,main_effect,0.4937276606502209,1.6384122958894372
identifier_missing,dept_bucketed_35,main_effect,-0.04152700821710591,0.9593234253762356
identifier_missing,dept_bucketed_44,main_effect,0.021743493280080243,1.0219816056970714
identifier_missing,dept_bucketed_49,main_effect,-0.17820133703641386,0.8367739329438365
identifier_missing,dept_bucketed_53,main_effect,-0.32181583415806486,0.7248316672728434
identifier_missing,dept_bucketed_56,main_effect,0.4865331792069952,1.6266670700963966
identifier_missing,dept_bucketed_61,main_effect,-0.44385876810072494,0.6415560226048025
identifier_missing,dept_bucketed_72,main_effect,-0.7770912337758438,0.459741348378031
identifier_missing,dept_bucketed_75,main_effect,0.09257298862195933,1.0969932066608006
identifier_missing,dept_bucketed_85,main_effect,-0.3137543997936377,0.7306984658175534
identifier_missing,dept_bucketed_OTHER_OR_MISSING,main_effect,0.0359038679991335,1.0365561954800928
identifier_missing,schema_x_notice_type_EFORMS__x__ATTRIBUTION,interaction,0.020201200386127795,1.0204066255813713
identifier_missing,schema_x_notice_type_EFORMS__x__OTHER,interaction,-0.8618182514919482,0.42239336630154406
identifier_missing,schema_x_notice_type_LEGACY__x__APPEL_OFFRE,interaction,0.6577920022600239,1.930525030133122
identifier_missing,schema_x_notice_type_LEGACY__x__ATTRIBUTION,interaction,0.17341426746275906,1.1893587156581669
identifier_missing,schema_x_notice_type_LEGACY__x__OTHER,interaction,0.5652854803649106,1.7599501422203423
identifier_missing,is_digital_scope,main_effect,-0.27367100675768447,0.7605822605279331
identifier_missing,text_length_z,main_effect,0.041030170640980995,1.0418835393654982
identifier_missing,publication_year_z,main_effect,-0.4855698793642749,0.6153464235958955
identifier_missing,intercept,intercept,-0.3305255576131362,0.7185459968604168
duration_missing,schema_family_LEGACY,main_effect,3.4336331930006816,30.989027586276425
duration_missing,notice_type_normalized_ATTRIBUTION,main_effect,2.441077897428518,11.485414171354169
duration_missing,notice_type_normalized_OTHER,main_effect,3.1056968304631036,22.32477013629795
duration_missing,buyer_activity_tier_2-5,main_effect,0.25984101546333616,1.2967239112266455
duration_missing,buyer_activity_tier_21+,main_effect,0.379653998362625,1.4617787240921372
duration_missing,buyer_activity_tier_6-20,main_effect,0.1882285700786443,1.2071093929085959
duration_missing,cpv_division_bucketed_30,main_effect,-0.3779084366124212,0.6852932455643075
duration_missing,cpv_division_bucketed_33,main_effect,0.18953870275792312,1.2086919027943102
duration_missing,cpv_division_bucketed_34,main_effect,0.35675115561044835,1.4286803065369988
duration_missing,cpv_division_bucketed_39,main_effect,0.3775963827509838,1.4587740376736205
duration_missing,cpv_division_bucketed_44,main_effect,0.17931368959419347,1.1963959822808372
duration_missing,cpv_division_bucketed_45,main_effect,0.13254077561187275,1.1417255696987474
duration_missing,cpv_division_bucketed_50,main_effect,0.020022288856258615,1.020224079401195
duration_missing,cpv_division_bucketed_55,main_effect,0.41569768116857125,1.5154276572925969
duration_missing,cpv_division_bucketed_60,main_effect,0.043986302832099505,1.0449680416877012
duration_missing,cpv_division_bucketed_66,main_effect,0.33148159393251103,1.39303050582886
duration_missing,cpv_division_bucketed_71,main_effect,0.5774652322708231,1.7815169710187289
duration_missing,cpv_division_bucketed_72,main_effect,-0.044792306746675205,0.9561960566808864
duration_missing,cpv_division_bucketed_79,main_effect,0.09353394426185027,1.098047875133312
duration_missing,cpv_division_bucketed_90,main_effect,0.20804245012865402,1.2312654358156627
duration_missing,cpv_division_bucketed_OTHER_OR_MISSING,main_effect,0.2780987316119052,1.3206165773760605
duration_missing,dept_bucketed_35,main_effect,0.37538796817184933,1.455556014493696
duration_missing,dept_bucketed_44,main_effect,0.4442273548745006,1.5592849563606273
duration_missing,dept_bucketed_49,main_effect,0.3225318602384826,1.38061887700554
duration_missing,dept_bucketed_53,main_effect,0.2243571795770072,1.2515179562594902
duration_missing,dept_bucketed_56,main_effect,0.6122530949485869,1.8445827403966961
duration_missing,dept_bucketed_61,main_effect,-0.9039274076957676,0.40497602640240665
duration_missing,dept_bucketed_72,main_effect,0.08773396160240785,1.0916976498981066
duration_missing,dept_bucketed_75,main_effect,0.303553599071321,1.3546641977391325
duration_missing,dept_bucketed_85,main_effect,0.07696411717534277,1.0800033221274612
duration_missing,dept_bucketed_OTHER_OR_MISSING,main_effect,0.43372490829593563,1.5429943447840724
duration_missing,schema_x_notice_type_EFORMS__x__ATTRIBUTION,interaction,0.4331613345812378,1.542124998722729
duration_missing,schema_x_notice_type_EFORMS__x__OTHER,interaction,0.7220873395291835,2.058725988978855
duration_missing,schema_x_notice_type_LEGACY__x__APPEL_OFFRE,interaction,-0.9578928607804937,0.3837005452184176
duration_missing,schema_x_notice_type_LEGACY__x__ATTRIBUTION,interaction,2.0079165628472775,7.447784181481381
duration_missing,schema_x_notice_type_LEGACY__x__OTHER,interaction,2.3836094909339214,10.843973533054413
duration_missing,is_digital_scope,main_effect,-0.17560534408033657,0.8389490142058835
duration_missing,text_length_z,main_effect,0.02510063955176317,1.025418312971108
duration_missing,publication_year_z,main_effect,-4.519643825088421,0.010892902756372646
duration_missing,intercept,intercept,2.6673332210345193,14.40151228752156
cpv_missing,schema_family_LEGACY,main_effect,3.84002224606995,46.52650946026058
cpv_missing,notice_type_normalized_ATTRIBUTION,main_effect,-0.44081217889415936,0.6435135606517126
cpv_missing,notice_type_normalized_OTHER,main_effect,0.46166670523751235,1.5867163708293428
cpv_missing,buyer_activity_tier_2-5,main_effect,-0.1085641132844275,0.8971213755751987
cpv_missing,buyer_activity_tier_21+,main_effect,-0.4376355590021806,0.6455610088899192
cpv_missing,buyer_activity_tier_6-20,main_effect,-0.16534255290706315,0.8476033053760011
cpv_missing,cpv_division_bucketed_30,main_effect,-0.6432616289434572,0.5255753934915751
cpv_missing,cpv_division_bucketed_33,main_effect,-0.8121628380106838,0.4438969500319347
cpv_missing,cpv_division_bucketed_34,main_effect,-1.0199817800293158,0.36060151026217035
cpv_missing,cpv_division_bucketed_39,main_effect,-0.9178226022551053,0.39938772093343594
cpv_missing,cpv_division_bucketed_44,main_effect,-0.8451293330869035,0.4295018058240579
cpv_missing,cpv_division_bucketed_45,main_effect,-2.854475630966344,0.057586009525433024
cpv_missing,cpv_division_bucketed_50,main_effect,-1.230190713381929,0.2922368388900927
cpv_missing,cpv_division_bucketed_55,main_effect,-0.7498905135898387,0.47241827329045155
cpv_missing,cpv_division_bucketed_60,main_effect,-0.6602525132427902,0.5167208391617791
cpv_missing,cpv_division_bucketed_66,main_effect,-1.1861473289107303,0.3053955892272634
cpv_missing,cpv_division_bucketed_71,main_effect,-2.175204801471532,0.11358488893612118
cpv_missing,cpv_division_bucketed_72,main_effect,-0.42946810971059396,0.650855186227166
cpv_missing,cpv_division_bucketed_79,main_effect,-1.5052885393170252,0.22195324235474848
cpv_missing,cpv_division_bucketed_90,main_effect,-1.5012812804785975,0.2228444509059697
cpv_missing,cpv_division_bucketed_OTHER_OR_MISSING,main_effect,7.947011098521056,2827.1123495516626
cpv_missing,dept_bucketed_35,main_effect,-0.2534141696677136,0.7761463589662362
cpv_missing,dept_bucketed_44,main_effect,-0.16616820302792568,0.8469037704297697
cpv_missing,dept_bucketed_49,main_effect,-0.14210663994506328,0.8675287383359396
cpv_missing,dept_bucketed_53,main_effect,0.09201026713752304,1.0963760786670071
cpv_missing,dept_bucketed_56,main_effect,0.8998304614951756,2.459186149069586
cpv_missing,dept_bucketed_61,main_effect,0.16976660703742522,1.185028241790176
cpv_missing,dept_bucketed_72,main_effect,-0.7966992274086747,0.45081454728376963
cpv_missing,dept_bucketed_75,main_effect,-1.3448721037786335,0.26057303203509946
cpv_missing,dept_bucketed_85,main_effect,-0.4067528405122406,0.665808730911675
cpv_missing,dept_bucketed_OTHER_OR_MISSING,main_effect,-0.035802730460899684,0.9648306064000696
cpv_missing,schema_x_notice_type_EFORMS__x__ATTRIBUTION,interaction,-1.6036658661507304,0.20115774732791386
cpv_missing,schema_x_notice_type_EFORMS__x__OTHER,interaction,-0.18652930484493926,0.8298342434311934
cpv_missing,schema_x_notice_type_LEGACY__x__APPEL_OFFRE,interaction,2.028972548730819,7.6062672736393235
cpv_missing,schema_x_notice_type_LEGACY__x__ATTRIBUTION,interaction,1.1628536872565827,3.1990493490797918
cpv_missing,schema_x_notice_type_LEGACY__x__OTHER,interaction,0.6481960100824558,1.9120883277467613
cpv_missing,is_digital_scope,main_effect,-1.579086676968568,0.20616330594012214
cpv_missing,text_length_z,main_effect,0.04946121514911751,1.0507048399940044
cpv_missing,publication_year_z,main_effect,-0.27185281937686634,0.7619663995268219
cpv_missing,intercept,intercept,-12.634525216732735,3.257582452325287e-06
cpv_generic,schema_family_LEGACY,main_effect,-0.40555319319299377,0.6666079458630318
cpv_generic,notice_type_normalized_ATTRIBUTION,main_effect,-0.013788308585486428,0.9863063147435348
cpv_generic,notice_type_normalized_OTHER,main_effect,0.35018155242256127,1.4193252071330407
cpv_generic,buyer_activity_tier_2-5,main_effect,0.006388726713638437,1.0064091781578481
cpv_generic,buyer_activity_tier_21+,main_effect,-0.34791921746769366,0.7061559189736619
cpv_generic,buyer_activity_tier_6-20,main_effect,-0.04248957275193454,0.9584004589481764
cpv_generic,cpv_division_bucketed_30,main_effect,-1.721041158726602,0.17887980865016304
cpv_generic,cpv_division_bucketed_33,main_effect,1.0757865571312089,2.9322984139341477
cpv_generic,cpv_division_bucketed_34,main_effect,-2.232858210107147,0.10722153009131119
cpv_generic,cpv_division_bucketed_39,main_effect,-1.4640664575833213,0.23129381330767765
cpv_generic,cpv_division_bucketed_44,main_effect,-1.090154982319464,0.3361643901323673
cpv_generic,cpv_division_bucketed_45,main_effect,0.49026824196425384,1.6327541343953922
cpv_generic,cpv_division_bucketed_50,main_effect,0.13303689627545945,1.1422921438789784
cpv_generic,cpv_division_bucketed_55,main_effect,-0.30492321347902535,0.7371799777042343
cpv_generic,cpv_division_bucketed_60,main_effect,0.4840840127170816,1.6226879663508738
cpv_generic,cpv_division_bucketed_66,main_effect,-1.7389251473356089,0.17570916061367473
cpv_generic,cpv_division_bucketed_71,main_effect,0.8264526894634134,2.285198038374291
cpv_generic,cpv_division_bucketed_72,main_effect,-0.7749637826196658,0.4607204667851796
cpv_generic,cpv_division_bucketed_79,main_effect,-2.103130468636084,0.1220736816457449
cpv_generic,cpv_division_bucketed_90,main_effect,-1.5370510908142276,0.21501422487920713
cpv_generic,cpv_division_bucketed_OTHER_OR_MISSING,main_effect,-0.9994501562556094,0.36808177300120826
cpv_generic,dept_bucketed_35,main_effect,0.0035882365133822324,1.003594681940954
cpv_generic,dept_bucketed_44,main_effect,-0.298549209010854,0.7418937730931
cpv_generic,dept_bucketed_49,main_effect,-0.07051203951132862,0.931916519638764
cpv_generic,dept_bucketed_53,main_effect,-0.16108286690495163,0.8512215300908068
cpv_generic,dept_bucketed_56,main_effect,0.28350137202900266,1.327770702052525
cpv_generic,dept_bucketed_61,main_effect,-1.9591099107808685,0.14098385329765253
cpv_generic,dept_bucketed_72,main_effect,-1.3062334391870563,0.2708382664068192
cpv_generic,dept_bucketed_75,main_effect,0.0077275770191119935,1.007757511800501
cpv_generic,dept_bucketed_85,main_effect,-0.3354937164900953,0.7149849993129537
cpv_generic,dept_bucketed_OTHER_OR_MISSING,main_effect,0.13914077337460928,1.1492858774677202
cpv_generic,schema_x_notice_type_EFORMS__x__ATTRIBUTION,interaction,-0.08106771560584267,0.9221312466543549
cpv_generic,schema_x_notice_type_EFORMS__x__OTHER,interaction,0.7248224442632866,2.064364527659388
cpv_generic,schema_x_notice_type_LEGACY__x__APPEL_OFFRE,interaction,-0.09819170837265234,0.9064751082275763
cpv_generic,schema_x_notice_type_LEGACY__x__ATTRIBUTION,interaction,0.06727940702035547,1.0695942885809553
cpv_generic,schema_x_notice_type_LEGACY__x__OTHER,interaction,-0.3746408918407246,0.6875361343000295
cpv_generic,is_digital_scope,main_effect,1.3090002737640405,3.7024704045704224
cpv_generic,text_length_z,main_effect,-0.005754877468757144,0.9942616501186374
cpv_generic,publication_year_z,main_effect,-0.13576051023286043,0.8730516944006186
cpv_generic,intercept,intercept,-1.7217887716255034,0.1787461257756104
text_generic,schema_family_LEGACY,main_effect,0.06622704297697113,1.0684692780747722
text_generic,notice_type_normalized_ATTRIBUTION,main_effect,0.014218659061234868,1.0143202250002195
text_generic,notice_type_normalized_OTHER,main_effect,0.302053191963907,1.3526331740109276
text_generic,buyer_activity_tier_2-5,main_effect,0.6832275878103505,1.9802588882692944
text_generic,buyer_activity_tier_21+,main_effect,1.3483690840360294,3.8511395211891
text_generic,buyer_activity_tier_6-20,main_effect,0.9477065393785843,2.5797862312047664
text_generic,cpv_division_bucketed_30,main_effect,-0.2792060402380222,0.7563840416107481
text_generic,cpv_division_bucketed_33,main_effect,-0.2725232475316377,0.761455727003336
text_generic,cpv_division_bucketed_34,main_effect,-0.46483439598143184,0.628239135500945
text_generic,cpv_division_bucketed_39,main_effect,-0.05768900358421946,0.9439434648272653
text_generic,cpv_division_bucketed_44,main_effect,-0.15217346571203483,0.8588392886502583
text_generic,cpv_division_bucketed_45,main_effect,-0.6917523076891562,0.5006979230792185
text_generic,cpv_division_bucketed_50,main_effect,-0.29767527632584123,0.7425424217065415
text_generic,cpv_division_bucketed_55,main_effect,-0.17222322208996108,0.8417912457933125
text_generic,cpv_division_bucketed_60,main_effect,0.020511896963999854,1.02072371168421
text_generic,cpv_division_bucketed_66,main_effect,0.2408852667571564,1.2723750432184946
text_generic,cpv_division_bucketed_71,main_effect,-0.5649029681399435,0.568415298475456
text_generic,cpv_division_bucketed_72,main_effect,-0.8322384450002347,0.43507430560417537
text_generic,cpv_division_bucketed_79,main_effect,-0.5214673607462906,0.5936488115875289
text_generic,cpv_division_bucketed_90,main_effect,-0.18190011332300454,0.8336846102422723
text_generic,cpv_division_bucketed_OTHER_OR_MISSING,main_effect,-0.5935248131022913,0.5523768241821988
text_generic,dept_bucketed_35,main_effect,-0.23276667084983155,0.792338427609512
text_generic,dept_bucketed_44,main_effect,-0.08602904007018754,0.9175675846061843
text_generic,dept_bucketed_49,main_effect,-0.14206977356731335,0.8675607215676653
text_generic,dept_bucketed_53,main_effect,0.2770038694923345,1.3191714755489954
text_generic,dept_bucketed_56,main_effect,-0.9506279382529457,0.3864982502031737
text_generic,dept_bucketed_61,main_effect,-0.5701669058240814,0.5654310570867915
text_generic,dept_bucketed_72,main_effect,0.5820348906288859,1.7896765239211088
text_generic,dept_bucketed_75,main_effect,-0.5672170562281718,0.5671014561638112
text_generic,dept_bucketed_85,main_effect,0.1707802010464493,1.1862299882552008
text_generic,dept_bucketed_OTHER_OR_MISSING,main_effect,-0.4538405752156102,0.635183989244889
text_generic,schema_x_notice_type_EFORMS__x__ATTRIBUTION,interaction,0.053657060102831416,1.0551226964336564
text_generic,schema_x_notice_type_EFORMS__x__OTHER,interaction,-0.4375563951890291,0.6456121159838943
text_generic,schema_x_notice_type_LEGACY__x__APPEL_OFFRE,interaction,-0.6339441431343646,0.5304953198402209
text_generic,schema_x_notice_type_LEGACY__x__ATTRIBUTION,interaction,-0.03943840104159616,0.9613291690422829
text_generic,schema_x_notice_type_LEGACY__x__OTHER,interaction,0.7396095871529358,2.0951173940556442
text_generic,is_digital_scope,main_effect,0.16868536421317457,1.1837476309576047
text_generic,text_length_z,main_effect,-0.4074570177679962,0.6653400485837682
text_generic,publication_year_z,main_effect,0.22085894513852616,1.2471475019384393
text_generic,intercept,intercept,-2.4617642475635564,0.08528435544618677
award_link_unresolved,schema_family_LEGACY,main_effect,0.18326393195506177,1.2011313832033137
award_link_unresolved,notice_type_normalized_ATTRIBUTION,main_effect,0.0,1.0
award_link_unresolved,notice_type_normalized_OTHER,main_effect,0.0,1.0
award_link_unresolved,buyer_activity_tier_2-5,main_effect,-1.96291267441453,0.14044874312101133
award_link_unresolved,buyer_activity_tier_21+,main_effect,-2.792223457709866,0.06128479815690665
award_link_unresolved,buyer_activity_tier_6-20,main_effect,-2.223973678057058,0.10817838753305828
award_link_unresolved,cpv_division_bucketed_30,main_effect,-0.08628058949569903,0.9173368000354887
award_link_unresolved,cpv_division_bucketed_33,main_effect,0.3039704626506323,1.3552290256252746
award_link_unresolved,cpv_division_bucketed_34,main_effect,0.1288634063766338,1.1375347335623283
award_link_unresolved,cpv_division_bucketed_39,main_effect,0.14765639288400598,1.1591145479222955
award_link_unresolved,cpv_division_bucketed_44,main_effect,0.23689674609821582,1.2673102562906873
award_link_unresolved,cpv_division_bucketed_45,main_effect,0.9296063724613565,2.5335117213346092
award_link_unresolved,cpv_division_bucketed_50,main_effect,0.06974469664556669,1.0722344012678466
award_link_unresolved,cpv_division_bucketed_55,main_effect,0.07757785664812784,1.0806663662443503
award_link_unresolved,cpv_division_bucketed_60,main_effect,-0.0021750647443711016,0.9978272989948774
award_link_unresolved,cpv_division_bucketed_66,main_effect,-0.010160288505708841,0.9898911528584403
award_link_unresolved,cpv_division_bucketed_71,main_effect,0.2633025119327679,1.301220294084256
award_link_unresolved,cpv_division_bucketed_72,main_effect,0.5077536276672748,1.6615545294219802
award_link_unresolved,cpv_division_bucketed_79,main_effect,0.2539000894345284,1.28904300881797
award_link_unresolved,cpv_division_bucketed_90,main_effect,-0.032591779139828546,0.9679336096404263
award_link_unresolved,cpv_division_bucketed_OTHER_OR_MISSING,main_effect,1.1625829269073245,3.198183290613178
award_link_unresolved,dept_bucketed_35,main_effect,0.5471099227719454,1.7282510143598373
award_link_unresolved,dept_bucketed_44,main_effect,-0.06615460192349436,0.9359861478463656
award_link_unresolved,dept_bucketed_49,main_effect,0.00746890859894863,1.00749687046831
award_link_unresolved,dept_bucketed_53,main_effect,-0.2617566403417377,0.7696983144359139
award_link_unresolved,dept_bucketed_56,main_effect,1.2605964337030933,3.527524794737407
award_link_unresolved,dept_bucketed_61,main_effect,0.5395773324348567,1.7152817150015423
award_link_unresolved,dept_bucketed_72,main_effect,-0.8409593542903454,0.43129655868741595
award_link_unresolved,dept_bucketed_75,main_effect,0.44156390369284765,1.5551374028561016
award_link_unresolved,dept_bucketed_85,main_effect,-0.4160666686122562,0.6596362919822322
award_link_unresolved,dept_bucketed_OTHER_OR_MISSING,main_effect,0.3206218655907279,1.3779844190410688
award_link_unresolved,schema_x_notice_type_EFORMS__x__ATTRIBUTION,interaction,0.0,1.0
award_link_unresolved,schema_x_notice_type_EFORMS__x__OTHER,interaction,0.0,1.0
award_link_unresolved,schema_x_notice_type_LEGACY__x__APPEL_OFFRE,interaction,0.18326393195506177,1.2011313832033137
award_link_unresolved,schema_x_notice_type_LEGACY__x__ATTRIBUTION,interaction,0.0,1.0
award_link_unresolved,schema_x_notice_type_LEGACY__x__OTHER,interaction,0.0,1.0
award_link_unresolved,is_digital_scope,main_effect,-0.3858007276064872,0.6799059986775787
award_link_unresolved,text_length_z,main_effect,0.03285018477355989,1.0333957092314678
