notice_family_id,notice_id,publication_date,lifecycle_role,schema_family,first_call_date,delay_days
NF000131,15-44700,2015-03-24,CORRECTION,LEGACY,2015-03-13,11
NF000154,15-43727,2015-03-23,CORRECTION,LEGACY,2015-03-19,4
NF000266,15-33807,2015-03-06,CORRECTION,LEGACY,2015-03-03,3
NF000566,15-43796,2015-03-23,CORRECTION,LEGACY,2015-03-09,14
NF000049,15-35527,2015-03-09,CORRECTION,LEGACY,2015-03-02,7
NF000179,15-39935,2015-03-17,CORRECTION,LEGACY,2015-03-10,7
NF000604,15-42115,2015-03-19,CORRECTION,LEGACY,2015-03-18,1
NF000400,15-42483,2015-03-19,CORRECTION,LEGACY,2015-03-18,1
NF000639,15-47187,2015-03-27,CORRECTION,LEGACY,2015-03-04,23
NF000403,15-39187,2015-03-16,CANCELLATION,LEGACY,2015-03-04,12
NF000004,15-35401,2015-03-09,CORRECTION,LEGACY,2015-03-04,5
NF000285,15-44296,2015-03-23,CORRECTION,LEGACY,2015-03-20,3
NF000642,15-46104,2015-03-26,CORRECTION,LEGACY,2015-03-06,20
NF000354,15-41865,2015-03-19,CORRECTION,LEGACY,2015-03-10,9
NF000128,15-40763,2015-03-17,CORRECTION,LEGACY,2015-03-09,8
NF000247,15-47756,2015-03-30,CANCELLATION,LEGACY,2015-03-26,4
NF000637,15-34408,2015-03-06,CORRECTION,LEGACY,2015-03-03,3
NF000128,15-40766,2015-03-17,CORRECTION,LEGACY,2015-03-09,8
NF000176,15-35539,2015-03-09,CORRECTION,LEGACY,2015-03-06,3
NF000356,15-47570,2015-03-30,CORRECTION,LEGACY,2015-03-20,10
NF000486,15-39693,2015-03-16,CORRECTION,LEGACY,2015-03-13,3
NF000317,15-34491,2015-03-06,CORRECTION,LEGACY,2015-03-04,2
NF000079,15-47669,2015-03-31,CORRECTION,LEGACY,2015-03-02,29
NF000639,15-35506,2015-03-09,CORRECTION,LEGACY,2015-03-04,5
NF000714,15-63856,2015-04-24,CORRECTION,LEGACY,2015-04-20,4
NF000916,15-50217,2015-04-02,CORRECTION,LEGACY,2015-04-01,1
NF000544,15-50314,2015-04-02,CANCELLATION,LEGACY,2015-03-30,3
NF001006,15-51533,2015-04-03,CORRECTION,LEGACY,2015-04-03,0
NF000440,15-57743,2015-04-15,CORRECTION,LEGACY,2015-03-30,16
NF001203,15-65425,2015-04-28,CORRECTION,LEGACY,2015-04-24,4
NF000648,15-50890,2015-04-02,CORRECTION,LEGACY,2015-03-16,17
NF000289,15-51794,2015-04-03,CORRECTION,LEGACY,2015-03-25,9
NF000697,15-52136,2015-04-07,CORRECTION,LEGACY,2015-04-03,4
NF000539,15-54892,2015-04-10,CORRECTION,LEGACY,2015-03-20,21
NF000536,15-57596,2015-04-15,CORRECTION,LEGACY,2015-03-16,30
NF000608,15-59364,2015-04-17,CORRECTION,LEGACY,2015-03-26,22
NF000356,15-62452,2015-04-23,CORRECTION,LEGACY,2015-03-20,34
NF000779,15-66825,2015-04-29,CORRECTION,LEGACY,2015-04-10,19
NF000852,15-52270,2015-04-07,CANCELLATION,LEGACY,2015-04-03,4
NF000315,15-55268,2015-04-10,CORRECTION,LEGACY,2015-03-16,25
NF001193,15-61096,2015-04-21,CORRECTION,LEGACY,2015-04-15,6
NF000720,15-67088,2015-04-30,CORRECTION,LEGACY,2015-04-29,1
NF000094,15-56769,2015-04-14,CORRECTION,LEGACY,2015-03-30,15
NF000137,15-50788,2015-04-02,CORRECTION,LEGACY,2015-03-17,16
NF000188,15-53044,2015-04-08,CORRECTION,LEGACY,2015-03-23,16
NF000706,15-64896,2015-04-27,CORRECTION,LEGACY,2015-04-14,13
NF000834,15-54941,2015-04-13,CORRECTION,LEGACY,2015-04-02,11
NF000452,15-63023,2015-04-23,CORRECTION,LEGACY,2015-03-31,23
NF000586,15-53852,2015-04-09,CORRECTION,LEGACY,2015-03-19,21
NF001272,15-58281,2015-04-16,CORRECTION,LEGACY,2015-04-13,3
NF001193,15-60559,2015-04-22,CORRECTION,LEGACY,2015-04-15,7
NF000740,15-53987,2015-04-09,CORRECTION,LEGACY,2015-04-07,2
NF000251,15-60288,2015-04-20,CORRECTION,LEGACY,2015-03-31,20
NF000861,15-68718,2015-05-04,CORRECTION,LEGACY,2015-04-20,14
NF000178,15-81479,2015-05-29,CORRECTION,LEGACY,2015-03-10,80
NF000612,15-68844,2015-05-05,CORRECTION,LEGACY,2015-03-30,36
NF001686,15-79290,2015-05-26,CORRECTION,LEGACY,2015-05-22,4
NF000712,15-72901,2015-05-12,CORRECTION,LEGACY,2015-04-20,22
NF001582,15-80973,2015-05-28,CORRECTION,LEGACY,2015-05-26,2
NF001513,15-77178,2015-05-21,CORRECTION,LEGACY,2015-05-12,9
NF001706,15-79398,2015-05-26,CORRECTION,LEGACY,2015-05-06,20
NF001721,15-80940,2015-05-28,CORRECTION,LEGACY,2015-05-18,10
NF000619,15-77390,2015-05-21,CORRECTION,LEGACY,2015-03-27,55
NF001578,15-76178,2015-05-19,CORRECTION,LEGACY,2015-05-13,6
NF000917,15-68859,2015-05-05,CORRECTION,LEGACY,2015-04-03,32
NF001756,15-77817,2015-05-21,CORRECTION,LEGACY,2015-05-07,14
NF001305,15-72123,2015-05-11,CORRECTION,LEGACY,2015-04-23,18
NF001741,15-70184,2015-05-06,CORRECTION,LEGACY,2015-05-06,0
NF001023,15-74552,2015-05-15,CORRECTION,LEGACY,2015-04-29,16
NF000678,15-75447,2015-05-18,CORRECTION,LEGACY,2015-04-09,39
NF001694,15-79209,2015-05-26,CORRECTION,LEGACY,2015-03-19,68
