source_notice_id,target_notice_id,edge_type,evidence,source_role,target_role,source_date,target_date,delay_days,same_buyer_key,same_cpv_clean,same_cpv_division,text_similarity
15-37631,15-44700,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-13,2015-03-24,11,True,False,False,
15-32280,15-43782,award_relationship,annonce_lie_or_annonces_anterieures,AWARD,AWARD,2015-03-04,2015-03-24,20,True,True,True,
15-42337,15-43727,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-19,2015-03-23,4,True,False,False,
15-30893,15-33807,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-03,2015-03-06,3,True,True,True,
15-34777,15-43796,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-09,2015-03-23,14,True,False,False,
15-33136,15-35457,explicit_linked_notice,annonce_lie_or_annonces_anterieures,AWARD,CORRECTION,2015-03-05,2015-03-09,4,True,True,True,
15-30898,15-35527,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-02,2015-03-09,7,True,False,False,
15-35828,15-39935,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-10,2015-03-17,7,True,True,True,
15-39314,15-42115,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-18,2015-03-19,1,True,True,True,
15-40980,15-42483,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-18,2015-03-19,1,True,True,True,
15-31961,15-47187,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-04,2015-03-27,23,True,False,False,
15-35506,15-47187,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CORRECTION,CORRECTION,2015-03-09,2015-03-27,18,True,False,False,
15-32051,15-39187,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CANCELLATION,2015-03-04,2015-03-16,12,True,False,False,
15-15433,15-35401,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-04,2015-03-09,5,True,True,True,
15-42625,15-44296,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-20,2015-03-23,3,True,False,False,
15-34857,15-46104,explicit_linked_notice,annonce_lie_or_annonces_anterieures,CALL,CORRECTION,2015-03-06,2015-03-26,20,True,True,True,
