schema_family,lifecycle_role,mean_family_size,n_notices
EFORMS,AWARD,1.9479111581173982,3782
EFORMS,CALL,1.7141250200867748,6223
EFORMS,CANCELLATION,3.3333333333333335,3
EFORMS,CORRECTION,2.835548172757475,602
EFORMS,FOLLOW_UP,1.323076923076923,65
EFORMS,MODIFICATION,1.8571428571428572,7
LEGACY,AWARD,2.1629444059485103,18761
LEGACY,CALL,1.5410091446143885,49428
LEGACY,CANCELLATION,2.5454545454545454,154
LEGACY,CORRECTION,2.7863823419378977,5346
LEGACY,FOLLOW_UP,1.771144278606965,201
LEGACY,MODIFICATION,4.019607843137255,51
