family_size,n_families,n_notices,p_families,p_notices
1,34972,34972,0.6090879007959316,0.41326826040201836
2,18976,37952,0.33049445286239265,0.44848327286907813
3,2549,7647,0.044394517303237714,0.09036550346832421
4,687,2748,0.011965097445007577,0.03247344102667123
5,158,790,0.0027517982479056727,0.009335523439254104
6,49,294,0.0008534057857428985,0.003474232773595831
7,7,49,0.0001219151122489855,0.0005790387955993051
8,11,88,0.0001915808906769772,0.001039906408423242
9,3,27,5.2249333820993784e-05,0.00031906219349349467
10,2,20,3.4832889213995854e-05,0.0002363423655507368
11,1,11,1.7416444606997927e-05,0.00012998830105290525
12,1,12,1.7416444606997927e-05,0.0001418054193304421
13,1,13,1.7416444606997927e-05,0.00015362253760797893
