notice_family_id,family_size,n_calls,n_corrections,n_modifications,n_awards,n_cancellations,n_followups,first_date,last_date,n_schemas,n_notice_types,n_buyers,n_cpv,family_span_days,awards_per_call,family_pattern
NF000001,2,1,0,0,1,0,0,2015-03-03,2015-06-23,1,2,1,1,112,1.0,call_with_award
NF000002,2,1,0,0,1,0,0,2015-03-03,2015-07-28,1,2,1,1,147,1.0,call_with_award
NF000003,2,1,0,0,1,0,0,2015-03-03,2015-05-18,1,2,1,1,76,1.0,call_with_award
NF000004,2,1,1,0,0,0,0,2015-03-04,2015-03-09,1,1,1,1,5,0.0,call_with_lifecycle_updates_no_award
NF000005,2,1,0,0,1,0,0,2015-03-03,2015-11-06,1,2,1,1,248,1.0,call_with_award
NF000006,1,1,0,0,0,0,0,2015-03-05,2015-03-05,1,1,1,1,0,0.0,single_notice
NF000007,2,1,0,0,1,0,0,2015-03-06,2015-07-29,1,2,1,1,145,1.0,call_with_award
NF000008,2,1,0,0,1,0,0,2015-03-09,2015-10-02,1,2,1,1,207,1.0,call_with_award
NF000009,2,1,0,0,1,0,0,2015-03-09,2015-09-04,1,2,1,1,179,1.0,call_with_award
NF000010,1,1,0,0,0,0,0,2015-03-09,2015-03-09,1,1,1,1,0,0.0,single_notice
NF000011,2,1,0,0,1,0,0,2015-03-26,2015-06-25,1,2,1,1,91,1.0,call_with_award
NF000012,2,1,0,0,1,0,0,2015-03-26,2015-07-29,1,2,1,1,125,1.0,call_with_award
NF000013,1,1,0,0,0,0,0,2015-03-19,2015-03-19,1,1,1,1,0,0.0,single_notice
NF000014,1,1,0,0,0,0,0,2015-03-20,2015-03-20,1,1,1,1,0,0.0,single_notice
NF000015,1,1,0,0,0,0,0,2015-03-20,2015-03-20,1,1,1,1,0,0.0,single_notice
NF000016,1,1,0,0,0,0,0,2015-03-23,2015-03-23,1,1,1,1,0,0.0,single_notice
NF000017,2,1,0,0,1,0,0,2015-03-23,2015-07-20,1,2,1,1,119,1.0,call_with_award
NF000018,2,1,0,0,1,0,0,2015-03-23,2015-06-30,1,2,1,1,99,1.0,call_with_award
NF000019,1,1,0,0,0,0,0,2015-03-24,2015-03-24,1,1,1,1,0,0.0,single_notice
NF000020,2,1,0,0,1,0,0,2015-03-25,2015-07-28,1,2,1,1,125,1.0,call_with_award
NF000021,1,1,0,0,0,0,0,2015-03-27,2015-03-27,1,1,1,1,0,0.0,single_notice
NF000022,1,1,0,0,0,0,0,2015-03-30,2015-03-30,1,1,1,1,0,0.0,single_notice
NF000023,1,1,0,0,0,0,0,2015-03-31,2015-03-31,1,1,1,1,0,0.0,single_notice
NF000024,1,1,0,0,0,0,0,2015-03-31,2015-03-31,1,1,1,1,0,0.0,single_notice
NF000025,1,0,0,0,1,0,0,2015-03-02,2015-03-02,1,1,1,1,0,,award_without_observed_call
NF000026,1,0,0,0,1,0,0,2015-03-03,2015-03-03,1,1,1,1,0,,award_without_observed_call
NF000027,1,0,0,0,1,0,0,2015-03-03,2015-03-03,1,1,1,1,0,,award_without_observed_call
NF000028,1,0,0,0,1,0,0,2015-03-04,2015-03-04,1,1,1,1,0,,award_without_observed_call
NF000029,1,0,0,0,1,0,0,2015-03-05,2015-03-05,1,1,1,1,0,,award_without_observed_call
NF000030,1,0,0,0,1,0,0,2015-03-06,2015-03-06,1,1,1,1,0,,award_without_observed_call
NF000031,1,0,0,0,1,0,0,2015-03-06,2015-03-06,1,1,1,1,0,,award_without_observed_call
NF000032,1,0,0,0,1,0,0,2015-03-09,2015-03-09,1,1,1,1,0,,award_without_observed_call
NF000033,1,0,0,0,1,0,0,2015-03-10,2015-03-10,1,1,1,1,0,,award_without_observed_call
NF000034,1,0,0,0,1,0,0,2015-03-12,2015-03-12,1,1,1,1,0,,award_without_observed_call
