edge_type,source_role,target_role,n_edges,median_delay_days,p_same_buyer_key,p_same_cpv_clean,p_same_cpv_division,median_text_similarity
award_relationship,CALL,AWARD,18221,130.0,0.9540091103671587,0.9118050600954942,0.9168541792437298,
award_reverse_lookup,CALL,AWARD,18075,129.0,0.9540248962655602,0.9120331950207469,0.91701244813278,
exact_text_duplicate,CALL,AWARD,11805,112.0,1.0,0.8968233799237612,0.9014824227022448,1.0
explicit_linked_notice,CALL,CORRECTION,5815,21.0,0.9702493551160791,0.7487532244196045,0.7518486672398969,
exact_text_duplicate,CALL,CORRECTION,3094,20.0,1.0,0.8012281835811248,0.8041370394311571,1.0
award_relationship,CORRECTION,AWARD,2052,127.0,0.9615009746588694,0.9259259259259259,0.9307992202729045,
award_reverse_lookup,CORRECTION,AWARD,2034,127.0,0.9611602753195674,0.9257620452310718,0.9306784660766961,
high_text_similarity,CALL,CORRECTION,1452,19.0,1.0,0.8154269972451791,0.8230027548209367,0.9729128297468232
exact_text_duplicate,CORRECTION,AWARD,964,105.0,1.0,0.9139004149377593,0.9190871369294605,1.0
exact_text_duplicate,CALL,CALL,953,44.0,1.0,0.7974816369359916,0.8520461699895068,1.0
explicit_linked_notice,CORRECTION,CORRECTION,679,15.0,0.9911634756995582,0.8055964653902798,0.8144329896907216,
exact_text_duplicate,CORRECTION,CORRECTION,590,13.0,1.0,0.8220338983050848,0.8254237288135593,1.0
exact_text_duplicate,AWARD,AWARD,376,36.0,1.0,0.848404255319149,0.9601063829787234,1.0
high_text_similarity,CALL,CALL,362,29.0,1.0,0.6712707182320442,0.861878453038674,0.9383008922059805
explicit_linked_notice,CALL,CALL,336,27.5,0.9732142857142857,0.8065476190476191,0.8214285714285714,
high_text_similarity,AWARD,AWARD,186,7.0,1.0,0.7688172043010753,0.9731182795698925,0.9320900725383388
award_relationship,AWARD,AWARD,177,51.0,0.9661016949152542,0.8757062146892656,0.903954802259887,
exact_text_duplicate,AWARD,CALL,156,27.5,1.0,0.8461538461538461,0.9102564102564102,1.0
award_reverse_lookup,AWARD,AWARD,155,54.0,0.9612903225806452,0.8903225806451613,0.9161290322580645,
explicit_linked_notice,CALL,CANCELLATION,151,9.0,0.9602649006622517,0.26490066225165565,0.26490066225165565,
high_text_similarity,CALL,AWARD,121,28.0,1.0,0.8016528925619835,0.9421487603305785,0.9260439064340218
high_text_similarity,AWARD,CALL,89,14.0,1.0,0.8314606741573034,0.9438202247191011,0.9372543150645537
exact_text_duplicate,CALL,CANCELLATION,85,6.0,1.0,0.3058823529411765,0.3058823529411765,1.0
high_text_similarity,CORRECTION,CORRECTION,81,13.0,1.0,0.654320987654321,0.6790123456790124,0.9747958205198062
exact_text_duplicate,CORRECTION,CALL,74,51.0,1.0,0.6621621621621622,0.7027027027027027,1.0
high_text_similarity,CORRECTION,CALL,61,33.0,1.0,0.7377049180327869,0.8852459016393442,0.9481024940253102
explicit_linked_notice,AWARD,MODIFICATION,51,475.0,0.9607843137254902,0.9607843137254902,0.9607843137254902,
award_relationship,FOLLOW_UP,AWARD,50,44.0,0.98,0.9,0.92,
award_reverse_lookup,FOLLOW_UP,AWARD,49,43.0,0.9795918367346939,0.8979591836734694,0.9183673469387755,
explicit_linked_notice,CALL,FOLLOW_UP,36,83.5,1.0,0.6666666666666666,0.7222222222222222,
high_text_similarity,CORRECTION,AWARD,35,42.0,1.0,0.9142857142857143,0.9428571428571428,0.9694293863822406
exact_text_duplicate,FOLLOW_UP,AWARD,32,35.0,1.0,0.90625,0.90625,1.0
explicit_linked_notice,AWARD,CORRECTION,30,9.5,0.9,0.8,0.8333333333333334,
