notice_id,buyer_key,cpv_clean,text_duplicate_group_id,group_size,n_unique_buyers_in_group,n_unique_cpv_in_group,objet_snippet
15-28783,NAME:centre hospitalier de saint-nazaire,15861000,0,2,1,1,"fourniture de café avec mise à disposition des machines, pots et pichets à saint"
15-31324,NAME:mairie de pont st martin,66515200,1,2,1,1,prestation d'assurance pour les besoins de la ville de pont st martin
15-32027,NAME:ville d angers,50000000,2,2,1,1,mise en service de vélos neufs classiques et pliants à angers
15-30886,NAME:centre hospitalier georges mazurelle,71000000,4,2,1,1,mission de maîtrise d'oeuvre relative à l'extension de capacité de la m.a.s. 'le
15-34768,SIRET:22850001300658,45214220,6,2,1,1,le projet consiste à construire deux extension des locaux du collège jules ferry
15-34784,NAME:conseil regional des pays de la loire,45223220,7,2,1,1,reconstruction et rénovation des ateliers au lycée cfa de narcé à brain sur l'au
15-28733,NAME:syndicat trivalis,90500000,8,2,1,1,"marché départemental de caractérisation des ordures ménagères résiduelles, des r"
15-38333,SIRET:22850001300658,45233121,10,2,1,1,réalisation de rétablissements de voiries et d'un ouvrage d'art dans le cadre de
15-46309,SIRET:22720002900014,32584000,12,2,1,1,travaux de création graphique pour les besoins du conseil général de la sarthe a
15-37959,NAME:nantes metropole,45232410,15,2,1,1,construction d'un poste de refoulement en eaux usées de très faible capacité et 
15-43241,NAME:universite d angers,60000000,17,2,1,1,transfert de laboratoires et de plateformes de recherches en sciences du végétal
15-44289,NAME:cg49,45252124,18,2,1,1,"dragage d'entretien sur les rivières maine, mayenne, oudon, sarthe pour les anné"
15-45441,NAME:caisse des depots,45431000,21,2,1,1,travaux d'entretien des ouvrages de second oeuvre au sein de l'établissement de 
15-44173,NAME:crous de nantes,,68,2,1,0,"fourniture de literie, articles textiles et réfrigérateurs table-top pour les ét"
15-34138,NAME:pole sante sarthe et loire,85148000,85,2,1,1,"prestations de biologie spécialisée : transport des échantillons biologiques, ré"
15-34626,NAME:ville des sables d olonne,55300000,86,2,1,1,exploitation de la restauration collective de l'institut sports océan au sables-
15-34700,SIRET:19490970100303,50750000,87,2,1,1,"maintenance sur les ascenseurs, les monte-charges et les élévateurs pour les per"
15-34863,NAME:nantes metropole,71241000,88,2,1,1,assistance au pilotage des concessions de distribution publique d'électricité et
15-35528,SIRET:40256198900011,79710000,90,2,1,1,la sécurité dont événementiel et incendie et le gardiennage des espaces culturel
15-37967,NAME:centre hospitalier g mazurelle,09132100,92,2,1,1,fournitures et livraisons de carburant et de cartes pétrolières pour le compte d
15-38289,NAME:ville de la chapelle heulin,55523100,93,2,1,1,services de restauration pour les écoles et l'accueil de loisirs (liaison froide
15-40706,NAME:communaute de commune loire-divatte,90514000,94,2,1,1,tri et traitement des déchets recyclables secs issus de la collecte en porte à p
15-48041,NAME:angers loire metropole,79711000,98,2,1,1,"télésurveillance et gestion des alarmes anti-intrusion, gardiennage et accueil d"
15-43667,NAME:nantes metropole,,103,2,1,0,maîtrise d'oeuvre relative à la modernisation du système d'automatisation - stat
15-32280,NAME:chu de nantes,33183300,113,3,1,1,fourniture de dispositifs médicaux pour chirurgie osseuse au profit du chu à nan
15-33561,NAME:chu de nantes,60161000,115,2,1,1,prestations de transport au profit du chu à nantes
15-34216,NAME:sgami ouest,45421000,133,2,1,1,travaux de modernisation du centre d'information et de commandement à l'hôtel de
